f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,nbc.nb_fitness.cor,ela_level.lda_mda_25,ela_meta.lin_simple.coef.max_by_min,disp.diff_median_25,pca.expl_var_PC1.cor_init,disp.ratio_mean_02,ela_distr.kurtosis,disp.diff_mean_02,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,disp.ratio_mean_10,disp.diff_median_05,disp.diff_mean_05,disp.ratio_median_02,nbc.dist_ratio.coeff_var,ela_level.qda_mda_25
1,1,-0.47647490035537055,-0.1764213578585629,-0.2554948706298598,-0.10075976291221886,-0.12168171054386168,-0.0446889059494744,-0.05533236831520908,-0.06349662066134668,0.005792313064272885,0.004308640501771465,0.016044085202457037,-0.00384565182013172,0.0012347652913613214,0.0051244319127378615,-0.0007485841860752957,-0.010709476680127946,-0.0005879507091322497,-0.006493157209375393,-0.005883699597953185,-0.009321799999241976,-0.0038582364029732612,0.009831918096869197,-0.01705244624282897,0.006972313922283876,0.002391994507466982,-0.005196241104342992,-0.006919386446035888,0.004296120610035206,0.010173486696271116,4.6073526992006014e-05
1,2,-0.4541975771143239,-0.1377737782231558,-0.2609731907291003,-0.09382713754055817,-0.12269167110550584,-0.03321926130753687,-0.05328978507782473,-0.05041752775487009,0.00520760380826643,0.0036192733183536383,0.02023745469602214,-0.007709749096034089,0.01811841914072092,0.0003397206953302652,0.0013449790609143817,0.011102897288995892,-0.001888649836926421,0.0063259880263343655,-0.0014634785720005598,-0.001791436112885958,0.002215280616927078,0.012675324875142129,-0.015650271959060554,0.007108199497842357,-0.0024821956662215913,-0.001840355078196106,-0.002410434384335653,0.007069321862683581,0.016406080650109987,0.00360769282901768
1,3,-0.45756241947086557,-0.17365525887182895,-0.25127004744241155,-0.09955560729385353,-0.12081472242649666,-0.04043027992324129,-0.051867805075640865,-0.05973844852216853,0.005192696694280347,0.004072521642501089,0.0160273950116487,-0.004078471594296544,0.018536024618578482,-0.001378638195884582,0.0023924394886622883,-0.009354885517841385,0.0008355450568171454,0.00056321952734343,-0.0018934908898586864,0.00020509280070996145,0.0018904527175748675,0.012521835874680478,-0.011551823819906935,0.0072045965581301885,0.0010146274154027588,-0.0003747198314392145,0.002343520124186482,0.007262542203337512,0.016849039805290674,0.00313755296419824
1,4,-0.4691014614503153,-0.1747899770491463,-0.2547971809365739,-0.10119141687503047,-0.12135466827911781,-0.04513600653944341,-0.05540492136493375,-0.06271459041689714,0.0038148070369275425,0.0047654783767850225,0.016465334326629732,-0.004078471594296544,0.00939350641530043,0.002635808032431196,-0.0006978229932117752,-0.010779301248411702,-0.0016696670639302046,-0.0015004392354675653,-0.006015751169161021,-0.003469802512867801,-0.0005385628466523336,0.012140819317785085,-0.01634023928286031,0.007316400468104544,0.003696616089024296,-0.004454111002740669,-0.004818449160827239,0.005822737576666424,0.015064856305309432,0.004352929044311037
2,1,1.2901446598561146,0.6974369406823709,0.17244574863630016,0.31014610778743973,-0.16437590729019577,-0.042645918216746216,-0.033420096951578784,0.02869595596589731,0.008658256836638718,-0.03977746637581668,-0.016323985427455816,-0.018934189972379563,-0.043815202550298596,-0.025520060555811394,-0.0030444972024430738,-0.002051597794055264,-0.025531735600777674,-0.014460390123667033,-0.0025038843208360956,0.0002763203566812362,-0.017549358532511383,-0.038255731504487196,-0.01534366262446588,-0.020750512145712906,-0.021108555537449253,-0.013770711687424424,-0.01464575763670896,-0.024914730098649147,-0.03184716989598837,0.0020123628269098598
2,2,1.3167466872031561,0.22630601436841027,0.2179264413611742,0.30613280003406157,-0.2032590974432232,-0.04570588017988812,-0.024432040836720473,0.03315926718612644,0.012414596486574649,0.005150378787468727,-0.01507430910744834,-0.015381083821853799,-0.04720710950262353,-0.023017612216036504,-0.006704278017211562,-0.002231424282923773,-0.010312392929572603,-0.0076967672184268116,-0.0030126143802006213,0.002811491389491883,-0.015604161414959917,-0.027001817219392335,-0.015649792282171837,0.008444860872344489,-0.011090356525194016,-0.012541250954751913,-0.016270133240968397,-0.016639388446955398,-0.024038702389225206,0.0008905232298987368
2,3,1.2932285400555574,0.6845834750042126,0.3153562439951579,0.31683851977259797,-0.1500564903961546,-0.04117071175045708,-0.015579572025479695,0.03151579977575674,0.008494500583077172,0.007905523075914796,-0.01161728049142679,-0.02029578423482118,-0.036423584388104724,-0.02928144341321939,-0.004927639864838884,-0.0026400600874708817,-0.01117073255800607,-0.005767062550962855,-0.0031395833635025064,6.776389759779089e-06,-0.014207483057367725,-0.03914144946230885,-0.01636243559235394,-0.019005011809426257,-0.018191909973004666,-0.011226912167386038,-0.009235719766597842,-0.021944523243816783,-0.023689190597880223,-0.0004085477655091132
2,4,1.2556579533846126,0.5825276755893412,0.3008553851389569,0.21728807897085753,-0.06259712280433372,-0.03489710950412346,-0.028446674862667668,0.03229240062139661,0.0086927435318605,0.012995033219746373,-0.012018550561627126,-0.020682292295283913,-0.05269476534288154,-0.016350355739545384,0.010369811567065824,-0.0024251465268008672,-0.022630403579238893,-0.005801744568539613,-0.004995652152297858,0.004290870273680781,-0.017130190391220494,-0.025068542329524688,-0.004112836569506155,-0.0223188483082946,-0.021074314778462513,-0.01240891695043027,-0.007956745574034427,-0.022827865356558244,-0.0322042709787886,-0.0034166142420729404
3,1,0.022275499577863418,-0.16059348657154118,0.09574714604875798,-0.08600156512221899,0.03324852116174206,-0.023196991133776542,0.005784211943398378,0.056835964138956724,0.018251409498115746,0.008344229482361007,-0.017419091084524486,-0.00398519273186152,0.01442363294301048,0.01308214107594145,0.001994153492820614,-0.004592606393675374,0.005609169355019023,-0.0016934398633265322,0.016258751811383435,-0.01297463910736765,0.007562362757177871,0.002940382258978892,0.004381114295195399,0.023369001641639096,0.0038123631943315214,0.001986889510789519,-0.0004170247004670745,0.009138468061292404,-0.004876746830301648,-0.0005132727063863803
3,2,0.0028074406387968123,-0.09227552624152996,0.11235256958934861,-0.03144206453391227,0.04463093654030172,-0.025391059748832857,0.017999425881419034,0.050351743050713646,0.022045711650456625,0.015242263080289382,-0.015828314542674117,-0.004083087466848128,-0.011953311221449674,-0.01475628207443643,0.004126844576625899,-0.0018386174674549986,0.0022977945821640324,-0.0021674244348820907,-0.0016894958363065933,-0.0029956555750535237,0.0013783056442539954,-0.0004306165671225839,-0.019749911334207407,0.009853065947934581,0.0037482487291069693,0.0017009301664448803,0.0003076518582915815,0.0065581097438729054,-0.011508401107386667,0.002006583021153771
