f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25,ic.eps.s,nbc.nb_fitness.cor,ela_level.qda_mda_25,nbc.nn_nb.mean_ratio,disp.diff_mean_02,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_10,disp.diff_median_05,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,disp.ratio_median_10,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_median_25
1,3,-0.5884660380479082,-0.06271741296634013,-0.19333917160672995,-0.16493252439440503,-0.12180108712953244,-0.054275253521281666,0.020547098890885643,0.0060217618313521725,0.0023531620117958245,0.00984439010107584,0.007134189955355035,0.013542776365377311,-0.005151829911152411,-0.0037294632984133315,0.0011942378454405825,-0.06524531867806345,0.0008700101149585546,0.0013688067469793022,0.009217097500766833,0.0016885842353946228,-0.009841670611686889,-0.0011919726896780865,-0.00032278951458683037,0.001600634205690509,0.003419302137380888,0.0006771871914895359,0.002853271059866169,0.001073675512669824,0.006093878915641171,0.0057340236443857995
2,3,1.5814712352864069,0.19032757727814598,0.3585117141622774,-0.18474252603528019,0.5473679517775427,-0.031023944068632396,-0.02145387893181711,0.01963404878362303,-0.033936816038724026,-0.02131985242559662,-0.013402162098315192,-0.03295113640139021,-0.028373735015654555,0.0019413283570445848,-0.010569407911433053,0.03473207576951417,-0.010926101280154088,0.0016619978198502798,-0.004695445059830017,-0.01787807237939054,-0.0036479105634683938,0.016360050893986365,-0.002300205108952809,-0.0001973865459858501,-0.007115639118905433,-0.0048958809629184395,-0.015346811497502234,-0.015634826537430115,-0.005417290861947596,-0.019875674323753246
3,3,0.12289191403010952,-0.0007454092564581123,0.04914368741918632,0.05187914078155422,-0.08628117656320802,-0.03447334955513207,-0.027308350689507502,0.030768475327759403,-0.028493868888145535,-0.006282367705982328,0.002186083954569934,-0.01980331516579588,-0.0031666031308684923,-0.0036293679529982134,-0.023798375692172878,0.023789359419274462,-0.004505662351615332,0.006325233176883814,-0.0071857413570227974,5.709311797515775e-05,0.004248757501111157,0.008656824386591367,-0.010929930819658564,-0.003393997348183586,0.005363892394077,-0.0028499837050272514,-0.00010032665081729874,0.0027387562225702454,-0.003597907260183533,0.005080140595295474
4,3,0.11865811561216502,-0.02840261935084017,0.04481314646964448,0.039698628310092895,-0.09389859330696043,-0.034382400469503485,-0.027461949768787963,0.029864065091870735,-0.02058019309233043,-0.004374694875042972,0.002040467106722338,-0.001300323244537545,-0.010735055629280862,0.015218581053585641,0.0145409723624119,0.02138569175703547,-0.010335336952069596,0.00954398899990593,-0.005656201691950837,0.003389373106064342,-0.0008162534254839529,0.0012183090359309467,-0.003971290738990355,0.004473147794756199,0.0009755149399599929,0.0019704791989572598,0.0044145451031910084,0.005658490328317591,-0.0034936785323629264,0.010602997997447877
5,3,-0.42124696946757306,-0.05603072983635311,-0.13661030575639377,-0.14520910348330449,-0.10049416793727078,0.2018964495274829,-0.010053643987794186,0.015407493601237197,0.00794432899606149,-0.0013960055179158032,-0.0031224561717381346,-0.003321957225197665,0.008299055801843584,0.0012563065054416395,0.020312184143595684,-0.018551323420715117,-0.005566816300231221,-0.000982646635578588,0.001870673736899622,0.0001700759068596578,0.003947424227828903,0.004473366634648766,-0.000669585397830211,0.0076244981060894085,0.002109795194129269,0.0014471897488982318,0.00026277566414456587,0.0013956707196978923,-9.381416082684078e-05,-0.003834029628534175
6,3,0.11605133411272521,0.011809402366998572,0.050349857582403595,0.0385674056605485,-0.08455644321079869,-0.018096620947710553,-0.026711023673172716,0.03159853556350283,-0.01919255734634406,-0.008257830798073908,-0.0028196087449220324,-0.017358842247635307,-0.0129554395181956,-0.005316741855176726,0.007357885053123824,0.02892213843622228,-0.010218837995349964,0.007193076306987229,-0.0066086235945595475,-0.0014605818297214047,-9.126782703626935e-05,0.005316707230655476,-0.008606319603642465,0.0004266374372869915,0.004198039050491005,-0.002944737120195874,0.0020748860825198414,-0.0009137454180683869,-0.005700288271467452,0.002294381868988391
7,3,0.06882036613752228,-0.04601038137336871,0.02568074876429997,0.04565648489265353,-0.09743672621929544,-0.030602500610532657,-0.030373696135937,-0.04678585258774145,-0.013623766656851182,-0.009536139399707572,-0.008774089952735029,-0.01547781970765382,-0.00989393929744662,-0.016156334773554996,-0.02902773099537423,0.016492780981126793,-0.013902961357776468,-0.031100072038074765,-0.007279093644321083,-0.003021582386601337,-0.003319059620756162,0.020060569247836266,-0.0029380445345443497,-0.023471074792301996,-0.006012044554571599,-0.004469955709555641,-0.002752216563128122,-0.009210664400574765,-0.005835898230471506,-0.007278944127059343
8,3,0.16802402287658136,0.01617423873562579,0.0682183785719539,0.060855667633507096,-0.08583310839869093,-0.01904413230001192,-0.02521366555855008,0.033802805946383435,0.007177650065649173,0.017835955938780214,0.0034252449533299753,0.0372620078057307,0.0026161721068901464,0.004109382950737828,0.01938305158053036,0.03360188128569877,0.014129219005351919,0.007623434749056154,0.004370601919229152,0.004332645585834462,0.004428543807994354,0.014653594808334334,0.0007093525106212648,-0.0018727882060171975,0.0016850394777859481,0.008631982906180656,0.004464875190859414,0.007029612323205528,0.01979567207236657,0.005596857913902171
9,3,0.13973385020666032,0.012694938086605887,0.06598062591931082,0.03327611916297286,-0.08617040525810891,-0.03012802333373837,0.05559370428461607,0.03153683897975606,-0.02412652150679892,0.01415252602561834,0.005496673739231758,0.03128852171071803,-0.010197183963188822,0.007419880871239822,0.022132425228349583,0.03152096271438914,0.011888792314735585,0.0034747299904664096,0.021903610143159145,0.004687322735031032,-0.004661178223755252,0.016895624183571233,0.019565486593142806,0.004414860818091004,-0.0036263454524478197,0.004605786111872455,0.0038263438177707013,0.00903972503054355,0.0044752205654798064,0.008767845701106718
10,3,1.5052545921120797,0.16700384819085687,0.3019758536756278,0.009452827242029912,0.34877467073572915,-0.0322770568433148,-0.022977201016064666,-0.0030759622910122514,-0.02465865121673275,-0.01224968995323071,-0.0055540043329909165,-0.024735802319136628,-0.044154320861649,-0.006664813204088858,-0.01428909992371998,0.0021040372242928504,-0.011165148068433451,0.004191000053399151,-0.0024100490293660452,-0.01854142985419875,0.0016126829599007921,-0.05705444398009313,-0.0021238448508818035,-0.00792321568358205,-0.012680365704689105,-0.0039095893602974505,-0.015429981460730149,-0.013821128487129535,-0.006573130491123661,-0.01816071024020197
