f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_level.mmce_lda_10,ic.eps.s,nbc.nn_nb.sd_ratio,ela_level.mmce_mda_10,nbc.nb_fitness.cor,pca.expl_var_PC1.cov_init,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_mda_25,disp.ratio_mean_02,ic.h.max,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,disp.diff_mean_05,disp.diff_median_10,ela_meta.lin_simple.coef.max_by_min,disp.ratio_mean_05,disp.diff_median_05,nbc.dist_ratio.coeff_var,disp.ratio_median_05,ela_level.qda_mda_25,disp.diff_mean_25,disp.ratio_median_10
1,2,-0.43416490701834565,-0.21482426233654672,-0.1270971203107461,-0.07629079517713767,-0.13190563139762412,-0.038865658139130406,0.009187643807513331,-0.1060828011857219,0.014924702759194214,-0.0015763854662178996,-0.006187873493507274,-0.05965181293224225,0.01069565632122042,0.003977933293027323,0.002782394278744603,0.006527478053870036,-0.0035569847575536782,-0.0017924362153707012,0.0012822664707019904,-0.005942663545617355,0.004438013713302501,0.008845241026523797,0.012768954943105348,0.001311526278434116,-0.0037001710857438113,0.008392145013853297,0.003907570756760761,0.0005283530117673125,0.0017805086069392143,0.00036742798518363544
1,3,-0.43973850103807105,-0.2123791983306453,-0.16507330053444372,-0.07879270781622758,-0.11746111698953089,-0.04671699544369481,0.011172952234245897,-0.10213622484046563,0.012181820296881104,-0.0021548851631490564,-0.0035641009567369633,-0.0568976245008549,0.0065055344470811875,0.0070000488054602315,0.009291170351151451,0.006678865624540555,-0.004823082834420359,-0.001769163778577469,0.0014671812027802324,-0.005559758493737889,0.005977319488712728,0.00984637586857364,-0.010150301017001592,0.0030814901418609307,0.003097732804615737,0.008333267994423637,0.00316507480914893,0.0017426342265705415,0.0018408974022967764,0.0004785018124923029
1,4,-0.45436370452845604,-0.2203104895640181,-0.1669159299477976,-0.07980375623713823,-0.12060374132771993,-0.07127045657347267,0.008357606639413921,-0.1213441967731902,0.010336747460773848,-0.0018558634290153024,0.0022741056576947743,-0.06022943948953121,0.004454141970286264,0.006450880155904551,-0.0036364116915892056,0.005710356828450777,-0.006114064107469881,-0.0019272571848359872,0.0016447473549991713,-0.00964254601686578,0.0023176566911698496,0.01026860990844178,-0.015250678404840875,0.0007630220780698552,-0.0014322420194404005,0.007004381377524577,0.0010716455226374034,0.0013872707969031961,-0.00028145735307774894,-0.0010518028969175696
1,5,-0.4505634904918365,-0.21687225386544545,-0.16526018456311947,-0.0795937427479654,-0.12013408710859697,-0.06891582246491858,0.009521808730401456,-0.11900342490206828,0.010873362115284429,-0.0011701250299405005,0.0022281286005957843,-0.05932864614522705,0.005291791779176704,0.006737491305883369,0.0007141224825730464,0.006917484509286445,-0.005540833619238715,-0.0019272571848359872,0.0014000325374353474,-0.010927797570839068,0.003003516788109296,0.010647934070573647,-0.005577276287067244,0.0014274959147682008,-0.001930935661655375,0.007143335664850546,0.00128200173409806,0.0015111296773208504,-0.00013775705556831646,-0.0007847139323705317
2,2,1.1944450929087793,0.3185068392199171,0.4395170124733863,0.3045564165465305,-0.17626661795715465,-0.021296898027506676,-0.00524270165967891,0.06940327260679534,-0.0021698383012882555,-0.009956894090610213,-0.050219710240484626,0.02393431808823101,0.001871361943256194,-0.007584294441402415,-0.014878656959659047,-0.015051728884354068,-0.02607101187492797,-0.01148036799615844,-0.001712373797310919,-0.005697315302781594,-0.019446524990887903,-0.05319780207407051,-0.0052350232426414565,-0.00047710219156570706,-0.008277302104212658,-0.005631702577030954,-0.008133733848559126,-0.0038364272541378274,-0.007624878697092071,-0.01469272245743198
2,3,1.2283392485261317,0.45745678260929207,0.5877133962908173,0.3228524185648106,-0.15882827165162036,-0.02119255958838146,0.011264078567205887,0.06775727623899003,-0.0016524003431544086,0.022062070289677445,-0.04331513316021782,0.020673350739693896,-0.016358006852769863,-0.007084520891454742,-0.015087564324580353,-0.02316882859864478,-0.018085237098407106,-0.009336122630890467,0.004661789070522105,-0.006492595846719713,-0.01869774740620248,-0.048091345048859126,-0.006550403882497766,-0.009251078844757578,-0.016252111985192632,-0.009530543194839215,-0.016907714304478034,0.004253423954102116,-0.005683204733533879,-0.011859588010532364
2,4,1.1856781426610754,0.4528249172767507,0.5380352310827329,0.23836594381909051,-0.1610057939045375,-0.025785940440249507,-0.005557523063861425,0.048679076082478095,-0.003694850988721512,-0.01170718620095021,-0.028418647718173085,0.019582541157597028,-0.0256042920124333,-0.013867121094169895,-0.01506383449655891,-0.016362491150081485,-0.01221875954023785,-0.008147069731539992,-0.003052666803928145,-0.007221529674620567,-0.020850689836346525,-0.0528371425900417,-0.007096770194237434,-0.010391224111953212,-0.014812436683653661,-0.01354194423596303,-0.017434846341361904,-0.0013349123599641086,-0.008157938110539695,-0.015031817851045709
2,5,1.183700547121035,0.43179739542373313,0.5937993986025902,0.3246962742229283,-0.15295891466966569,-0.02044195913999462,0.012593437517395315,0.08021554371781157,0.0011728945782498994,-0.010861486151826654,-0.03648650886020574,0.020339502596773106,-0.016307785771909958,-0.007042388106464374,-0.015521164279932012,-0.023782715153796565,-0.018498999423328038,-0.00820862231225175,0.003229312308420449,-0.00515875168894361,-0.019116293446439635,-0.05081918495089152,-0.006507747168919725,-0.010105750577619511,-0.017284699821892527,-0.011206111474146954,-0.007989048208988419,0.004746509443317625,-0.0074086522564771615,-0.013465328664944008
3,2,0.08528056964398975,0.019188526095270268,-0.0810432566248424,-0.03282276201214812,0.04276284463480023,-0.030226829403297278,0.022859959645901158,0.05230418597915829,-0.010152796013146744,0.012169532413379864,-0.03040193629076796,0.04569030613742552,0.011184141518499027,-0.023967556678217893,0.0016739742398383392,-0.0022498483428263607,-0.02013698124451229,-0.0031195486934152937,-0.001955387176675823,-0.004679123595467737,0.0018168942735704982,0.012629099808113414,-0.0076170685932058675,-0.006940365491151689,-0.0024396928634514508,-0.011825345706014234,-0.005995618879027356,0.004146389224863473,0.00219964304843871,-0.0011893256411513622
3,3,0.07883752922493074,0.01610523012358818,-0.08157504635373818,-0.027556303541781603,0.04113427882481157,-0.02810177410327259,0.025477867300931573,0.050932338991698856,-0.010630673866343672,0.010343673448322993,-0.03596010121142165,0.04125563221846348,0.008534052294454779,-0.024404099374245272,-0.007361156385749555,-0.004646377616133413,-0.03388230283626342,-0.0035113302861711883,0.001385922627922065,-0.006038165529887803,0.0029359319338900197,0.012171202012502548,-0.011179522322393888,-0.007360695401570879,-0.0013823604244397034,-0.003083386054905292,-0.005530723429949303,0.004550221446286592,0.002079334578280985,0.0012475012582893895
