f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_level.mmce_mda_10,ela_level.lda_mda_25,pca.expl_var_PC1.cor_x,nbc.dist_ratio.coeff_var,ela_distr.number_of_peaks,ela_meta.lin_simple.coef.min,disp.diff_median_10,ic.eps.s,ela_meta.quad_simple.adj_r2,ela_distr.kurtosis,nbc.nn_nb.mean_ratio,disp.diff_median_25,ic.h.max,pca.expl_var_PC1.cor_init,ela_level.mmce_mda_50,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_05,ela_level.lda_qda_25,ela_meta.quad_simple.cond,disp.diff_median_05
1,4,-0.5526712385480054,-0.16400090246695842,-0.1437513180853558,-0.07619149614099584,-0.07836327172473212,-0.16062306093692102,0.014703110843673038,0.01432309487059203,0.015422087533175345,0.014037754913647709,0.003568139372772569,0.00803749203878809,0.0957794663017416,0.01180240474955566,-0.0013901104294471746,-0.006104432185078369,0.003343178367698513,-0.023198085706545152,-0.007335236729570996,-0.005784920296988123,0.005364846343155799,-0.001603357207368369,-0.004728205009020283,-0.001799243868602206,0.001238226658364986,0.0001136080519660731,0.002689235531685433,0.00669185997676575,-0.0016395292235338796,0.00880508731873562
2,4,0.929758838793909,0.8292675049940689,0.45308191187049196,0.19095538825437058,-0.03923938487797917,-0.08160673478301998,0.017980287801664257,-0.009342569965415567,-0.024988200088214167,-0.022482366593080453,-0.0032849316842920263,-0.025080401344195313,-0.007567302334381928,-0.029747522196655305,-0.00670537646538163,-0.03311388672892556,-0.011227108961183856,-0.0008234921977552073,-0.020358103407851085,0.001944565321982143,-0.016004874577026068,-0.0090409118066825,-0.021237749262975742,0.018865964640910598,0.0012041724309391722,-0.0008557497781630614,-0.00378152738539026,-0.01934685029746033,0.0001570945763159298,-0.02084351059147444
3,4,0.2832388162154525,-0.11884039532267375,-0.12400024646015453,0.004824189907679403,-0.03723024964683424,0.05008717088985155,0.04643084505167558,-0.048114949219100214,-0.007328331793042094,-0.01817441542834199,0.008811851010321533,0.008508571155155225,-0.018851968476888394,-0.004029129085399955,0.0006060532661333041,-0.008344321860020095,0.0014141658845195284,0.011466919267867042,-0.002987495568475245,-0.0038015782150381734,0.0041880696940641855,0.002225254447248727,-0.009109450880689447,-0.003262554875835697,0.0016654363316826893,-0.006527416728977354,-0.004749982235003729,0.018061809992444104,-0.0010281602780414954,0.0027732106768554184
4,4,0.28749081032394935,-0.10561097708603122,-0.12394729513193839,0.0027682187843280134,-0.036308221717053155,0.05023410443654651,0.03105421255684406,-0.050341107635528265,-0.016277029807787453,-0.02904893868179652,0.005727261620592939,0.00956809089883322,-0.019615115654619573,-0.009054372598936258,0.0011490631908176504,-0.008271899687737548,0.002429866906191154,0.01644427946600532,-0.003414159172359159,-0.003936565876562961,0.004328581823855961,0.002788896973088628,0.007920905038909427,-0.003370933490515309,0.0009777582721678098,-0.005706544718276558,-0.004477189494156439,0.009710549735980418,0.0027637978612699062,0.0025300963053043507
5,4,-0.40156731598434436,-0.1251025609699538,-0.12208736072401484,-0.05159277890318246,0.2140126696750812,-0.14304212274773787,0.017809154163151437,-0.017094761248655634,-0.0066339172493534,-0.008155858318083154,0.00402317047377515,0.018179458245644316,-0.006133983992227014,-0.004526013023843045,-0.0016000533619973621,-0.006000769888558791,-0.000488915360909466,-0.012461610204601929,-0.003823920213183992,0.0018138536720694138,0.0002978281700239297,-0.004232359093718959,0.007636798765699592,0.007404497430850484,0.009578512028191618,0.001990805009124789,-0.0006343741047020578,0.007002051470420285,0.0016072342924575353,-0.003082088031867541
6,4,0.30303452516532575,-0.09914862811650335,-0.12186241505469707,0.007279140172773315,-0.01978216612866409,0.048812629382094255,0.041210913629648106,-0.05674369543488197,-0.022236995825920914,-0.034278200681563925,0.006568213648265665,0.006547619786170813,0.0021733769065960663,-0.005481043069158861,-0.0001704505391885906,-0.001374892562904943,0.00411681450852329,0.014577968010358676,-0.0038102579531355996,-0.00372912448722111,0.004135767559937485,-0.008410149671241632,-0.010563743028202658,0.005769748555613659,0.0018703063147544837,0.0012971410625671658,-0.002792472197037932,-0.009118875908181067,-0.0005690226775155966,-0.0028055144947128356
7,4,0.29203577433749606,-0.11290855358385338,-0.12455338748183627,-0.0038977095395424767,-0.03796457757441546,0.06136726259962393,0.043550164611836965,0.053219907533262285,-0.007471098224498035,-0.006558403336849175,0.008811290070667232,-0.009854140134691517,0.0028997610831263585,-0.009165469071768356,-0.002394828935391069,-0.008966142880629871,0.00815006709303182,0.012487212647696014,-0.0008214771796109942,-0.003696778508996299,0.0039129169161564396,0.0029138724922954467,-0.0021611177127850404,-0.0032670457811532013,0.004352740944557702,-0.0022193009727358576,-0.004092237323205435,-0.015088084715968437,7.025614373458135e-05,-0.0024603308362212456
8,4,0.40737104501225097,-0.08997519765886387,-0.11252525200328578,0.024518574876494465,-0.02583380913911487,0.06237964299250592,0.05448954553825107,0.055592125702529506,0.0498772310007287,0.04499717238470543,0.011304857148065457,0.01666673617773583,-0.006446963824952666,0.0296519631260135,-0.003990648544020663,-0.003163825446524356,-0.004770295848966713,0.014086232428248191,-0.00643593340897969,-0.0011089867188885884,0.005853791789178874,0.002872893669907387,0.016771816485544103,0.000883206078186098,-0.0011198806286160808,-0.0051783039529504265,0.005420385174414008,0.009581786849577983,0.0008067030024125543,0.019166996613556923
9,4,0.352116465124703,-0.09883034769205264,-0.11465688021218721,0.01753568964643456,-0.03149398660976585,0.017381267793921955,0.051872601287358856,0.05578624486436214,0.05256516022940623,0.05302824773514095,0.010241212228813561,0.012159348045282915,-0.00632282110144332,0.030728643611695725,-0.004320124235900998,-0.002675043181318216,0.0011286220113027943,0.013878939137170001,-0.003783461100317942,0.00017424956825843707,0.0061593538587535615,0.005087011765314452,-0.021422379455333675,-0.006495038802134578,0.00014198226391671828,0.005362956806633917,0.02052257707431021,0.009248161373312974,-0.007195603106814912,0.01881646320407407
10,4,0.9982971917282543,0.8800737715450523,0.622479362780589,0.1618624314947831,-0.04094826731911005,0.021064202331560707,0.016286358610527317,-0.050105036807665766,-0.01930718202457516,-0.021972615162217445,-0.00203716023227187,0.053493193046613936,0.002740186159907422,-0.0228311908797412,-0.0051846395157463,-0.030110267011466758,-0.013008262036728955,0.0011304230212144536,-0.02116344779635401,-0.010185964455989117,-0.016533514510789864,-0.00930663520985977,-0.01916334663602875,-0.014536311719684407,0.002034491238799281,0.0017525070094874696,-0.01629713438688274,0.05626443655986386,-0.0057347459289267405,-0.03350359888452798
