f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25,ic.eps.s,nbc.nb_fitness.cor,ela_level.qda_mda_25,nbc.nn_nb.mean_ratio,disp.diff_mean_02,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_10,disp.diff_median_05,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,disp.ratio_median_10,disp.ratio_mean_02,disp.ratio_mean_05,disp.ratio_median_25
1,1,-0.5992267688212001,-0.06661913038240073,-0.19890018101092485,-0.17309438403148072,-0.12333366354031125,-0.0934113158216856,0.019858270316344656,0.006321677575820152,-0.0012084502531283885,0.005681692568327171,0.004300161849726713,0.01014247296599992,-0.009229448716817884,-0.0069613485632489865,-0.0027340762944364585,-0.07871599084649553,0.0015955756910322008,0.0009357268619014787,0.006329628126379853,-0.0006237025012918935,-0.016548773732172378,0.002509363868448282,0.003450946941377102,-0.0022274740098510958,0.003454358890191722,1.4404183024882637e-05,0.004278892099489835,-0.0012318249685665287,0.00366310409188833,0.008629239155392227
1,2,-0.5856504134403409,-0.046202070638911526,-0.19143674140512693,-0.17446311727960184,-0.12257151323922744,-0.06683135183927666,0.01962360082409201,0.006851793515808192,0.006545712960627087,0.009829523536903004,0.0021101828478990374,0.014372994030310934,-0.00707745490794132,-0.004242972527766852,-0.0003477653466368067,-0.0678915041466013,0.0010677448992403612,0.0029358622813883085,0.009204599715338357,0.0013403695755334784,-0.011425736901247038,-6.817712306838734e-05,-0.0011671661558311467,0.0016481837777106243,0.0033062597902669454,0.0019620564014612117,-0.00101948566799926,-0.0002797693032481885,0.003247622556655356,0.0073958874505388045
1,4,-0.6002697587309566,-0.06865241177224878,-0.1981388409847306,-0.16886459740843757,-0.12208233925714575,-0.09168820938640891,0.021085386640109775,0.004821781949403937,0.001069416424846325,0.006076486820163433,0.004874921565892967,0.013201583989401647,-0.007928456274462106,-0.0074321971901923235,-0.002614763280300163,-0.0738697244435379,0.0011466336242686136,0.0012225156517610403,0.008335163954176257,0.0012340986831531962,-0.011277257155213723,-0.001229872273574725,0.005518657574174582,-0.0010324841186662896,0.0034153164332842486,0.0004992187143043531,0.003629111145915249,0.0008358210158886492,0.003971817058841282,0.005920149537511842
1,5,-0.5961760829482718,-0.06641333850861555,-0.19674594127591097,-0.1677276274139049,-0.12237642836349977,-0.08936277084336532,0.02061877919133609,0.006270331433407428,0.001569307765901404,0.0076234776224012955,0.005377456813100723,0.011826082064012847,-0.00899187537214051,-0.0015876150281625236,0.0035684482793302283,-0.0718267096524881,0.001140922222905104,0.0014777323267053408,0.008374058421132825,0.0013971374058736239,-0.011688021415684337,-7.369259893209016e-05,0.004533613151960442,0.0006753759154926829,0.0031732902751246145,0.0007674155037116664,0.003969876660544393,0.0009756491913961299,0.003673005336269025,0.00565657006450831
2,1,1.55963576589751,0.17913608600101827,0.2988488569170853,-0.19548946121954486,0.5376617325903453,-0.03472185961869404,-0.02233568164908921,0.007316100854446848,-0.02903189888045236,-0.013579490823094195,-0.01478548771220651,-0.04472292036761116,-0.03482898504665314,-0.003501101229362021,-0.011481237366413375,-0.019115536328800725,-0.012399859271065725,0.0024477596223109427,-0.029136868486174524,-0.017857366148462592,-0.00287713765234584,-0.05008839413433214,-0.0023768680156113714,-0.0003344433827956555,-0.008549621235155423,-0.007122296729922735,-0.016202920501623103,-0.018707256158504444,-0.006048215787010991,-0.031107627311323268
2,2,1.5472316346869763,0.11556683629025181,0.3101288291332072,-0.19696679089475522,0.5445088036891107,-0.03518023869726857,-0.025152721704555035,0.006521699742668501,-0.02789223134581493,-0.012971699480244563,-0.01035072165668501,-0.03864605573745617,-0.033689490080013706,-0.00703886636935311,-0.01322895950051221,-0.019260492950402316,-0.013661009418730658,-0.008796393524924388,-0.024241734023263947,-0.01793882503170222,-0.00319201156059172,-0.0015368886086679317,-0.002363080317982687,-0.0031608373030125874,-0.006262474566525458,-0.005408093713816503,-0.015441831123646173,-0.01530833997129978,-0.005959399034564663,-0.0295778312865002
2,4,1.5164488828575495,0.15777023702997137,0.3299594144164476,-0.07692128495947557,0.2947964535277169,-0.02671325950886212,-0.02541849053147731,0.011259598878695837,-0.014687609439324033,-0.017536267157037457,-0.01143386977014696,-0.026033711069875228,-0.01201024829945088,-0.006282024125916319,-0.009474090107467158,-0.01427338701293335,-0.006237692612639429,0.0012368239565435973,-0.02056149194371062,-0.01566681703124076,-0.0023864813090985104,0.006403477417509275,-0.002686112018251503,-0.00662422208635197,-0.005267849622147244,-0.0072669177791154,-0.016176262897189445,-0.0188382791041736,-0.006007124023818007,-0.024997092704914518
2,5,1.5687437201228083,0.1902671491430564,0.3483651449540645,-0.18493851973353176,0.5586032681801196,-0.033012518511206734,-0.023254723358751252,0.00792031906841874,-0.022363054618908532,-0.02146125814001104,-0.013464410311998153,-0.03273223227433653,-0.03161380378963272,0.0018226839881284073,-0.012202527614101505,0.034088497890597945,-0.01108582363828597,0.0002353059976371801,-0.0107156316371387,-0.01781196711963592,-0.0038027483669306286,0.007831478408675072,-0.0026716882051181865,-0.00037383927247329544,-0.007341998187068436,-0.005060993172242451,-0.014996197450033293,-0.014278703055354188,-0.005507625985318823,-0.02338550982513223
3,1,0.11170341013363393,-0.08591312429753484,0.014976669007377718,0.03725965271595247,-0.10741432272793938,-0.03372783905040709,-0.021192754577647008,0.024969917712064547,0.014648323153491115,-0.0021624546821476234,0.002788870408166204,-0.0057074416980003265,-0.011729680111496778,-0.004034478176148097,-0.013978398603272074,0.024651946966331207,0.007402879382959993,0.010185773374095292,0.000740044463280431,0.003375639379650328,0.006041665742184269,0.001955229445011073,-0.005072505346972792,-0.021834319967104138,-0.005122590855650699,-1.8677042873203988e-05,0.004513693388345857,0.010058367516347318,-0.004317894824996667,0.008612187125304278
3,2,0.11718142264306336,-0.004639578113841617,0.04729294384978219,0.05243069887353143,-0.0903916483006335,-0.0382273880346671,-0.03144853337724122,0.028334434782560477,-0.020925530683814565,-0.0039007231235182083,0.0011482118160225422,-0.017223343791084395,-0.004519971538483603,-0.007343665767815591,0.010796576391439603,0.022076839790763275,-0.018785043673010697,0.006015930921189757,-0.006961741054110723,0.0009538218590721453,-0.004063457995250516,0.0010190700465352374,-0.00733762829888728,0.008283808249651753,0.0031393280714881256,-0.0015140673452274035,0.0036848658240354964,0.00566915126092685,-0.004516860719398599,0.0051295784428544875
