f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.dist_ratio.coeff_var,disp.ratio_mean_02,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.mean_ratio,ic.h.max,ic.eps.s,disp.diff_median_02,ela_level.lda_mda_50,ela_level.qda_mda_10,disp.diff_mean_02,disp.ratio_median_10,disp.ratio_mean_10,disp.diff_mean_10,ela_level.mmce_qda_50,nbc.nb_fitness.cor,ela_distr.kurtosis,ela_level.lda_qda_10,disp.ratio_mean_05,ela_level.lda_mda_10
1,1,-0.6649900420208814,-0.18947838057994926,-0.2090374024027482,-0.04938396993582295,-0.08282848457200102,-0.09998401146881486,0.0034588736248951945,0.013622830943568141,0.020618511369703673,0.014188019780783236,-0.0013089327210213544,0.015382086861088247,0.0019805469767332235,-0.021179944168074845,0.005381642127972157,-0.008434178862062483,-0.034329211995040895,0.004809327421805026,-0.0005880533074298486,0.0020950663576586484,-0.0017582406750698543,0.004199098191555569,-0.011584410411476263,0.0006649766587225895,0.0020943843893080675,0.003323296326228433,-0.014583412036336084,0.005002569238525598,8.92392897907821e-05,-0.001580996760130687
1,3,-0.6450859064997782,-0.18869479440755715,-0.1911948059520946,-0.050166744713772915,-0.07135960260961739,-0.09579947743508305,0.005890761431996613,0.008698204749718913,0.025751474205659004,0.017269625700741555,-0.0014267643666042225,0.017182660146936767,0.008971226461624642,-0.009442055789021695,0.01193716440185697,-0.003543592968178959,-0.028930416646363134,0.0067999202597935115,0.0024595298967732635,0.0024736392979708,0.013793445332950158,0.007167066210940795,0.008634418908292902,0.0031926324990650613,-0.0029944692705211867,-0.0014109593041743244,-0.010972850056054634,0.0062751422774265115,0.00283416373520017,-0.003620809389146434
1,4,-0.6605847625787203,-0.18920498706152192,-0.20649377558408322,-0.049601769565023074,-0.07976237647351032,-0.09832349600408476,0.002953919394814545,0.009287784506089976,0.02397720575619056,0.01715964172099856,-0.0013344528486385354,0.01615615993243438,0.0037187406124782737,-0.020954026993141094,0.0059497112147329076,-0.007936845620611319,-0.031386264755361104,0.0059651137004985205,-0.0001866622320067866,0.0020160771267942815,0.0006760775057781292,0.005481413153514741,-0.007440901774649167,0.0018092012050155964,0.0037714383201124012,-0.0012991941074318857,-0.012244297545647192,0.005426049164926063,-2.2515570413555498e-05,-0.0028082173147603658
1,5,-0.6579300645027963,-0.18786817388492988,-0.20768176719234402,-0.04936257305821719,-0.0787600974294535,-0.09609375149899067,0.0031316441289068898,0.009601337772533108,0.023972812840269895,0.014928978801514567,-0.00133438559258671,0.01617165816257211,0.0038728740558276057,-0.008306546629276313,0.006383169970386017,-0.007195296358258648,-0.031744869299456704,0.005543311693630254,-0.000615607656210209,0.0029231456335091516,-0.0010643979488093609,0.006667815137237259,-0.0075439775866600915,0.001773691489869667,0.0031198053758131968,-0.001342295588874323,-0.013230994320436796,0.005711907289921485,-6.19743559741427e-05,-0.0026028675108798337
2,1,1.5441020311978244,0.6058966403308824,0.09749302940826829,0.23541699248882467,-0.028715122007654678,-0.1252612837627093,-0.09212420665982189,0.017946257445424513,-0.044790238858996245,-0.018199294192812406,-0.00883731993108787,-0.018128080710063617,-0.015616825735381763,0.013404483438444019,-0.030308688393358624,-0.026014950830590338,-0.008707572784822516,-0.020966204190112088,0.0006467639023714131,-0.03191123907709291,-0.017912384709254905,-0.02038954757307357,-0.008792955111336116,-0.015544867790314212,0.0009400897289971325,-0.02394604839733905,-0.05254591265018939,-0.020901774329560047,-0.01307065776712336,0.0004434965796720616
2,3,1.6253980535480728,0.595074712069973,0.20535912006449517,0.23150708747039692,-0.03015851018773957,-0.11078413416634056,0.02014374946031757,0.01368754969308564,-0.05088787041885808,-0.01403618770163734,-0.013120075518182787,-0.0061798130081646314,0.0018918532389143783,0.0045022820261074615,-0.008489921507845045,-0.019494048072606802,-0.004756195693018195,-0.014465573077855865,0.002541792035837185,-0.02744373006568787,-0.013242315113530911,-0.020025822813651777,-0.007999187624359826,-0.014917414424701767,-0.0009313117133302991,-0.031362646660661006,-0.0592360778033252,-0.026251252199028803,-0.012175582051749258,-0.003640204860560972
2,4,1.5469917721367386,0.5446623487153833,0.2053899077801323,0.14530645340661977,-0.033642973605104126,-0.03473513642348172,-0.0013248492642996808,0.013716506353808555,-0.05697140208876757,-0.011134150740534279,-0.011383078198312947,-0.021039204298449243,-0.015338749793071458,0.0009629565966502961,-0.031706723377577434,-0.015140131656993816,-0.009048277207123034,-0.021834302542501165,-0.010201356081002994,-0.030206795433161182,-0.014379303342114446,-0.02125643958386008,-0.008096095492576845,-0.009731665129139106,0.0005030424219901135,-0.02076773735885262,-0.06154632272252993,-0.028084381007279367,-0.012932151226946867,-0.005294414160707794
2,5,1.5561467652239431,0.6013551726404885,0.20999919180827445,0.23592724309156535,-0.030939800463813925,-0.10988160837340098,0.021917819829768224,0.015130131238201058,-0.046255058013583754,-0.013416985079472435,-0.009179684772145676,-0.011830104847866705,0.00348281720247812,0.005869062793745396,-0.012542095223412616,-0.021965065285941037,-0.0036916665122554843,-0.014017285922213591,0.0029641138702495417,-0.02625097565352658,-0.010615031849407278,-0.018597998529851046,-0.007663469900268255,-0.015242335365952611,0.0007469503201840169,-0.024337203956471924,-0.054373802492560686,-0.019310151196070664,-0.01316260139869415,-0.003801574940015095
3,1,0.05607899217215627,-0.18049472050318616,0.08504704155403717,-0.044661997932528126,-0.027953863884727106,0.017174814964249788,0.01379959807410235,0.03321642699717265,-0.01805373528735311,-0.016587066804718796,-0.0017515389075589746,-0.013682239165564412,0.011688326482325564,-0.005086044587978309,-0.006395500923029704,0.008613271934357878,-0.004626680296183721,0.012240037587639028,-0.004803041312507228,-1.8606922510302947e-05,0.016393154204302967,0.006894988741672582,0.008809185776859319,0.0018757664653335489,0.006945352063997997,0.004383234693342343,-0.004727472813994778,0.004543732863952092,0.0013194079147153036,-0.0028668652711217302
3,3,0.06852236061813091,-0.048856328850157955,0.10589796754676818,-0.03180880654932046,-0.024128052673684872,0.02765117823054006,0.017857803448101513,0.03047727936532668,-0.026058907732860334,-0.012135411132117411,-0.0033929868855625935,-0.018207177332166927,-0.01021474835763821,0.018685681149119875,-0.0036974791618672354,-0.02362738617949397,0.004358863110871157,-0.008484167609688127,0.007576519837280411,-0.0001884617179877036,-0.005445171123956224,0.0023620290818748527,0.000584347234844846,0.0018520277520509584,-0.0031297633131173843,-0.005364813270287282,-0.005505383620947895,-0.003418182351885781,-0.0009991665598063967,-0.02027944645930195
