f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,nbc.nb_fitness.cor,ela_level.lda_mda_25,ela_meta.lin_simple.coef.max_by_min,disp.diff_median_25,pca.expl_var_PC1.cor_init,disp.ratio_mean_02,ela_distr.kurtosis,disp.diff_mean_02,nbc.nn_nb.sd_ratio,ic.h.max,ela_level.qda_mda_10,disp.ratio_mean_10,disp.diff_median_05,disp.diff_mean_05,disp.ratio_median_02,nbc.dist_ratio.coeff_var,ela_level.qda_mda_25
1,5,-0.47239735847332576,-0.17534630418934338,-0.2529118500854833,-0.10125011720596963,-0.11947420250929275,-0.0444181406640375,-0.055790644112759157,-0.06294921983465278,0.003708225059204851,0.004819380107946558,0.015687524689363335,-0.004078471594296544,0.009431066443668498,0.0025363315735597845,0.0009590430304387818,-0.009824622733913416,0.0005466503671124514,-0.002365476983527001,-0.005825035345342123,-0.010751667851621289,-0.0042343904974178346,0.010433401841167698,-0.016432246023300106,0.007052745577359736,0.0038658814456110423,-0.004973172729972585,-0.006504738383691883,0.005302968407088632,0.015353698910830636,0.004346734163984259
2,5,1.2809423173169205,0.6572125672703532,0.30574160386141325,0.314390141541948,-0.14739539279210012,-0.042764607551125385,0.01819474191643952,0.030813331735396212,0.009366345308815142,0.008348876903657449,-0.011059938064741292,-0.02156023411109502,-0.04676937535901302,-0.03029834422443479,-0.00763155315304594,-0.0026676783680396124,-0.023950535201531502,-0.007272759711687522,-0.002633851680580959,0.0007331685973212641,-0.014667278815357555,-0.036745678383795534,-0.02187088282282144,-0.01982891971012348,-0.019765493621905734,-0.013219526159979443,-0.01439791730158522,-0.022418885204701373,-0.030871835392734942,-0.0030778584387859465
3,5,0.026490310332760565,-0.12059105932537716,0.13181506070648075,-0.03262538517308942,0.03828132213112883,-0.023297845583239562,0.012110659397859366,0.05583926481147364,0.010825635554642802,0.0132332448248808,0.05254265045687128,-0.0074748579855007085,0.023888365083890962,0.017410980145494498,0.009053991088857903,-0.0032097757404423713,0.005570987845775543,-0.00413425752476965,0.013536966964174075,-0.011504079010304733,0.010294824082341367,-0.0013794703595218008,0.018435255426282056,0.03603942104682604,0.0018734050788505189,0.0016708846712477198,0.002578020518372947,0.011095561942228974,0.016595328816600197,0.002716045472612331
4,5,-0.0027404245684434594,-0.09133580517769078,0.11352589609222442,-0.029540586825247343,0.040678126387250366,-0.022480761825730167,0.021205977897981024,0.04052897826872212,0.022224044978876874,0.01407242658324132,-0.008846031670448213,-0.005850849795039139,-0.008025155399956952,-0.01604513591860143,0.009390922667176059,-0.0018849460712375469,0.0018641330788744957,-0.0030782218274565884,-0.010839911027783289,-0.011644647507682416,0.0012526982244102291,0.000722881741345308,-0.008628141358873367,0.02571875517268132,-0.00476282367870216,0.0018628560882475037,0.0003420645541521084,-0.001330119378847601,-0.010864020203158508,0.004115961271227051
5,5,-0.34912289981406014,-0.13443377480405533,-0.16636199845022734,-0.08047301821796599,-0.10457779208046648,0.09681194232486824,-0.016829355525171074,-0.032473911345816994,0.02096330069581548,0.015447476880935623,-0.005929933998169469,-0.0033068529683336306,-0.007611682258651282,-0.003414933083006905,0.010264512621898472,0.0116937980695352,0.002125055518198045,0.02021808546202702,0.002679958898048561,0.01633249437289042,-0.00013410411916117506,-0.008447255629857629,0.021583435533608426,-0.010849495695430585,-0.004496945554144568,0.0033776996271865285,0.005702779949844618,-0.0015687494843130432,-0.007832028314699568,-0.008215891678639183
6,5,0.013209201049041124,-0.08142240850040054,0.11209176062090728,-0.026310751261365867,0.04384820490124398,-0.023112293122148807,0.025094422181480884,0.049038382621343315,0.021584677859691946,0.013571405997467385,-0.01525788224141639,-0.001695735693215927,-0.010921838421582423,-0.011148407151867844,-0.0014772630234212377,0.00032915090635313307,0.0024849949750166737,-0.004545443533760949,-0.011273763509453314,-0.01159958809808659,-0.006213757635412256,-0.012530779811073865,-0.0127993683539676,0.025316271070288384,-0.00022631544539868472,0.006019912083102968,0.00443674919151509,-0.008435571041878332,-0.011330599876710298,0.0013873544534641655
7,5,-0.03213816057563674,-0.12550699370454027,0.08908555035719266,-0.055770775144486875,0.03159284881319027,-0.021328818993760084,-0.006750754095472131,0.03280968172740602,-0.03417061744860051,0.008524565855195117,-0.02216991866617401,-0.00203592571072497,-0.013363568153629058,-0.01047618706853372,-0.011746313113949323,-0.0033686855112687562,0.0035027824522434695,-0.00389221460323209,-0.006776244842178489,-0.008759711800008068,-0.001026916213605495,0.0012654388041320617,0.009093642139498878,-0.035065293490871056,-0.006173693054382946,0.0018667669098354788,0.011135841952747668,0.001725658912586246,-0.015699204792907737,0.0007210689992625784
8,5,0.046535770004718376,-0.07824032030175838,0.1426617793865306,-0.027639414930168207,0.0465587095766768,-0.03162646966601724,0.022574969716497605,0.057638962465896795,0.02608470542090252,0.0272923543525665,-0.0007370085710744751,0.0019847334892424645,0.022693893153614076,0.01109022118830074,0.010311683529038185,0.0015138477538486502,0.006574768714024856,-0.0020471969529991052,0.01235358978475602,-0.015179726711805312,0.009837143925628407,0.014846463925697804,0.018503458287559407,0.03608900356420143,0.0013072644049275666,0.003020735665647959,0.001823678120630612,0.01939576044191533,0.049346835954243905,0.0036429933197563128
9,5,0.035916212929943285,-0.0808524162215783,0.1436536487202344,-0.028734995600404517,0.02556497530778338,-0.02671551482610067,0.02184425550577271,0.05768590523125889,0.017577298529961965,0.014845366602542565,0.04320285523105427,0.000675698705868243,0.024241736135738694,0.011740909500698747,0.0032382739608306827,-0.0007889865601322357,-0.0018680018381015064,0.0023858944360385893,0.024757953964512993,-0.015378983103502275,0.009844238190550992,0.027817981864964217,0.013779937686991081,0.027883330765837166,0.015241957880436962,0.009167528139956279,0.0011507747102663132,0.02025131050502742,0.047503285239742836,0.0004896420407755817
10,5,1.3406444358407401,0.019518689818678506,0.1875545646897801,-0.053376272690872015,0.022327160514727877,-0.03311417003106748,-0.007105951651291258,0.03920896765655567,-0.02330680184948164,-0.06860099165108179,-0.008458282625175747,-0.010637556915173535,-0.03607375716430379,-0.02019877095372523,-0.006203312251381119,-0.0010285748315798106,-0.0030382130731164726,0.003839622434253136,-0.005651383983562659,-0.006554466214605432,-0.01516997319153657,-0.004009232093397535,-0.012295784958541537,-0.020859426713172768,-0.009546236416975811,-0.009703091947805505,-0.004859188143171733,-0.013286136294017923,-0.024245782277297203,0.000564004052917082
