f_id,i_id,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ic.eps.ratio,ela_meta.quad_simple.cond,ic.eps.s,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cov_init,ela_level.mmce_mda_10,ela_level.lda_mda_10,ela_level.lda_mda_50
1,2,-0.2850677435252186,-0.041682135573516244,-0.10012266350689336,0.009773541242311279,-0.09095963844034849,-0.08069485437502305,-0.016372262340782817,-0.035858778577975814,0.002511462309242929,-0.03864419259950136,-0.07687623663821186,0.00521981527012505,-0.07173436294878183,0.021094392894145497,0.004560599070703719
2,2,-0.1107065462889838,-0.0625553928589006,-0.07177429029058446,-0.3265119195151933,-0.06801560460235256,-0.10671337701396766,-0.020112732855748272,-0.059794528921213064,0.0,0.01055320731793885,0.018042302184238412,0.013781582673133674,0.0,-0.011045757073460116,0.0
3,2,-0.10793463872134414,0.26157845766247684,-0.01940593751226255,0.025956692764015063,-0.02087141193311008,-0.08451107544059977,-0.0075581880057415465,-0.03243900775392124,0.021489797886153197,0.019939533463767783,0.025763061828416832,0.010055218383071177,0.011510109820918955,-0.022191264825104685,0.010939587929668773
4,2,-0.13941529750078413,0.20331301839697646,-0.004928178034945767,0.012877959994926101,-0.010947584845626739,-0.08457732428593984,-0.006303062383808747,-0.040419643748072984,-0.020770461221395125,0.05228555183873121,0.04039045417660598,0.015708627265006977,0.037490852748401686,0.022677187551887662,0.014938835594441896
5,2,-0.13747643508092366,-0.025798266587295338,-0.07890692261091792,0.009554922319621184,-0.06365115935646048,-0.057204160231527856,-0.03655409462699449,-0.03439066961685655,0.025421136907760655,-0.02203206998751256,-0.2212779081502062,-0.0032000614091199364,-0.15505132128682064,0.0,0.009576338146515595
6,2,-0.16038436932103983,-0.02134848773628118,0.10327427026284898,0.013599385699686203,0.06803378515073831,-0.09595699007738102,-0.0030754024292711235,-0.041701093550194815,0.0012930332517075566,0.014369528931168274,-0.035371026005526274,0.010515118064857748,-0.049311514973782514,0.041362276214352234,0.013538985301914608
7,2,-0.11040832491973307,-0.042504270611039674,-0.041147638963482114,0.013652842206820837,-0.049794990995784244,-0.14538521379495067,-0.019292649943995543,-0.044069977381569314,0.025550828982949525,-0.03706339482319754,-0.028138718839512467,-0.0071106929004030595,-0.022525450447809153,-0.032203349916107626,0.0
8,2,-0.15055689902434882,-0.008622237511502626,0.11898949600386957,0.0140300270020623,0.06388270760864743,-0.12437266908855177,-0.02063909447910868,-0.03171547852869618,-0.017533851451099338,0.0029091066834570434,0.05065417634430974,0.004935431852234648,0.06123250179509292,0.028092123512052217,0.012233913116358339
9,2,0.1182460863544268,-0.006436649543059406,0.06605521951217218,0.013245496600116702,0.0217888336592678,-0.048796481584457915,-0.030526562347401254,-0.039096874423329986,-0.042728870535102735,0.05031066278052956,0.020805299873471406,0.029882943565084377,0.016587637025740454,-0.025391075328202443,-0.003836426695884909
10,2,-0.07498179269025784,0.018560980971849883,0.6152785053200112,0.03475242333615958,0.5675348498912149,1.645352305137954,0.040803981212273355,0.0,0.11916326768997809,0.02326237926685404,-0.0355671077809101,0.009439403897181231,0.0,0.26742434762766876,0.034147183430146555
