f_id,i_id,pca.expl_var.cor_init,ela_level.lda_qda_10,ic.eps.ratio,ic.eps.s,ela_meta.quad_simple.cond,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,pca.expl_var.cov_init,ela_level.lda_mda_25
1,3,-0.19166780768171543,-0.022529957990824856,-0.13183328160479302,-0.1286995809157857,0.005269958722875279,-0.08013369091167888,-0.024402509632030944,-0.10323438889532649,0.026288516465020784,-0.009868640769875148,0.012975017491906105,-0.08810629602537423,-0.023856122052484607,-0.012235151436190361,-0.0402785750786927
2,3,-0.045524611226479716,0.23818772789038783,0.13922470118958352,0.14138793047446202,-0.26219702364192665,0.0,0.1419915166373243,0.0,-0.01674585190022282,0.0,-1.1281349847699031,0.0,-0.020501915241780355,0.0,0.0
3,3,-0.08797847382402993,-0.04656157784360626,-0.04201881334811164,-0.05235111747081861,0.01452862960349699,-0.1771594467583137,-0.03944229314542386,-0.14091998386441362,-0.06558373797694822,-0.0270104761191145,0.06977706435547393,-0.03617003034956501,-0.048073137724866655,-0.0097494176050833,-0.04112697217326078
4,3,-0.10353306455354463,-0.0031144314722675315,-0.016360883675874377,-0.02147943483167957,0.013957885956448965,0.04413427399055091,-0.004873695674096956,0.047567247304194156,-0.004795590969553225,-0.01966003386109931,0.14905462325693813,0.008344625931261888,0.008882368143799169,0.0068424746246936105,-0.041237297438934895
5,3,-0.045847119141716686,-0.008859685918790883,-0.0549527002696486,-0.051034941211325124,0.007801216729789728,-0.2286030144797574,-0.012448831425488638,-0.2636664628032782,-0.023595862840125104,-0.03585685388637683,0.013646989847556745,-0.029122595915267835,-0.01217253082118086,-0.011462586832268529,-0.051299794200331705
6,3,-0.11297114151784421,-0.0435135645699718,0.02237080712042322,-0.0090793789473268,0.006686745442495784,-0.11279474788951,-0.04465662773069318,-0.09904689733181465,-0.025219088899157305,-0.026971496399744443,0.03390364695086526,-0.045557918290540955,-0.029322043366467154,-0.006090708227271285,-0.0524520304759597
7,3,0.1189685658619763,-0.00988310677710752,-0.11520330696632465,-0.10979648535422055,0.009198233843745875,0.012184651654528665,-0.006331182813783559,0.021205051005380345,0.14126486890288845,-0.0055923533772003695,0.05286278548341527,-0.013146447726378567,-0.02350065284988742,-0.013624458696502618,-0.07520096152331304
8,3,-0.21296867145397,-0.03745947760777285,0.058537157465165496,0.03689967626572198,0.01348678685556922,0.032703389978532546,-0.02861121563276195,0.029473621153672424,0.010145837379481753,-0.014562084795537052,0.04461443497661602,0.06372893060395135,0.04528146822147308,-0.004401633490040819,-0.049851461624542556
9,3,0.08978328570347899,-0.03734819970838853,0.0,-0.027058902065598328,0.009892754252344316,0.02739139322974482,-0.04250995591836154,0.03171298152749402,0.02032220194405493,0.0677267080051128,0.0552963249001935,0.0,-0.006003472457743644,0.0,-0.053159280148243115
10,3,0.11042507270188406,0.15027183641641662,0.47515661813412624,0.4697273971354299,0.011500154998574486,0.32225952421082593,0.2432601621065702,0.2334823579360754,0.036830368354277,-0.02497930937274373,0.156818985187672,0.1245002832998725,0.16695652177845743,0.0,0.6709966084432937
11,3,0.08138542704850682,0.22673132347726732,0.40047283064318107,0.3821024048773709,0.015834938297498824,0.10152704677797197,0.22952349895318735,0.10708732750428274,0.01304713080947062,0.0,0.10821794911194205,0.0806546805864895,0.06716029183498473,0.0,0.4001945579335915
12,3,0.06371952466870831,-0.043021090286553904,0.09365949941609669,0.11484124727865166,0.015556363297498287,-0.07586298106968523,-0.03501626175853245,-0.058746297070106104,-0.01796701152793368,-0.02264327366507885,0.04932463041193291,-0.009418695774525705,0.00994739557650192,-0.0011880944236093566,-0.061218635613930025
13,3,0.20721128868418442,0.026528058858536402,-0.013490710321664684,-0.025533499882982647,0.010679525014694574,0.061852201657485756,0.012769724048739606,0.04694230439518915,0.055696915966683525,-0.03279987941058182,0.036415174754099056,0.05304375724492183,0.01335423622075721,0.0016841276611140321,-0.05491032295512338
14,3,0.11601358162875212,-0.06541072473113284,-0.104163463563558,-0.08343245387594347,0.008887945843635874,0.022729186061710323,-0.03886500196597218,0.03374457830426479,-0.04460363434501188,0.03188635094789351,0.04569907264786771,0.04502469996519853,0.06903359728207989,0.0,-0.053138533532567735
15,3,0.11961790828025151,-0.04595746271799647,-0.054473400091771595,-0.06681756560639074,0.013599280983421197,-0.12584719791596843,-0.03246081818193358,-0.08496403242353362,-0.13596139477141617,-0.06652082886400312,0.021324019645545422,-0.003842547110124217,-0.001827822816505703,-0.004940351970469603,-0.061512709972241786
16,3,0.025155081685264896,-0.011669865685652953,-0.07415392118349656,-0.05890181334856756,0.0027850348500015887,0.04127922522896363,0.02830323389208697,0.02954434130695968,0.002785036055483886,0.010132046274687001,0.031198819939451866,0.13485080547361672,0.12203043307590267,0.047256408169227604,-0.052263316170092666
17,3,-0.08771996410846022,-0.04848416866408159,-0.11663088023318208,-0.09812006466319623,0.004228489140351177,0.015626573900424767,-0.05465442948267235,0.022440776593479206,-0.006996824395305634,-0.09915849145824152,0.003764812416888752,-0.08653733105797645,-0.047507026223254256,-0.025978406810917093,-0.04119454105034914
18,3,-0.07755878672514482,-0.030795308698309376,-0.0951591166318701,-0.07562479044683829,0.006251665620384428,0.014384280772280239,-0.04648522391116705,0.011992234353232545,-0.059251626417124836,-0.06887424036740986,0.006290050159811822,-0.08803048503774646,-0.030275675981867867,-0.018861025179334023,-0.054055322647167836
19,3,0.17945499862676614,-0.07676009941170342,-0.07367328620193095,-0.046211219464891096,0.0,0.03803392749563145,-0.09818833388289025,0.046699817203520864,0.0,0.06911475318097665,0.03508963468384945,-0.05963517671943664,-0.14831959521221216,0.0,-0.04519990343836719
20,3,-0.3200079848627966,-0.06288357504064518,-0.021409284861272526,-0.026432566049623962,0.008402128021646027,-0.03838405302321074,-0.05196966760160271,-0.048349140723882744,0.009094266430680648,-0.02184604770785961,0.04279231343268408,-0.010371644634649013,-0.01073622381609235,-0.0029143971042124017,-0.05664864950621418
21,3,0.030745146915994767,-0.02887689665902228,-0.08849482432299349,-0.06460843213694406,0.010889115819342488,0.020562995292979974,-0.04933274001863544,0.021764500382572077,-0.01352805854376496,-0.02977040918197521,0.03002873022029315,-0.07886645067914932,-0.08521378770274965,0.01800317342136977,-0.037266363789564216
22,3,0.032684817619920675,-0.03411084289919884,-0.09739814575143371,-0.07843817796934609,0.01223008009880109,0.020413856491468256,-0.051341740845933306,0.023898300552886026,0.05280519264799223,-0.01845942757134779,0.027549471867221138,-0.05608045643550337,-0.04299698017844208,0.14292556792207325,-0.04666953983330871
23,3,0.025149863333893144,-0.03548792969403203,-0.07008678613607056,-0.05951018746845024,0.014750870471435043,0.024400590808550254,-0.025155840415492098,0.02833576700520135,-0.005960245710062567,-0.015900285394931685,0.03154659793618636,-0.03564323045887491,-0.04001245898257372,-0.146132126816812,-0.04979280391034052
24,3,0.11104442903177625,0.03418691116359607,0.0,-0.011880294096072386,0.008620825105015384,0.053336040702262055,0.03842931547584122,0.05283282632853592,0.06295205156799966,0.35741265521903254,0.06390414024488106,0.0878356921605753,0.05566530312653839,0.02239419495888323,-0.033299582656334925
