f_id,i_id,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ic.eps.ratio,ela_meta.quad_simple.cond,ic.eps.s,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cov_init,ela_level.mmce_mda_10,ela_level.lda_mda_10,ela_level.lda_mda_50
1,1,-0.4544749940872399,-0.002047199518022347,-0.10805091848846388,0.011386436977764647,-0.1030399825086108,-0.05469881910179142,-0.03615382969185443,-0.0347855324682374,-0.008808431151114904,-0.04215563466774491,0.0078116293022378325,-0.015944601366828515,0.0,0.011678383048620788,0.0
1,3,-0.23708396004831356,-0.004343896097874167,-0.13575863006877303,0.010689089536625784,-0.12474330933739664,-0.07586990733268667,-0.037069902136636745,-0.04146110392585356,-0.01672521620202172,-0.030702721662808685,-0.05797407880771621,-0.013465472112947907,-0.06511353953407806,-0.0044602385358710195,0.004799392574322381
1,4,-0.46652503948351265,0.0,-0.11119913989809488,0.012304467695299637,-0.10318528743135102,-0.05470204757482883,-0.028716748772885103,-0.022156686016026272,0.0,-0.03261192014867764,-0.01654076929994197,0.0,-0.02385482346990425,0.01790450045905001,0.0
1,5,-0.3758453119027231,0.008550729068730528,-0.12960523989573802,0.052005870613766436,-0.10486049163682776,-0.025453900396772755,0.002873412619861182,-0.008066133275817733,0.006312749908091664,0.005549973371083511,0.06086537630798705,0.0,0.04543939133330244,0.04362373854158899,0.032356243930604156
2,1,-0.07362859379597214,-0.38460763474079246,0.01194200313559829,-0.3938883998216549,0.01875781424280165,-0.027420609074732205,0.0,-0.029895262916628418,0.0,-0.006764326737371151,0.0,0.014292881687281545,0.006692875516959407,0.03523575869411999,0.0
2,3,0.0,-1.3094689850016799,0.197924283106566,-0.25738757006541246,0.1614289899441273,0.2685009867698027,0.0,0.0,-0.01971870915674484,0.0,0.03996384196539249,0.017143894572055007,0.035886973454333726,0.024744601479236683,0.011698199363050277
2,4,0.042357959840885306,0.0268989705473211,0.11462490639305506,-0.21851496796731262,0.10554284335691211,-0.0351520655837837,0.3829221600685673,-0.023758102865452047,-0.019961045136548727,-0.03066604933921424,0.03510610996729324,0.011975067092594938,0.003753187882088921,-0.2358557571924843,0.0
2,5,-0.02680735535072143,-0.2655048260571178,0.07419023064108826,-0.6649481725232205,0.06810117392126153,0.09111656332141083,-0.026781024974140144,-0.033160598971960886,-0.09373556825114976,-0.028338754085433737,0.03354486558808234,0.006035827072583766,0.008344900441929592,0.01452074319616492,0.01413850246194992
3,1,0.12695509532582358,0.019026620358983004,-0.043566838082808756,0.015805951509749117,-0.06065848972794685,-0.0559874246504701,-0.07978801455018819,-0.12528959582271948,-0.10730476739753353,-0.04563142618912419,-0.007722158346876201,0.022637485506945804,0.013948492578318927,-0.07708663868749122,-0.036186442175081046
3,3,-0.2734277593745106,0.0516268491286368,0.0,0.014760508037550524,-0.0027100771951890368,-0.059345523054014665,-0.019930621932394532,-0.028169312152765302,0.03697698219490847,-0.013681496242826968,-0.06806817314778002,0.00614216487526445,-0.08840544560615504,-0.017543501835577235,0.002058755747960217
