f_id,i_id,ic.eps.ratio,ic.eps.max,ic.eps.s,ela_meta.lin_simple.coef.max_by_min,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_distr.number_of_peaks,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_qda_10,ela_level.qda_mda_50,ic.h.max,ela_level.lda_mda_25,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x
1,1,-0.21416227954201417,-0.05568672082332582,-0.17306570106122243,-0.06492425488870324,-0.03802047292766525,-0.05071763772718818,-0.03031549058551708,-0.4816754174776763,0.0126714127702926,-0.02953114409963875,0.042992992995194435,0.00758651980137226,-0.0689309911800281,-0.08562903220226481,-0.06216080701761051
1,2,-0.19533421176114457,-0.059280661303124926,-0.18266110772961053,-0.058856071365795126,-0.03599452705839651,-0.046245065388144546,-0.038118725530166375,-0.28046766014149005,-0.009492875711674842,-0.01655865587880767,0.0,0.015780358081981305,-0.06500013680957928,-0.00801190236596716,-0.18304765010362634
1,3,-0.2984511869032459,-0.0586513304849654,-0.29104093702990486,-0.053315866616696406,-0.040104650726944135,-0.05096130303582774,-0.006329834287711278,-0.25705517469053263,0.004849662367447383,-0.06305769385287852,0.01147170325449498,0.049084339170442304,-0.0914579004734869,0.08519331543709396,-0.10363807422470295
1,5,-0.29975583441464837,-0.06090670216522187,-0.2632608030205117,-0.051973334722983155,-0.036930352477459905,-0.05078044373667456,-0.007695256293256181,-0.3689923201393208,0.01212499112069415,-0.0360451600709526,0.03792798297259192,0.049374626860270165,-0.08166599844686934,0.1190294212166163,-0.12391574877969203
2,1,0.18132706899775453,-0.03370193159414514,0.17181229473235904,0.4127412311932728,-0.024236154492504602,1.2155172643279244,0.022242938160588865,-0.022775027660071334,0.0,0.060409421286000464,0.011524552471255167,0.0,0.021269450704770154,0.0,0.07981003047133006
2,2,0.2805765328345309,-0.046949140163117575,0.2275502625230319,0.5526445125138274,-0.022626975700945517,1.048325272601636,0.028897774008178168,-0.09646207944089502,-0.012036948301597072,-0.038150947016973524,0.015019198774392173,0.026677870456041752,0.045038556273246044,-0.02027744167032497,0.006656991062362838
2,3,0.3396256758737972,-0.027695922785301308,0.2722803222438186,0.5318612284665414,-0.0275094367742702,0.6418871279149505,0.030375387782623164,0.022654950228611748,0.0,0.20919925735254719,0.024630163926846915,-0.05005136045967351,0.0785904368880137,0.02455485710237304,-0.022182454609174673
2,5,0.18583839462146257,-0.03555050007549698,0.15988686802320862,0.1703666814546675,-0.023771778587114878,1.3785693270491983,0.015218127663184866,-0.013945138240287314,-0.008612661338116001,0.21865862473942,0.0,-0.005448675965413763,0.06269997944662387,0.015490149338254211,-0.023458259531056846
3,1,-0.07561765961161403,-0.06739165886186896,-0.0651766831266068,-0.03767938894919883,-0.029139507075846265,-0.048280420899954435,-0.006845648044721327,0.22563139631930476,0.021591522238729725,0.13514957749501075,-0.03651819381768849,0.07471762493345087,-0.02430993616426364,-0.03932583018778883,-0.01754088503411015
3,2,-0.031349009758688096,-0.06649246840186072,-0.01903934155679353,0.5853643103773883,-0.04004601039751752,-0.060484064252311356,0.028180304592621636,-0.10274000586239496,-0.023450943873874003,-0.01291292901055184,0.00766588893498972,-0.04471712806621951,-0.03101554555011754,-0.017499555324270638,-0.03062271633652061
3,3,-0.05448043477355208,-0.07136786595739775,-0.04209216757560169,0.058409817478049075,-0.043686382606396845,-0.0615811183187529,-0.043336938997786456,-0.1555247753742584,-0.015926920973285408,-0.003668111349965031,-0.008540186519857884,-0.07489050578981021,-0.045756517161385235,-0.06381250404597727,0.02873902406180695
3,5,-0.04458691089710844,-0.06428501971547085,-0.04784071526888281,-0.02886597715619517,-0.019859230159265467,-0.051925741679029636,0.001786129084580132,0.24195871708812672,0.04201090203486911,0.10547929694662578,0.06950415776590589,0.08193022687461374,-0.02461016827757169,-0.031065391420624935,0.18175520194220718
