f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_meta.quad_simple.cond,ela_distr.kurtosis,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_meta.lin_simple.intercept,ic.h.max,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.coef.max,ela_level.mmce_lda_10
1,3,-0.24157516500388188,-0.2377363233014685,-0.01456332820180184,-0.03558965723893237,-0.018750850464278546,-0.30840028134378084,-0.04088234107736394,0.03433687343834957,0.11649735158474195,-0.040615014330014826,0.19493800106343873,0.02964085268480976,0.13379205061048294,-0.049933093847271126,0.2647323746151001
2,3,0.423020144934972,0.3077079559006055,-0.013065803867083892,0.8075101469746033,-0.024343224035002886,0.014722633163897547,0.5375712825051366,-0.04374669172749912,0.20557325253992698,-0.02645686980632922,-0.07180845696103022,-0.016846431663374295,0.04561069163561782,-0.027798275642836323,0.03954835059056272
3,3,-0.004289429541941003,-0.010077097127015572,-0.021529030774819047,-0.04124437175155027,-0.02399349218992944,-0.2074991028562268,0.0628229309266363,0.031087331093508863,0.053198778391931184,-0.047125220124495104,-0.10689005508944627,-0.003172617922948595,-0.09543174350601635,-0.05075537687388265,-0.08189001936642043
4,3,-0.0065469965371534045,-0.001757171949328007,-0.018414210041366563,-0.06001678139694733,-0.027882161158374635,-0.29662239000534046,0.0355621612752105,-0.01084573462780769,0.013886927733226612,-0.04212523408581584,-0.025899410645025434,-0.018112438774443018,-0.04418690386368093,-0.04781091459370934,-0.07096121945400835
5,3,-0.10439153442085397,-0.09378160631433233,-0.01982779291005643,-0.030115324861629822,-0.023302652938039597,-0.18962265781472526,-0.03820595580570896,-0.01677360394193128,0.0978914693411071,-0.03893791251770726,0.037119583567871095,0.006834364670023296,-0.04774534817137427,-0.050300373362922396,-0.012388339046035202
6,3,0.241352392170071,0.17806602688608392,-0.023628724688185037,-0.02566097706341901,-0.015741157389465694,-0.1629815847768786,-0.044718909730314116,-0.14857426901449822,0.02132950699419172,-0.04276230373782782,0.04966597236258406,-0.004484664892803415,-0.015353175688922256,-0.04308486339422302,0.16242885234709928
7,3,-0.07270071114064075,-0.05989533870953703,-0.02491704033935338,-0.04163726180637062,-0.016595450340732842,0.20861741818518317,-0.021517382390059847,0.018274273997860024,0.3429572780582909,-0.0391077880876225,0.1081878389401082,-0.00226877098280015,0.12473987362271727,-0.04156280761316683,-0.04605851787295229
8,3,0.31344269696820715,0.20927649083243588,-0.018478130939453635,-0.030629099629815637,-0.012972052705518822,-0.1795181349865782,-0.012670512716141002,0.057469018331310184,0.054780810736603514,-0.037304402813144205,0.034466188860956426,-0.011389660970934246,0.03902571623462947,-0.057188018509315874,0.4203425672076904
9,3,0.36907434805877437,0.2619342600380826,-0.028249331964767255,-0.03717857831900673,-0.012230560102415244,0.13823894648100854,-0.0027063969908171503,0.005401626448787944,-0.06701982696708328,-0.04211973765123983,0.022671498709770643,-0.02731758503810927,0.10940589382747384,-0.04634607326845944,-0.01860692321171975
10,3,0.4553371241393602,0.3446603688062767,-0.014656804414348912,-0.030072797006130636,-0.025174988552191302,0.4564185589602505,-0.023813713285677607,0.06725357322406478,0.14763386766034015,-0.046521674541633196,0.0317456189027121,-0.013732815930634135,-0.06437063893285883,-0.043367191092320956,-0.007387807531184398
11,3,0.41503943108430696,0.3181031943736973,-0.022064974643617556,-0.03719979926453094,-0.024118451067870146,0.0,-0.02297781518720529,-0.19206816509354419,-0.02565209746831848,-0.045328578950707576,-0.23548349294029375,-0.011076704906439035,0.05674337018894278,-0.05950136079330428,0.02883578331422884
12,3,0.28123499127357987,0.3558408245066822,0.5161998860152481,0.010488922915621313,0.46820170145486983,0.04802754051015401,0.0,0.23053018506631973,0.0,0.9821786434696311,0.15619045036160362,0.21569751936245507,0.0,1.0667491262818558,0.0
