f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_mda_25,ela_meta.lin_simple.intercept,ela_distr.number_of_peaks,ela_level.lda_qda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ic.h.max
1,2,-0.05624039637572087,-0.20371684839368898,-0.18959881314467097,-0.03294388906487622,-0.04300888184703833,-0.05212048015964155,-0.29560034701654003,0.0071853134626787,-0.039866451027948724,-0.02192052854861437,-0.028984020978986225,0.03006759354265265,-0.2275228292238124,-0.08244444565403419,-0.014406053144226494
1,3,-0.05461987627577458,-0.2713260914592318,-0.2545680283558782,-0.029827612771325063,-0.04314492673485376,-0.05420205212033968,-0.37545242182284166,0.024187844415789916,-0.051711908967784215,-0.022723358433141827,-0.008491522134194796,0.02641265406970328,-0.072852425677431,-0.027265041073423646,0.042733794944058046
1,4,-0.05458982870287832,-0.2079335824334384,-0.19601881025002332,-0.022125329226794332,-0.04199353906818881,-0.05525216840200642,-0.3770599530613662,0.011032924865701954,-0.03591260477197755,-0.023861432547755523,-0.04226097464746659,0.011608893508497364,-0.178698474659445,-0.031003922998323108,-0.007052275179003864
1,5,-0.057064936861345394,-0.27444107324530487,-0.23619342174088231,-0.026965670078648585,-0.037080301148911365,-0.054252701697577566,-0.4585690072438564,0.02356841743646132,-0.04629834300216995,-0.022209336649374523,-0.011617858502302125,0.03619701093535499,-0.07225556041554038,0.01137887081945177,0.052952938997976595
2,2,-0.04759559017377779,0.3602434665877452,0.26055032530241395,-0.015397688812048393,1.0054104270244113,0.5219326640678895,-0.08066841676644843,-0.008136181784990093,0.07421150002386245,-0.012865640471454998,0.021869284076902362,0.022046925150584595,0.021283318464094036,-0.011107244526898263,0.011949481900585646
2,3,-0.03260291055857201,0.3488869910307286,0.28448104006686403,-0.020144053370049653,0.6246127580410157,0.8097582587925275,0.0,0.0,0.05053858897171892,-0.022071489606622308,0.0,0.1414028455348615,0.0,0.058823262152085665,-0.018900961146546713
2,4,-0.04541000599916223,0.22718050366135378,0.18640945905425188,-0.010354460450621494,0.40990142512119,0.03602848356905736,-0.022077653280196174,-0.00725012827424254,0.23684639449029526,-0.019651588986853152,0.0,-0.0899711430390071,0.08691911448955836,-0.009940611522726572,0.04698511398478811
2,5,-0.026281140135330894,0.19325826982520744,0.17414854489152942,-0.020310243752985402,1.4516444356168432,0.2648783820506817,-0.017937194461417505,-0.01112616330938021,0.04954838296215769,-0.01796840959971202,0.0,0.15205781499389426,0.0,0.04056388427743207,-0.0076922334509084145
3,2,-0.06028814413222035,-0.028514473864897832,-0.016202786065926802,-0.03436057396982298,-0.057461435804235045,0.4333262380048275,-0.02427584238843139,-0.0265419778785395,-0.015850445141926302,-0.02643777116990932,0.010354711966849839,0.020303729639439688,-0.018338302192823862,0.011307662471843768,-0.035565844259599244
3,3,-0.06823589371693968,0.012144677690467101,0.018336300689045633,-0.03364535977538516,-0.04828618585727357,0.13387945000100734,-0.08993654873329082,-0.00944484818104599,-0.006381231248429811,-0.022442718016862172,0.02182952922365549,0.030364087380117553,0.03631277904745124,0.0037609376282722266,0.03429638248396247
3,4,-0.05931197240580266,-0.06152125441806719,-0.03799551285237335,-0.0325526733298403,-0.054138856865220686,-0.007309854932040449,0.006170080304357339,-0.0320272463492679,-0.03795766170661169,-0.027023038798629995,-0.02695704728839049,0.0202572407552071,-0.04527494815335889,0.006997902822773322,-0.132621186183141
