f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_distr.kurtosis,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,pca.expl_var.cor_init,ela_distr.skewness,ela_level.lda_mda_25,ela_meta.lin_simple.intercept,ela_distr.number_of_peaks,ela_level.lda_qda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_lda_10,ic.h.max
1,1,-0.04232681020871043,-0.17657261434850713,-0.18714337020847904,-0.029557971863219956,-0.06656555588284352,-0.061940849239836115,-0.45575402411330046,0.01979047291484548,-0.02564258683601317,-0.013220138823258232,-0.006448036970443938,-0.03830388228942194,-0.049992038522432836,-0.038539766227501104,0.0
2,1,-0.03442920513567016,0.23067097915035295,0.17880084137757968,-0.02249526904300536,1.1591247526487258,0.7187832818137407,-0.0386134111021712,-0.02803026139681508,0.03916491190205584,-0.01695852080837723,0.020375532231395432,-0.027334261541630323,0.11389901084727838,-0.027128298971486275,-0.019476556650209087
3,1,-0.03921330139477168,-0.10015187542171763,-0.09652369951270905,-0.015097648683066255,-0.049140458589015897,-0.02876942940354197,0.24015605139154309,0.014020386659969714,0.003870629769348141,-0.010389470439271076,0.0572828085244204,0.15049624440769593,0.0017931807987940779,0.0026702137270737947,0.2526462524859183
4,1,-0.053312767538970046,-0.08900983908026117,-0.05545252910849374,-0.03856721366841592,-0.06605451914550814,0.0473742834034272,-0.033692439317186795,-0.03836383108630148,-0.017680619565915906,-0.002609483425695336,0.005895001293136526,0.006492130043163513,-0.054159071364215605,-0.04374740854736914,-0.027825950225305707
5,1,-0.039658205908903954,-0.11388735521448312,-0.12074239344680648,-0.024966647315285473,-0.0501846804729395,-0.04855554102599963,-0.13582544481266806,-0.01497259595352507,-0.06564577978355846,-0.00772983690323753,-0.02238771528162753,0.04151198177236659,-0.027841263973384434,0.05826338296460687,0.0
6,1,-0.05177649938898378,0.23997133612265736,0.1655814895662444,-0.0350251575513455,-0.051673158702943575,-0.03433781973906355,-0.08531221848730061,-0.02001733087634397,0.0042234074900768664,-0.009356320613517682,-0.11030745597824113,-0.07785903410250501,0.003756352846217101,0.27101157611209425,0.0065653288731829795
7,1,-0.03695847453898135,-0.03749541232730877,-0.04355136779800253,-0.03260940115040911,-0.05992911443573565,-0.05036280871026341,-0.08862886428873801,-0.028521610719243612,0.01715212339136951,-0.012343650038206977,0.010693683663859588,0.08326310868205997,0.014026481311806838,-0.06180799952659119,0.010873869116537316
8,1,-0.05381178770787057,0.30767515951848456,0.1795108866204821,-0.02628342203193934,-0.05281268183184035,-0.012663861066990967,0.06123575427162087,-0.015359406380561158,-0.02683953635946837,-0.008023868817402524,0.04606927790582799,0.053423531640423405,-0.0076666699786156756,0.06353573185253719,0.06788804158646222
9,1,-0.04938393067216121,0.3910140290971217,0.3142728079737207,-0.028102227585231565,-0.05169584361390511,-0.013321822568743896,0.08778124675610252,-0.05407908960638247,-0.028469447131024783,-0.015388407607709875,0.026883152973608104,-0.04354662696991582,-0.13688267420320924,-0.001880796366572568,-0.029922125279658207
10,1,-0.021129234859379897,0.5783310851395274,0.46217672870731885,-0.026228261019641375,-0.03782480597473814,-0.03304537614155323,0.0984556719055174,-0.02202979361136914,0.05922538825737256,0.0,0.05636625423249009,1.2171294132721096,0.043033877259311515,-0.0335531381615124,0.024200388661516303
11,1,-0.030156069756893042,0.3839589400612606,0.36637483300673057,-0.013944625048216919,-0.03942648056368854,-0.02690286297375824,0.06750130153524703,-0.03947012400063524,0.34692020134198975,-0.027205347729819765,-0.4976950083357294,-0.2903603970469696,0.07836241508219705,0.01434956420326608,-0.18190427258066666
12,1,0.9876293003428502,0.6192235084441695,0.7183064228531215,0.6765537735134308,0.0,0.008958155811948698,0.02991802807085575,0.4287416319260249,0.056558161237620475,0.22622769003666576,0.26041445785842177,0.0,0.0,0.0,0.26973425029378095
13,1,-0.042172611250827496,-0.10831726606818447,-0.1434806347912538,-0.02781570134484665,-0.051200779718524464,-0.04078997620297686,-0.25475044717259626,0.0043626517022046785,-0.015141892636900134,-0.011469454908467763,0.04492726542816865,0.1604582971148942,0.07083278687989622,0.1349574747782555,0.12763929744981506
14,1,-0.05414498358808728,-0.1694447338126493,-0.12560570152272826,-0.044267328492829494,-0.05748860055272262,-0.04549505995668973,0.0,-0.05924899746805634,0.02020578989931654,-0.007510368566394032,0.012603552992658834,0.07444755342886664,0.05734700650241584,-0.060616926227745616,-0.11504764486390417
15,1,-0.05497699845755932,-0.11860217265974005,-0.10092495058728729,-0.0905978580859782,-0.05198524423987591,-0.06838552677936593,0.16188811988696236,-0.16356193363775395,-0.0340891307468601,-0.013941042427349004,-0.019047154453784854,0.1872157741157638,0.0,-0.06779170653644648,-0.08483764553738637
16,1,-0.03797198068656482,-0.2563313201180941,-0.2108844975680364,-0.02922633595786761,-0.04526951152974623,-0.02641356283134777,0.11349466987324258,0.0,-0.06009880187160166,-0.00835146747503368,0.0,-0.3811372732897138,-0.032067243921287236,-0.012461937091040931,-0.08925755796720258
17,1,-0.04658311778638141,-0.20327699267674776,-0.1482098300633401,-0.01969043433251827,-0.049050951405777365,-0.04393572428812342,0.05475740146799163,-0.11893180147996307,-0.009396719703414491,-0.010113656224065015,0.0,0.008935048490677833,-0.13502271523082382,0.04646218717925937,-0.21249570326232958
18,1,-0.038955288054618994,-0.12700580183593146,-0.06127931162349745,0.028964886093535744,-0.052468308592020105,-0.026220828989700073,0.05483321327814679,-0.008247983138555293,-0.011968329351536446,-0.01530571908935592,-0.010230549469235628,0.016404702493339987,-0.0357297644229697,0.13840675707953748,-0.14131177688470614
19,1,-0.042362321500358624,-0.29563221654048555,-0.22404296874646645,-0.03722240464958043,-0.04783404673938413,-0.03943384057690619,0.06803558698731488,-0.06473282941894876,-0.03417336806683274,-0.009457721809024877,0.024284830762902776,-0.1932873872000591,-0.03007547561220142,-0.02449141557333767,-0.027521058473702897
20,1,-0.050346238923025644,0.0,-0.029852604991730314,-0.030535933667293014,-0.05400389587446963,-0.058594621044398776,-0.3750845032676131,-0.03469460280221248,-0.03951763832773292,-0.014313812223378797,0.0,-0.10786789497332872,-0.03375842444761312,-0.32558878243507183,0.0
