f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_distr.skewness,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor
1,2,-0.26312123248081487,-0.24275993270615126,-0.08912431820200717,-0.014111912472771104,-0.3733942294087908,-0.07671857677184157,-0.005479662880149894,0.006651662648097245,0.0,-0.03758102737257196,-0.035290478849332896,0.021366854045229422,0.03970807442092339,-0.1433130409687885,0.057130166965245976
2,2,0.2709538797176727,0.210680552470908,-0.08628944554433504,-0.010594895822733541,-0.08721757465045954,0.8327698058189256,0.030848301672295797,-0.03591033468216054,-0.013159918073572863,0.8293721284556814,0.08732247058300135,-0.01759413385567421,0.0,0.045809107453511855,0.03481758834575377
3,2,-0.04095012868146333,-0.0290054881017609,-0.11401479124842291,-0.01027844204581728,0.003110479742033087,0.3502936219823478,0.08404180183824497,-0.02771832287178827,-0.013980457886917194,-0.07624966152428138,0.0,0.037298340098380206,0.03235876573993304,0.052755716257045476,0.02205977375947718
4,2,0.007845650493068922,0.00567319226391437,-0.12720326074832494,-0.009709111415691377,-0.003765997274116445,0.13263608944319377,0.0818460711241363,-0.04612897881057425,-0.00356026443403637,-0.0439046271785788,-0.004263460651930784,0.05370722058905636,0.05528903805648733,0.06833195407623269,0.03885943569312186
5,2,-0.12761208378745753,-0.12125939885669579,-0.0869759721373673,-0.011908328020132697,-0.05541725340419912,-0.06028546042496971,-0.010495644480421007,0.029950142401255098,0.008343771652399856,-0.027194544550526445,-0.043956347695204734,-0.11468484890699365,0.007931079628717086,0.01921245579440231,0.02661825700043685
6,2,0.2237872277110005,0.14919240276599727,-0.13264944926309197,0.0026134029705470185,-0.04361421152565406,-0.045410008052032685,-0.045482764675943144,-0.06618736807214579,0.0018342732709957232,-0.04170907496185397,-0.01944187593123345,0.1746613279301226,0.008376536998906253,0.045169277288763715,0.013680771385519264
7,2,-0.052515461971711475,-0.06353800567225532,-0.1051327278067706,-0.002926187520043616,-0.0614393179653161,-0.06830251481034498,-0.010239196123285804,0.16457948883106757,-0.013430317922336163,-0.040307139608813713,0.0083960770846489,-0.04777697591416713,-0.024171073084801195,0.047816671789734366,0.019883589848927352
8,2,0.284864324929145,0.184566990982919,-0.10544805827867254,-0.006029367382314521,-0.05540756657219992,-0.03209132092978867,0.027796485438317364,-0.049434030994377764,0.0,-0.052013449066032336,-0.019481543916940625,0.39246137388449237,0.03403121268957876,0.1276454423299837,0.12026866780579804
9,2,0.3037647041018309,0.166387561805314,-0.12129808997318269,-0.00605689145353705,0.11778591937678198,-0.018067449853414436,-0.0015004350210210127,-0.038526209921920074,-0.03328143485294591,-0.037392599880372204,-0.04646691540306863,-0.010410837940142303,-0.03839503420230432,0.08473588115755729,0.09959389768926441
10,2,0.5882530217939013,0.5413422377331272,-0.07354705708170584,0.0,-0.06089123628090287,-0.02479710065734908,0.08081002675072058,1.170401012357054,0.00604939284975381,-0.026197352574809596,0.07539700719644182,-0.12510728891435807,0.07100619419947285,0.10530568190825607,0.08727282885176457
11,2,0.2953937311125938,0.27970595683015015,-0.07757139639841226,-0.02214610946693696,0.0808912587650491,-0.03175519273179994,-0.13242743132114182,0.0,-0.01456383748286516,-0.05082450501032096,0.35750918998415826,0.019430802344805598,-0.04237717329237481,-0.2016419442922833,-0.26130354026100366
12,2,0.5114580137884581,0.5341915840019178,2.3636813695978347,0.19264035063565021,0.09474371006376248,0.0,0.017103402533822143,0.0,0.23692418823129957,0.0,0.030939276456647846,0.0,0.17681199413363835,0.0742604199139727,0.03369865169239361
13,2,-0.1506522266918569,-0.16706645469383286,-0.09852389940210321,-0.01066212152905971,-0.1481624151762495,-0.07101766404712972,0.009074429748142349,0.09464780164606082,0.017792324663059966,-0.03254966137605425,-0.019481367629210128,0.04307954638066386,0.14107950811709014,0.07081921184252467,0.05368414945614525
14,2,-0.19198237626090253,-0.15645181627885563,-0.11422534200117729,-0.009741289453770952,-0.05629107666878752,-0.1266057271142937,-0.030541522886929906,-0.07677696082682295,-0.04678558217844231,-0.03740183551844484,-0.007946703587613957,-0.0904108748788306,-0.24245055885465477,0.025296381085412323,0.0
15,2,-0.1127837222743597,-0.06077750826377096,-0.1764314793540811,0.029507014504092738,0.12566781495042267,-0.06514441427845205,-0.012797702065347805,-0.010708439748643772,-0.01844038531957526,-0.035192813365817394,-0.05709955486145224,0.05356932476923043,-0.12960466114004013,0.03424497969054108,0.0166438077956077
16,2,-0.12781904119511645,-0.11913669220470491,-0.07887158888153267,-0.009501398056109833,0.06972731572139218,-0.05908414171411408,-0.009105865026177384,-0.13205812870815875,-0.006141707565911814,-0.03083204463290984,-0.031144985563164695,-0.010281159418606856,-0.022368143804889162,-0.21129122732147476,-0.21661931130477863
17,2,-0.2522788158400462,-0.1713172196290465,-0.11410500611738722,-0.02175487718710234,0.08085815257530182,-0.09195266108903949,-0.016935768272517526,-0.10099726027062705,-0.10575688424990803,-0.03071954259720172,-0.04581440817609461,-0.011461077898744176,-0.039138482165866684,0.036440593016975165,0.006204666233081246
18,2,-0.19998295586930698,-0.1363396136262645,-0.10616466562598248,-0.015380115076826073,0.08194652374001371,-0.08897283349846768,-0.015513332110361988,-0.10984140094038053,-0.09853652150015813,-0.03345166454696663,-0.04650441928943938,-0.015560036591023452,-0.03089419676924865,-0.01429725589382741,-0.04923610406998291
19,2,-0.28452024886389865,-0.17124381568257363,-0.09869640305062,-0.017474517317605076,0.14488927529468232,-0.08373790679399717,-0.015111552141234497,-0.24952244736808482,-0.08950078386868554,-0.035592838428818385,-0.04810591766606365,-0.009852758070949541,-0.12086644328583146,0.03531361581383802,0.07929044657277184
20,2,0.012054529328527464,0.010955355333508499,-0.10949620561347784,-0.013244284292570185,-0.34926313718120183,-0.08784174564699226,-0.02789957537429877,-0.0759822435711589,-0.007214267055938528,-0.04689218606413181,-0.03644874247888952,-0.3867986301806463,-0.05941247327653193,0.016547961665525746,0.0321065375352978
21,2,-0.18143191831848407,-0.16064853329814094,-0.08376498864062187,-0.013173301410439098,0.08452461396529043,-0.07336737309915037,-0.011919858447002607,-0.12819162307977933,0.07460696084633758,-0.03203983678078026,-0.017970536251439184,-0.0027635091578925297,-0.014679051496230194,-0.0897419770488126,-0.1515985719449361
22,2,-0.1811299665047474,-0.15399336318467882,-0.0975228815423817,-0.01889072125840513,0.04427023127910096,-0.07763019495922713,0.0,-0.05577156338800904,0.064009703362189,-0.025580705798587455,-0.007685135237109064,0.010592620396980057,0.012714306993693802,-0.028311297488826492,-0.050962434359844155
23,2,-0.18053201940336894,-0.16794148778367357,-0.08483385053506387,-0.01320373070572567,0.07509991625794693,-0.06319149976477145,-0.008848957477604724,-0.12908069710458725,0.0,-0.031378641734565615,-0.02932081778618212,0.0,-0.03241633946164596,-0.2775698556884334,-0.14712771223874688
24,2,-0.15072826239644277,-0.13988090144010637,-0.0984826817257961,-0.005087827677254679,0.3098650782486172,-0.044481348003748186,-0.002769521082744794,-0.11694794143598078,0.063270595578874,-0.024958349674370918,-0.02376031673326197,0.005528808836694488,0.25000111299976163,0.07882160165228395,0.08135651809729012
