f_id,i_id,ic.eps.max,ic.eps.ratio,ic.eps.s,ela_meta.quad_simple.cond,ela_distr.kurtosis,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,ela_distr.number_of_peaks,pca.expl_var.cor_init,ela_level.mmce_lda_10,ic.h.max,ela_meta.lin_simple.intercept,nbc.nn_nb.sd_ratio
1,5,-0.05920282751561512,-0.2416874490105767,-0.21608956081401776,-0.07519533394368239,-0.04355718229299732,-0.024494264414589406,0.0618531864064924,-0.0017207614412568795,-0.07085380411902187,-0.014406529779055932,-0.42782803792430146,0.15802907111510545,0.03221319002474121,-0.008530818740970836,-0.33790498913096834
2,5,-0.02991178737958955,0.15550815245593297,0.13496477948147034,1.4915639780509042,-0.02134116013811871,0.14558783006136844,0.15161313474809268,-0.008605011639462479,-0.031790736006408915,0.013151863421838605,-0.02511687311289368,0.027405835421408398,-0.004339220456035631,-0.011045438136208174,0.04048167522843271
3,5,-0.07210921525461764,-0.0815437771440593,-0.07042119717462154,-0.06884358626954781,-0.02825002721652635,-0.01135794440552497,0.06976705579927567,0.011545426256519192,0.17930574437689778,-0.006752593968800333,0.17571901536084614,-0.03485968928307648,0.0849864215022994,-0.007177969528425615,0.2485278925535561
4,5,-0.08293473546825955,-0.01425774235818697,0.0,-0.06320629463165664,-0.03642054242457398,0.19581328691393535,0.06852750736235126,0.0,-0.07276396391175267,0.0322059234168869,0.004140215274641132,0.030216332908890392,0.08149444003644653,-0.007653326788107109,0.09945175603906392
5,5,-0.06482942851199486,-0.11412109911532964,-0.11128548910015934,-0.07958524371570086,-0.03323640720012028,-0.024541890470012817,0.05407646337282901,0.003749530102986398,-0.04662577945017432,-0.017194822800658927,-0.10714928960390635,-0.17205602764633293,0.027269175535673984,-0.008421071121924473,0.010872201084923261
6,5,-0.07822578815510867,0.3552911822453957,0.3007663731782023,-0.052739128229628396,-0.03720099881115735,0.006977127961904639,0.1152600166983187,0.018332258960607417,0.08875548167606073,0.10003476511258336,0.12165097577610362,-0.028595432049952962,0.05965773711837086,0.0,0.16858337931981293
7,5,-0.07608743444618626,-0.02906605880833979,-0.035299666444703615,-0.07301062664013747,-0.030923563752264682,-0.022472705378698526,0.10309646487518898,-0.019017715182676698,0.008710960921570365,-0.01718116764864555,-0.14714844214043993,-0.12027249007210708,0.01764150196977804,-0.012613474714036316,0.14200019107247885
8,5,-0.06773212559865038,0.16808010126226064,0.12175451793319869,-0.06595260837417657,-0.03670338266798298,0.0,-0.01561225664757393,-0.003955003726765494,0.07580523923156449,0.0,-0.14585165195166672,0.447438196063351,0.0405004986991403,-0.005299010668486481,0.13106220847150918
9,5,-0.08437458780224458,0.3113475050492282,0.21352625351805296,-0.05647952888466998,-0.03124426528325494,0.0,-0.02336870310910892,-0.03645800333824212,-0.023998073193476133,-0.020506140822689145,0.10651885141549283,0.011422146531997523,-0.015347305632880032,-0.012716770966297947,0.12729198700257383
10,5,-0.07700680629645074,0.5952209222638452,0.4526561162121032,-0.03522466252312895,-0.02127658233738905,0.0,0.07714950587082925,-0.02224493938221883,-0.06757566592059522,0.0,0.20107614072353264,-0.02219805930053681,-0.008963601737081606,-0.010864393543676076,0.09082699010833917
11,5,0.004927955983942578,0.5088942192221337,0.4330563354794872,-0.05470433429583155,-0.02187132097034955,0.0035164582040763115,0.03274860177198524,0.005565889003771307,0.36380419069429604,-0.07928411753427012,0.05940286293313113,0.037130741497029884,-0.016357498332587705,-0.014305900766463209,-0.05443552079008396
12,5,1.564679756263931,0.35352836766148044,0.4406178908092824,0.0,0.7547271555092827,0.03669663574278248,0.056300953125521414,0.4985447517009529,0.05454845632907901,0.26349912355219196,-0.037830592356850046,0.03056432516234686,0.1400321185528246,0.10173609402189232,0.0820330504658573
13,5,-0.07394405107758104,-0.10404063655710197,-0.11062996614918345,-0.061462386943247266,-0.03259543595641533,-0.010200553475431737,0.04929916272431995,0.030972673653725455,-0.0911772598564167,-0.012872438783935722,0.20484345787111724,-0.030710038925037167,0.07242299539800898,-0.01250275645144841,0.17176833259048874
14,5,-0.08318724478934947,-0.17616056505362176,-0.12881215429482706,-0.061741597278647364,-0.04409961718958599,-0.04122612079969923,-0.015793754502083757,-0.07461589110853684,-0.045945829682410455,-0.028121564666525822,-0.06712242544521885,0.010101943643487599,-0.4722667587732394,0.0,0.07756539286995578
