f_id,i_id,ic.eps.ratio,ic.eps.s,ic.eps.max,ela_distr.kurtosis,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ela_distr.number_of_peaks,ela_level.lda_qda_10,ela_distr.skewness,ela_meta.quad_simple.cond,ela_level.lda_mda_25,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor
1,1,-0.17455153512248822,-0.1428946204365511,-0.04443282589332698,-0.03798459056889625,-0.5844355815971654,-0.05036185954931305,-0.03743320093772384,0.03231768967380888,-0.017571831048679987,-0.029718357306727783,-0.03522515171244711,-0.0123866524199987,-0.017845787795229384,-0.11391357452780748,-0.0294745034107875
1,3,-0.2534285876547291,-0.21881644835655656,-0.04395424081799959,-0.036891231518645484,-0.5641151764476362,-0.0437431865820998,-0.027139216450002057,0.021844212509242622,-0.01668885546223331,-0.03129707410009552,-0.04664667492654495,0.04151329658891589,0.04277511680476265,-0.10574941201743104,0.07836916697287943
1,4,-0.2728155094231332,-0.2298717234163008,-0.04368088737098208,-0.043328503112631256,-0.5293888302114935,-0.046838578612057535,-0.035142339873298845,0.014262070344312594,-0.007439122901294837,-0.032645683808961046,-0.04653547670000935,0.06876581326594666,0.03950716047818276,-0.08706966613234157,0.04825296601588902
1,5,-0.24502372493300484,-0.19532970321577658,-0.049791458282878454,-0.04287408468257048,-0.6044168289348217,-0.04073021224210305,-0.03599133188200376,0.04532471137767757,-0.013738874709141147,-0.02838805530226729,-0.033428586184522824,0.07721705943417478,0.022015819284204485,-0.13353747616220424,0.03243831144081133
2,1,0.23364836658423727,0.1822858217339166,-0.026381066602583214,-0.04180331561958717,-0.06015716346704547,0.8853826343084577,0.03400988338620725,0.06518219886423515,-0.031648640253933324,0.6457391855003446,0.026586100477791197,0.005075354115774644,0.017139555926851124,0.055922709320501696,0.05289525018919772
2,3,0.2991590764736274,0.22963863460519063,0.0,-0.031237984201347713,0.019536764508174542,0.8581553186657416,0.022292159452296456,0.2712891555741821,0.0037000181255750775,0.2717782049857158,0.016642712247474822,0.029658242558457282,0.01584236513635684,0.0258708455330805,0.011551360799840538
2,4,0.19383985103918677,0.136889997744033,-0.03182654369352278,-0.03069571699957696,0.06987076238017687,0.0,-0.062398089533760526,-0.1138638969464929,-0.015775237473533266,0.30075580570469607,0.7557713373579393,0.01758789280086448,0.0,-0.058452257580527966,-0.058306583029088754
2,5,0.25208200832807737,0.22450962516707973,-0.022675708636530234,-0.027623213577911976,0.02163435011782988,0.34351614528829477,0.01525631253233839,0.24188466866919556,0.0,0.8854635528641709,0.06325838869003597,0.05009089143931589,0.0,0.019452619131278936,0.02474813989802005
3,1,-0.1157711775226009,-0.10293046686048511,-0.047647022141653526,-0.038110177802833684,0.17449220778699928,-0.04234442791750033,-0.0185322805689532,0.026701907684156822,-0.0016971690098937856,-0.025136187769116712,-0.03737995228151816,-0.004516387526492777,0.11039568052470397,0.07397051280719587,0.060075798644345854
3,3,-0.07584746647357399,-0.07363713959106535,-0.05503953033774578,-0.04726192173505839,0.02033601551561079,0.16201148548827313,-0.0420323235569533,-0.029775205401271487,-0.02755896615795972,-0.03197482365763821,-0.02589670145882511,-0.14963532610244035,-0.24295234243334946,0.020872752720055482,-0.003467453409568111
