fold_number,f_id,f_id,f_id,f_id
,"good, good","good, poor","poor, good","poor, poor"
1,"[5, 7, 16, 19, 20, 22, 23]","[1, 14, 17, 18, 21]","[2, 4, 6, 8, 9, 10, 11, 12, 24]","[3, 13, 15]"
2,"[1, 5, 7, 18, 19, 20, 22, 23]","[14, 16, 17, 21]","[2, 3, 4, 6, 8, 9, 10, 11, 12, 24]","[13, 15]"
3,"[5, 16, 18, 19, 20, 22, 23]","[1, 7, 14, 17, 21]","[2, 8, 9, 10, 12, 24]","[3, 4, 6, 11, 13, 15]"
4,"[5, 16, 19, 20, 22, 23]","[1, 7, 14, 17, 18, 21]","[2, 4, 6, 9, 10, 12, 13, 24]","[3, 8, 11, 15]"
5,"[1, 5, 7, 14, 16, 19, 20, 21, 22, 23]","[17, 18]","[2, 4, 6, 8, 9, 11, 12, 24]","[3, 10, 13, 15]"
