f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2
1,1,-0.2588442368454567,-0.2990662727486283,0.09210788662137614,-0.05027227688856173,-0.01753627915184003,0.015520215991996988,-0.42639923858179196,-0.0959533991892827,-0.04762523728471885,-0.03279168823001494,-0.06135888798855926,0.27344291429470857,-0.05365266384917128,0.15727530578625926,-0.4758497447532335
1,2,-0.25653819328787014,-0.27962942237645205,-0.06558401434165506,-0.0550351575351099,0.10433899577000766,0.077644972914926,-0.2309114160269431,-0.42084896427611235,-0.050971540922722436,-0.0734330085553167,-0.07042391302018092,0.37329230680047093,-0.06657021775658695,0.14851481290778082,-0.24270880091106106
1,3,-0.2738834816727037,-0.2909482377005289,-0.05865862395774901,-0.05642410143526305,0.15679734921372002,0.11710097713850379,-0.2382810123954897,-0.42869661934732384,-0.04986668001905553,-0.0749351776389654,-0.06565422707827978,0.38903266808436726,-0.05872646472822807,0.16702994918717287,-0.25842798462445793
1,5,-0.30105309789028484,-0.3353198938120431,-0.008684942599388124,-0.05826340224224069,0.19579425345332283,0.16515764151164325,-0.4493493758058047,-0.36426504722444025,-0.05620758593497749,-0.06055684185361887,-0.0674896263606623,0.34969956682070935,-0.05451408967446242,0.15928558891546443,-0.38642314683605095
2,1,0.42445298061762693,0.38968405971742515,-0.12224891615475719,0.7340407311721977,-0.004995874063247974,-0.10850406194671003,0.1328138224062887,-0.01437917833515101,0.008017633494895593,0.10325466893672264,0.14645483742268328,0.23606304318775173,-0.012231301169031927,-0.011204607090569363,-0.09493295149363656
2,2,0.36597001147968644,0.34153301976445305,-0.070702586430611,0.37400647919822716,0.029378251958500634,0.0,0.06875288425637915,0.13365508427675477,0.008788184086539363,0.3061800662000531,0.294234763436946,0.20073050216303723,0.0,-0.007331965838977883,-0.0694820941997154
2,3,0.4667571020347143,0.42148967110494096,-0.08658323370146759,0.43999919125275255,0.09135076177452772,0.06395741390502085,0.09541814242717361,-0.03549543310215464,0.01222598039936973,0.16318278951805976,0.24743152657245626,0.24851292341737286,-0.01593657954438854,-0.020813825935387276,-0.009036474723254972
2,5,0.4743308156737549,0.4335120215313846,-0.10771842432901946,0.4992389251593361,0.08966679300042002,0.0780476489747548,0.1082765899429523,-0.05139479245431544,0.010384350691028832,0.1251849298660095,0.3051336887568068,0.25090098623457924,-0.006548285835585865,-0.009398278177689567,-0.02154226869367859
3,1,-0.09302056155828153,-0.09876984902205496,0.07517073618729897,-0.06597961475387465,-0.09547438014289471,0.004429121988582196,0.1456832476644715,0.08714836000711992,-0.04732107763973174,0.0026513682485581197,0.030152617285420916,0.17668248713853685,-0.0404093445433201,0.11196170812035819,-0.17760921267354424
3,2,-0.06403280217821582,-0.005883555117787015,-0.2907573827729565,0.7933558465527961,0.033187893135175534,0.0591165323530454,0.0677384595298155,-0.1825613973727589,-0.04490445660654936,-0.03617726155291587,-0.020353461915712523,0.20791148602978085,-0.03270821637146876,-0.20502768862727602,-0.1401090602027769
