f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_distr.kurtosis,ela_level.lda_mda_10,pca.expl_var.cor_init,ela_level.mmce_lda_25,ela_level.qda_mda_50,ela_level.mmce_qda_10
1,1,-0.2789261447961454,-0.29032627713109327,0.058259705974932796,0.1315999660330337,-0.15129547701578727,-0.010800264482237254,0.011025018783066276,-0.04140548662595578,0.01404979987065591,-0.08409281148388992,-0.020412197854816183,-0.5019251164728589,-0.054907829154915266,-0.038091664080112886,-0.025618452669513125
1,3,-0.33043155264588775,-0.3392227814690736,-0.0706093587537927,0.264141098775484,-0.004233695742914101,0.03112612216324706,-0.018601827884872413,-0.05201856105685865,-0.07452694563860374,-0.0901661841386654,0.018061674364699076,-0.2546024694021203,-0.2685634480911264,-0.07137482084809849,0.03453781087151042
1,4,-0.35526765588301157,-0.37060552835374627,-0.019857823210334136,0.2417109146028582,-0.055312702045112405,0.07667725221320831,0.044510571191530124,-0.051999982960282076,-0.04991436771175378,-0.09144484735045721,0.01211739063893591,-0.2933212435403407,-0.2212454010307061,-0.06243544045613647,0.013247436529256529
1,5,-0.3402183161277176,-0.35455503659493737,-0.024022753394652208,0.22225670609736053,-0.04973154146088887,0.09306334137429317,0.05451817069334053,-0.049567713947604064,-0.035893740845157285,-0.0879083906047381,0.019801232969977156,-0.3973146141885826,-0.21865281137288972,-0.05778812150628687,0.01161551903929503
2,1,0.3208010945960923,0.2990296179805385,-0.012974010666458757,0.197562930891789,0.092744603711586,0.029098870307996405,0.0,0.574563444796607,0.06038527494930834,-0.037348355557773716,0.08719333382264283,0.04433144094075481,0.035360150221771636,0.02576093135378965,0.08866949282915337
2,3,0.3719651173595706,0.3400002617328357,-0.03697410313522376,0.3069740458642647,0.06183231110580212,0.08075253433931451,0.06573285726555467,0.542668403370377,0.023953181692666248,-0.04616991343853438,0.07725510312836725,0.1073990788839283,0.0,0.017281486134260615,0.16902143671851677
2,4,0.4131596452222326,0.36059680091029156,0.03113525851631671,-0.040966747530951975,0.019762121089884954,0.07211339084473778,0.08789742357142494,0.10565757773940243,0.16619091004095132,-0.06237453822825323,0.6089378301089172,-0.08137696697725016,0.11990224774388536,0.006056373502023149,0.13272693230766053
2,5,0.3841414033689301,0.36131648990904075,-0.030296754838161633,0.3114416925760678,0.07657740490551523,0.1019111035348289,0.08701741736411805,0.5029569351569443,0.023282136248546692,-0.033997004434847544,0.07504180572764119,0.11789689308734141,0.008175164998175166,0.030819738469822888,0.17679597988498452
3,1,-0.1193288347101631,-0.12415365021581336,0.014173887902136778,0.03292523636812729,0.03332305102263635,-0.006292713201730131,0.023974064874020845,-0.04228057522062979,0.12049180211745332,-0.08998216498803256,0.0372490436821738,0.052008782894536934,0.05100192217953274,-0.1156040009070635,0.013215701996339035
3,3,-0.014825736551250135,-0.03389870841812949,-0.08699365100658926,0.21016760940509097,0.010271406582842892,-0.08723421572905626,-0.11085555963391758,0.17555668948734815,-0.051955159571105185,-0.08471545615980428,0.11121293371826249,0.05738511966391014,-0.18027033737767192,-0.04052875948968322,0.05395785498633898
3,4,-0.07766487416577716,-0.07142583267145207,-0.12178818371904385,0.23790473214551916,-0.0654059290528005,0.06823910079880788,0.07617551657057459,0.05885570465566244,0.020856812001650453,-0.08750874320518855,0.05054494342406401,-0.08459345837192672,-0.10017906884196333,-0.004349868535115077,0.006743987060038176
3,5,-0.0842490698770347,-0.10723999720778198,0.03164261816423834,0.1121258582232638,0.06635597445924377,-0.0272103320533603,-0.006278292794567769,-0.03234625560231393,0.0699013537479316,-0.08781280920185186,-0.04572079367332879,0.1340970523213592,0.06921416246288184,-0.04822012261295566,-0.0012007918580129173
4,1,-0.011722105150787407,-0.0062705836318953795,-0.11879558556959569,0.03784056760286654,0.06592734177453974,-0.010411098203658625,-0.019358384476737822,0.056975651179782386,0.04690757617002564,-0.07314422729655322,0.044130582319109976,0.07988267880870127,0.1500280359376753,-0.0571041926690745,-0.09300941774726057
4,3,-0.05343315303920629,-0.05620451118851312,-0.10627031742241598,0.14876683173569646,-0.03332827330478244,-0.007421658774492024,0.013115813057256648,0.38090016163420093,0.035804794708238386,-0.07469656778068962,-0.05470381321843963,-0.03775882567780094,0.034444551427147516,-0.010735401463400795,-0.03161792768296573
4,4,0.008596776694441505,0.006235928982002023,-0.11488471788828863,0.192991841951974,-0.012265474701891307,-0.06359566704888556,-0.04402319023879778,0.20201320225195102,0.04530129382957025,-0.07437057659966782,-0.04099261017548725,-0.038876523989162526,0.14051008645605845,0.059583004927876604,-0.05875300026318098
