f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.lda_mda_10,pca.expl_var.cor_init,ic.eps.max,ela_level.mmce_lda_50,ela_level.mmce_mda_10,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_lda_10,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_25,ela_level.mmce_mda_50,ela_level.lda_qda_10,ela_level.lda_mda_25
1,1,-0.22737459934135995,-0.20828578388453473,0.1302354433827633,0.006881606457322387,-0.0778242064654775,-0.04551179745505382,0.029887850604119276,0.050471124743210555,0.07833433086506365,0.04126387090703082,-0.01192460211673732,-0.01914023882071028,0.03727629105625192,-0.03415792959993011,-0.016215451985759827
2,1,0.24997152766623315,0.19461191290845525,-0.06721583923765584,0.07727668608929528,-0.03172141394656264,-0.006265283712851233,0.06725428799361344,-0.011045516715607717,0.04491332426436656,0.011591882808445253,0.399767497311175,-0.02206910275639873,0.028853248802289455,0.01726220467271683,0.0684594090764501
3,1,-0.08846046321742779,-0.07154219064405948,0.0835242856673572,0.1540565453152256,0.08474061984866976,-0.04509916289026525,-0.005227908864712971,0.04084466027770073,0.1498976393077104,0.03416445364888107,-0.016263198057105605,0.057442173705426314,0.03862565504967996,0.03846509197965525,0.002463339075152171
4,1,0.0507889169082677,0.03477174739800281,-0.13638142014626597,-0.14765506755441046,0.01299627979021175,-0.03926690354985211,0.016435908941172667,-0.01473912659663687,0.08647047532791127,0.016976881331368363,0.06238977635735868,0.1271860961870194,0.06678098784728213,0.015113605293081214,-0.013095818553379546
5,1,-0.13298651794960364,-0.132536654786502,-0.08109594899834527,0.0639684782437358,-0.09225675885397538,-0.03649427437360375,0.11470750368066313,-0.11676631911590202,-0.016143369610678526,-0.13922186392768976,-0.026557686455996876,-0.01162552138291012,-0.008869806211356884,0.0,-0.025435943037345088
6,1,0.24909119156634035,0.16673487364105438,-0.12476494615149962,0.19638659250860085,-0.02259044340467206,-0.06559946487142151,0.13809131646067993,-0.019154651652861815,-0.08770958295982058,-0.02926789651526507,-0.027618501699873635,-0.0829158902122333,-0.024039817392655566,-0.07200709565113451,0.007427198324467366
7,1,-0.04265731253109625,-0.059033947539901176,-0.22050360084868845,0.15829115058410953,0.027130999001080774,-0.052768694933927926,0.11864802200209225,0.02326570770964487,-0.034719514053099046,0.013556308827085474,-0.015449372258480563,-0.0646543731480112,-0.03848783531643628,0.2123951221690833,0.030482778361878515
8,1,0.2906200633578447,0.1568821559375232,0.015371387692578398,0.0032649879136203985,0.1260267096707478,-0.06108308659081846,0.04894292667011224,0.08230588183572674,0.13492602097983497,0.08293519803383242,-0.01618217506209635,-0.012213986920891484,0.07109589369106084,0.03126412374179788,0.0
9,1,0.3322061437411463,0.2187578659739751,0.00994499987792441,-0.11373346465728112,0.031336395141566886,-0.03780695308917492,-0.10137535530343844,0.002917968448172381,-0.027736987449933276,0.024184626777060847,-0.01947246057485813,0.11399834195876207,0.0346874593486762,-0.019465753142692888,-0.03556154401776318
10,1,0.4067926810291207,0.29038385592855365,-0.06598059492952313,0.20220282868426764,0.028359172497100404,0.0,0.24134054222196744,0.07669105778779683,0.11005996658007411,0.08865217524273206,0.0,0.02205048865498649,0.08195875401435382,0.8346516387566858,0.1018710322920855
