f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_level.mmce_lda_50,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_50,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,ela_distr.kurtosis
1,1,-0.20972059449380664,-0.24347487637269638,0.06041542784086551,-0.4358443217565019,-0.002605779400983166,0.02472137916576511,-0.06289883542402586,0.006486445259796136,-0.023236017744489246,-0.0068148761543054825,0.01807119229686227,-0.007367940876840784,-0.3184641299720712,-0.057055489526480097,-0.030772511222089127
1,2,-0.2556503796707834,-0.2790211943960006,-0.06766462831695363,-0.21367820001133597,0.054319365368034056,-0.12471552328978586,-0.0557664466804777,-0.07379208953809335,0.07929497054395451,-0.05420455022968301,0.08687797766323635,-0.02031538278709344,-0.10373738384345527,-0.05325835445283589,-0.035097960594006494
1,4,-0.26953606855475887,-0.3003253966258409,-0.010543406217102813,-0.24757307323746958,0.03126286084363328,-0.07412541602745443,-0.06578331061479525,0.01467326266280311,0.05319480797212739,0.024876052556424777,0.07384835900144027,-0.009504164954967864,-0.16654195719551101,-0.05190018441037014,-0.0329810802202839
1,5,-0.26568753660628486,-0.2964363810234052,-0.014522653368711724,-0.34046658933730933,0.01710360432055913,-0.06446622299080224,-0.0642567377311476,0.02784571105390221,0.03861304970395607,0.04406558079865652,0.04811022278916277,-0.006804194696396593,-0.22288415813017165,-0.05558504257377539,-0.03387143045423269
2,1,0.3271861648004356,0.32942348584922976,-0.04104415780853088,0.006794933576467654,0.15615496444832855,0.011631153369092706,0.0043942790288806766,-0.06089254601015248,0.26996919596000524,0.06860880477669928,0.059206021004526876,0.10386578869817964,0.1364836763267422,0.6268658285888051,0.0
2,2,0.3585198255987764,0.3620498768188827,-0.037582273538288136,0.030179000706357928,0.060915519501969495,0.036414083498073735,0.0,0.011936677379708494,0.141009089022896,0.06277460840595706,0.03559072938235408,0.14040431510423979,0.11823989757307074,0.7499889202987473,0.0
2,4,0.3342385941622643,0.32553223974382295,0.007010448015446924,0.0,0.0,0.10301953587930646,0.0,0.060517510761687765,0.16153903778914114,0.054120337101796645,0.03513713758206172,0.008493210123368344,0.03523148354308081,0.8211464293642089,-0.012372178151871971
2,5,0.3451315942281553,0.34673114087512646,-0.040141117661631975,0.03799935116148401,0.17851728618296536,0.015188800152961979,0.009603163253828262,0.07865034727303932,0.23288244073620656,0.051993600338086754,0.07300235933125176,0.05563308800524991,0.08333404052080362,0.7021613238339197,0.0
3,1,-0.11209710499056888,-0.12550515161286624,0.014372865886913617,0.11429607676670862,0.003795370264213435,0.13240441463165753,-0.0611787584154866,0.03469004162859025,0.12110451235703551,0.026842437412062638,0.04557068242904906,-0.06560172711905442,0.0,-0.04136465899624923,-0.027453412333441757
3,2,-0.08532945749834858,-0.03227592134609997,-0.2290682235615531,-0.08393527453104412,0.2138704126386932,-0.07933674589175706,-0.06426033707914426,0.05385937946075506,0.3425754538092405,0.05400835424066382,0.07425679017891398,-0.007723907020875748,-0.0032143313546694474,0.001392658219190171,-0.02299247617991157
