f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_level.mmce_lda_50,ela_meta.lin_w_interact.adj_r2,ic.eps.max,ela_level.mmce_mda_10,ela_level.mmce_mda_50,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_50,nbc.nn_nb.sd_ratio,ela_meta.quad_simple.cond,ela_distr.kurtosis
1,3,-0.27842767985860706,-0.2979038591503047,-0.05790570723987043,-0.23559880163596647,0.03462807870884432,-0.09542178035023757,-0.06226722266245022,-0.05383478908452921,0.06611262211764368,-0.037815275425952255,0.08024381371944589,-0.038484999847136714,-0.14639987213589778,-0.0411699428133282,-0.041853844554158304
2,3,0.42726943384630056,0.4145726165329815,-0.07647391417772997,0.013363580099027494,0.19773735144000004,-0.02609765421970167,0.013363222822557974,0.0632539990639831,0.3016199387450258,0.024779821088921405,0.06442119101000365,0.04396623190901128,0.07112658640085312,0.5637965047220128,-0.009273176383748805
3,3,-0.03362639899608699,-0.05058497301202558,-0.09125858958811328,-0.03680147484249935,0.03357170322770442,-0.04849658300843601,-0.06348043595422553,-0.13240439367333912,0.12089659631859881,-0.1572184340791754,0.049437164828318725,-0.10738881229195024,0.0,-0.017646859901702838,-0.038307669456491666
4,3,-0.07069177969977997,-0.07744350892812218,-0.12464067031620774,-0.17363394298994422,-0.005700561088326117,0.05634410906696269,-0.06532420440944725,0.014445103026962003,0.005157346298289123,0.017356990477133627,0.02175128362297707,-0.03348856624263241,-0.11169034010879023,-0.02657517875426041,-0.03384834119283209
5,3,-0.16853315719245499,-0.17324686247389998,-0.09059349326610544,-0.09495849903531739,0.16257250712838456,-0.07598559154845314,-0.04644199348074923,-0.14071728769843517,0.1770432543114546,-0.13801855290729526,0.08528180722384243,-0.11184729238392499,0.012483832554503804,-0.027958454293133927,-0.03285675514863107
6,3,0.2909404536815215,0.24311398846799254,-0.0951415381597996,-0.05570391441060288,0.042552541688286996,-0.11250272399882172,-0.06706818129696035,-0.00696064086486739,0.11820018435968997,-0.13027984481840305,0.023127231145309193,-0.023093928263845348,0.007498050491636467,-0.03166413636584049,-0.038587828479395736
7,3,-0.07924846607281871,-0.09765809717803961,-0.13399534394281892,0.1565064083827938,-0.012286253444951281,0.09007006592303822,-0.060192584577153305,0.05502752249392365,0.145739138838867,0.06720387766928397,0.0167213206665231,0.14013976626597252,-0.02807350770032467,-0.03048653130681138,-0.03036165221414705
8,3,0.30173680266758474,0.2649087260640223,0.039004349232374225,-0.17281390378573563,-0.003922231150088801,0.04730127701475012,-0.06384829363759881,0.1285935545989247,0.021290354685124746,0.10764272438267106,-0.014504871785241291,-0.03451066187445295,-0.126098293966451,-0.013027317623374807,-0.03088333624143147
9,3,0.27694121561985274,0.25887271343422685,-0.034723271641717846,0.14579927900692735,-0.03356230852040892,0.0,-0.043623748727427775,-0.017728046608859516,-0.3078683689538728,-0.0062202034356375335,0.06525321414454394,0.10483612020753552,0.0864631406858874,-0.021423045120073148,-0.025222473649834765
10,3,0.5096441045691229,0.5170909308231573,-0.10183411445823998,0.13076398757129803,-0.013081929121348868,0.08434371700388643,-0.012610705603585237,0.03817693418875834,0.278513183138442,0.12923482288258625,0.010595359586614839,-0.009180465797514081,0.05524294698795229,-0.009263505674154793,-0.020678744544808447
