f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_25,ic.eps.max,ela_level.lda_qda_25,ela_level.lda_mda_25,pca.expl_var_PC1.cor_init,ela_distr.kurtosis,ic.h.max,ela_meta.quad_simple.adj_r2
1,4,-0.23843981813457016,-0.268244801949085,-0.010367528788679276,-0.01203627421813222,0.19105631153890745,0.15109896421953092,-0.1373488953525354,-0.3704231678600999,-0.04586952487875648,-0.025206527186813155,-0.025656065582453064,0.3942160972299474,-0.045286804703231126,0.15516296810416683,-0.3009272964770966
2,4,0.19795867785513305,0.18925029726546305,0.0391506676650335,0.0466304705373391,0.0,0.046114960806551086,0.019154737503936925,0.11617963014668031,-0.004571852860162262,0.1715654903581575,-0.09947357095607473,0.0,-0.018406938988915045,-0.027259916817357344,-0.0532861275276415
3,4,-0.017664328055021147,-0.013673615489721194,-0.18739707615018342,0.09205506746507588,0.045328091745537244,0.05624073393442608,0.08828398735064857,-0.2011101558285578,-0.060511758948335936,-0.0228633643357255,0.012720807837337644,0.24723331671430232,-0.041687948151644616,-0.28518866870267057,-0.2342826832379704
4,4,0.04488504587254291,0.04963222084871621,-0.2180918225138801,0.18923584175662242,-0.08476593320352648,-0.08666000942665783,0.08950335463632778,0.13577694518125633,-0.05717580968851975,-0.009446993025618522,0.0136582182539485,0.19871664960975344,-0.03248616417881005,-0.07164094959029718,-0.1913817410354227
5,4,-0.106338454128304,-0.11316869576009228,-0.09122792403406588,-0.01610967814556788,-0.11483481645010138,0.024385555786170354,0.16969386553057425,-0.05378181237791063,-0.027359457812835136,-0.16585280958543824,-0.10059605871767063,0.253028196209547,-0.03939868779126471,-0.006031956978837433,-0.06376719475590564
6,4,0.19236186026007285,0.15222977159117548,-0.1545693592426392,-0.02217428294887175,-0.008142899431963002,0.03265153314715011,0.06609242933463241,-0.21788081571306556,-0.05718791431821528,0.06445294779090366,0.04162800104601391,0.34180820850891236,-0.04940311629228383,-0.08650126043145606,-0.030398002056972462
7,4,-0.03722935959183618,-0.07047540200636127,-0.08181859504471756,-0.019136549769610156,0.091341765683433,0.0996744383544263,0.2338832563985226,0.009708093097643644,-0.04838871308207959,0.12145439280790923,0.10899315569960644,0.17038345125614252,-0.030312247345492288,0.066240876859677,0.14242589147941653
8,4,0.2369126605004434,0.20980086874808213,0.07856753401089911,-0.01420054103751367,0.16555245846802058,0.14392545197562373,0.16142147785458894,-0.0948623456099757,-0.0521258089198936,-0.015005839954242928,-0.012116476626153783,0.2282223843153366,-0.03641337084580243,-0.012536752242737925,-0.2364537071952073
9,4,0.2863868969403087,0.2851861117505538,-0.002173131147623908,-0.025120865984676694,-0.034268710642435835,-0.10777307376690753,0.26853249984700645,0.2586258385187344,-0.051018061037753706,-0.03669779585483865,-0.058652982025644895,-0.37091968296312017,-0.01238400832144343,-0.08085870445580445,0.15403840597071056
10,4,0.4612508657159543,0.47715472658277225,-0.1493287466968396,0.0,0.05242921863025363,0.0529573424214807,0.07930909477291231,-0.05930195274328476,0.029545665102168495,-0.07847507555085492,0.02556662858047576,0.2352868808933961,-0.017677841478541567,0.016446872560174963,-0.04801953395909875
11,4,0.35067882586793464,0.3432439165419781,-0.13262935546844448,0.0,0.004604252413630883,0.0,-0.21241816590110593,0.028226923007693555,-0.006773152085410961,-0.09771483580504425,0.15615625161237465,0.1400781131214049,-0.010427727174223134,-0.06785246353735638,0.04645360003286858
12,4,0.5782954078725455,0.7100098263291081,0.260081323311391,0.0,0.0740590299138324,0.0729865776986991,0.1366066458277877,0.08558259429708048,0.965576424083268,0.06370460803749411,0.07140146165748851,0.03938734560438206,0.46973548765108397,0.6148754797846481,0.2806726783305251
13,4,-0.001959261814059199,-0.05484236804814829,0.08809875269048839,-0.003994303974598434,0.08175015569310123,0.1089478441446618,0.09470419422793319,0.015173067164342302,-0.041987780133684316,0.12268257945609229,0.06155214986005858,0.27008901670245433,-0.031108116380580364,0.17070269750015976,-0.030510972894923993
