f_id,i_id,ic.eps.ratio,ic.eps.s,nbc.nb_fitness.cor,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_10,ela_level.mmce_mda_10,ela_meta.lin_simple.coef.max_by_min,ela_meta.lin_w_interact.adj_r2,ela_distr.kurtosis,ela_level.lda_mda_10,pca.expl_var.cor_init,ela_level.mmce_lda_25,ela_level.qda_mda_50,ela_level.mmce_qda_10
1,2,-0.30615181731381624,-0.31394826689858735,-0.03975250433227506,0.22707335828329295,-0.014877787064073555,0.0,-0.04267199987859194,-0.11125110227846824,-0.06809195135201496,-0.05020191338432922,0.06738738843237091,-0.15242376697048698,-0.23524933966409978,-0.06872868568764234,0.05009183324463007
2,2,0.2821172211483277,0.27400219015863736,-0.02730028568300369,0.11383650445543747,0.0676238350731575,0.037470372543881414,0.017922532513026224,0.49472885924681553,0.06948238750451086,-0.03290061879487627,0.0023494738759824996,0.12664786348909995,0.01071052304132769,0.08377920102065395,-0.013684405914132558
3,2,-0.04755146226418616,-0.0031087445354549548,-0.11158272174374967,0.3625819115006097,0.00663869325799582,0.08185722655767169,0.08555035696161606,0.8992944717450506,-0.011314490932574195,-0.034257399426478374,0.0585901247644014,0.06674727409310088,-0.038461494658738715,0.050168321952435146,0.03299051174759993
4,2,0.06372643762432684,0.054484738387116816,-0.08199933506275453,0.19068856778826182,-0.054549518890185,0.10836468110916075,0.10446783467706655,0.35800274065991533,0.03930776383764617,-0.0496937863977881,0.012578227309116508,0.07278238602422876,-0.04252128099933422,0.1903059252948487,-0.003503306245006721
5,2,-0.14762992924282875,-0.15045875497728256,-0.07248406737853574,0.2411089812781264,-0.02430821644384329,-0.12740430303026679,-0.08337985561252836,-0.08742808897743254,-0.06558270522077497,-0.03435895169384717,-0.002242286646448377,-0.03740245496503741,-0.055192818011344014,-0.05548086769231031,0.12490269445087954
6,2,0.3760024983542663,0.29662293939135587,-0.07397044133633951,0.18852630898196904,0.014110010404795204,0.06721101002305024,0.03034431789205766,-0.10429646043383689,-0.0419646740020318,-0.06225917895286587,-0.00934574035688579,0.051855981677470464,-0.12612275490639893,-0.011717255214636069,0.10429846629895245
7,2,-0.09277288069001882,-0.11837910637761517,-0.13084997043861046,0.13312803578193155,0.04321238421428092,-0.16045276670572162,-0.08405771512975119,-0.12533140613136773,-0.01355229538802566,-0.05065100680849466,-0.07959676586804848,-0.06723676201059808,0.08427876586127847,-0.08605387812831394,0.03521467035898729
8,2,0.34621969860613866,0.2824122652054609,-0.002052713156634911,0.10805038282366208,-0.1288344505976218,0.20364849617838698,0.18185401550901514,-0.08087172436088091,0.03941651087642528,-0.0663214066050693,0.028823905647543613,-0.04324778544564678,-0.07637267324608527,-0.04022563922995476,0.04836833942186103
9,2,0.2872397884021725,0.2537031343441327,-0.03712184231411031,-0.30597160850101685,0.0601838926024284,0.006503575070747225,-0.018240805385786152,-0.054287742455177035,-0.11923303262907631,-0.03411063563102809,0.01890513382665643,0.13441081124848864,0.17393490057622477,0.25558020126651365,-0.16665203288412778
10,2,0.5149968771315289,0.4929371357790274,-0.04118517862449239,0.24480161283776125,0.15990909833440986,-0.19965710399955355,-0.10249171493872289,-0.10862238317096351,0.045074867607310776,-0.04862484929070915,0.012161788008764662,-0.018669389824805704,0.016046581251229375,-0.033013512560890024,0.24622940478330702
11,2,0.31880407804476113,0.3076736983095846,-0.039483538049940536,-0.19257015932530167,-0.02612198316637388,0.0429514343556884,0.02957615496100685,-0.06198325682740741,0.05281165951216042,-0.033608259852297685,0.02666445168146042,-0.10133300048724819,0.04222978352256377,-0.20210772842467226,0.06784522382915434
12,2,0.6983598677310154,0.8018910762748741,0.13295092241337136,0.20663509017307025,0.02407944978147425,0.09783829643811814,0.08119012724238872,-0.052658673396108746,0.06949483271883472,0.4462758407842333,0.0017468736055690215,0.0,0.010056583202737057,0.0,0.09137375084042265
13,2,-0.11450337686936635,-0.1619826683881259,-0.0636563660633479,0.29670208388958136,-0.018674227037909136,0.0051838678122430315,-0.02863733466651225,-0.10937939616968945,-0.08668726949515448,-0.049813593982496934,0.10848013997314765,-0.057801367044445995,-0.20665688857938713,-0.043841849867899935,0.07821815321194159
14,2,-0.265699676176238,-0.23488931513391453,-0.2257152079845658,0.22304923050452025,-0.016643981702780364,0.07287424422453714,0.04684795914048023,-0.13437299694299776,-0.15088854655630224,-0.04532845121973694,0.09317135949994054,0.022582262402913056,-0.12816563679048198,0.062114149642062216,0.008777963951487222
15,2,-0.13059428112404914,-0.08440011000226627,-0.28513593677185206,0.2390178447267094,0.04621411558704214,0.08834435183189546,0.06921704853141296,-0.04104032220134379,-0.020960879093868914,0.3726049520121299,-0.026445367604809547,0.06630241122364272,-0.013253839487449084,-0.06310904616561656,0.0031629278343743294
16,2,-0.1603852581281166,-0.17098581245196998,0.2361855087602887,-0.5807545388990061,-0.014062645460353851,0.0,-0.02343614745808137,-0.07866498320648385,0.06550908082361795,-0.03359825051771542,-0.058405524142211174,-0.11890404084760875,0.05140079650705043,-0.012095827851544116,-0.1171363804316492
17,2,-0.3480463096631211,-0.30360127620610655,-0.2310817912758225,0.053457300437315,-0.020130391644716028,-0.02292925185248379,-0.00997845877761494,-0.08734213241319766,0.06534353445579516,0.004634210334555577,0.023816350394004038,0.04946542928846287,0.06361320667898623,-0.08855754562803358,-0.01667310571299052
