f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_mda_10,ela_level.mmce_lda_10,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.dist_ratio.coeff_var,disp.ratio_mean_02,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.mean_ratio
1,2,-0.45019415041283134,-0.11086204495440473,-0.22989220567031124,-0.08915986681875239,-0.03476393089006989,-0.14444675314724723,0.010022118386941356,0.003004916984180419,0.03443738891600734,0.021668110673643475,-0.024286042684607444,0.031536137630420694,0.021933145435380136,0.034933136451997034,0.02651094123197629
2,2,1.07546330497526,0.3953763740629043,0.2435435685135461,0.2186024058774568,-0.03966299650137124,-0.1910269836275866,0.01104496879096553,0.016534037769876504,-0.027675553328938195,-0.026853924677610445,-0.01185193548455428,-0.030376730827300098,-0.027285808126565614,-0.008342538237490725,-0.02870389301819129
3,2,0.07613674166945875,-0.045975042443065356,0.09628201994330009,-0.0266522894973353,-0.02553670203812049,0.010057729166351309,0.01870773905282509,0.025808318793164316,-0.009117644744618972,-0.01846501272449469,-0.019067601497229966,-0.0229935324068785,0.03356551477952657,0.005935641782425267,-0.03372365173622852
4,2,0.08818648493064861,-0.03896105216971037,0.1008589829031945,-0.029560688237902717,-0.025968907966015052,0.002440276954251358,0.019056834856980762,0.0255291562768921,0.004756518890082622,-0.007488597151252357,-0.01735310184291929,-0.03160195096303001,-0.016158376297724562,-0.008400370986162939,-0.03224920521067803
5,2,-0.322528015800558,-0.10972953997334299,-0.14257265610539446,-0.07650948110278508,0.05829944159952064,-0.11395164074961804,0.020878975944874114,0.026060825883994748,-0.0011744075268686914,0.013335794366404072,-0.02184780807982678,-0.016337556181658074,-0.009121255300609964,0.030296142060046563,-0.014313316125686006
6,2,0.09107062919468635,-0.020046380220259244,0.10743549478757353,-0.008461068870680198,-0.020216664134924494,0.03933691858769426,0.015884125100712628,0.018478100544105213,-0.013927785496243947,-0.01766632710943812,0.003814888955350716,-0.031257185466200925,-0.044001391130168876,-0.003480229349619791,-0.026690566333408758
7,2,-0.015351645485967465,-0.11374279060338209,0.034063642033689834,-0.07015617609499401,-0.022471487568348034,-0.00033108274350992866,-0.15198133390241006,-0.21641555558204068,-0.01753824169474139,-0.014749896753259415,-0.02238424315251752,-0.026409449799330704,-0.046169089210108455,-0.014504087646923671,-0.031061082320051513
8,2,0.12065521212095598,-0.014172569556400944,0.14140452122171274,-0.018052257852565996,-0.00544006392579931,0.010147011716296532,0.03137557161002341,0.03135115984252076,0.04170557240517006,0.0002922982538287049,0.00027725578705438923,0.04380152508465368,0.09577131880877879,-0.01666766743172954,-0.0021155570060301053
9,2,0.11859596467452352,-0.0317659752864526,0.1200791390497851,-0.029419240024213332,-0.03023992630247781,0.024581603020311465,0.008271930054940918,0.0248788729315265,0.057878340004750534,-0.005148125548531455,-0.014158723395035197,0.05318489420411431,0.08258609246450375,-0.010355749168084117,0.04856587013702502
10,2,1.141720652989004,0.8427320797289806,0.29917751594958286,0.19197490555537258,-0.042309947018796173,-0.025018481733409478,-0.07220543938664378,-0.10422824966762495,-0.03150145957773076,-0.03242617583438461,0.04309125141698813,-0.020242426578258938,-0.029797214470366585,0.021206069113155205,-0.028738131770070757
