f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_level.mmce_lda_10,ic.eps.s,nbc.nn_nb.sd_ratio,ela_level.mmce_mda_10,nbc.nb_fitness.cor,pca.expl_var_PC1.cov_init,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_mda_25
1,2,-0.49843098862425445,-0.20462737128547492,-0.05764636254804834,-0.12002721106476819,-0.07233088353586348,-0.049326376262180546,0.01631914522639762,-0.11909611294558894,0.0364117900915628,0.01231276439082271,-0.00769679676527787,-0.0454201024993428,0.008503673780918194,0.028223648337983426,-0.001974198528678013
1,3,-0.5001114259772885,-0.20172769350564795,-0.16007598500826795,-0.12170280401648167,-0.0738493851430427,-0.056629865412214875,0.01429510967009764,-0.12313225714383272,0.02873933641689317,0.011379456588451246,-0.006207339566325112,-0.04757345186858312,0.0068367457132095105,0.02838936871569826,0.000869498508122005
1,4,-0.5092448967020522,-0.20597596841750643,-0.1591628419586689,-0.12072874859583563,-0.07480279572981646,-0.06346982360606365,0.01114343149818317,-0.12811083408846413,0.02795175332027639,0.007600150315562142,0.0016480784524343735,-0.04981434742025223,0.006378903728635018,0.028485974664401188,-0.004559393710887161
1,5,-0.5078673363077815,-0.20530527747973862,-0.15665699393241836,-0.12081815519041436,-0.07420722155548498,-0.062420752295530374,0.011502201601386434,-0.12721050740381273,0.029229294380305172,0.007495271463064845,0.0017661982197431593,-0.04941926457588679,0.0058182356494442195,0.02902968597716455,-0.002078363559963781
2,2,1.2169036272751703,0.26531989109959125,0.2892322039709869,0.4402107889908392,-0.11335299358285642,-0.07908353128291104,-0.0001706437525314567,-0.0051575732887950134,-0.03948126576080052,-0.004919811706046872,-0.008513558560858368,0.026337909387664622,-0.003565885558796574,-0.054865891418567056,-0.04000453342382008
2,3,1.2616955713502305,0.3599645483297433,0.49544954976110966,0.4516218697557293,-0.09775882709728341,-0.07732187988102306,0.016838029239500195,-0.01976972713869599,-0.03855034984180449,0.029709733506460615,-0.002567857922231985,0.021065022374961412,-0.011169899187485644,-0.051762167062231676,-0.03909508826153187
2,4,1.2256609665164442,0.35386996459359166,0.40918432917329667,0.353036950107716,-0.11738689418418792,-0.08904212716838199,-0.012971101156220409,-0.027029890894129365,-0.0467192210165944,-0.004824595703796935,0.01731042976960061,0.02224739055613282,-0.031833413508409604,-0.058796820357600296,-0.040573931449431805
2,5,1.2435060575189336,0.3200137807054457,0.48634564645171363,0.4517099780455422,-0.09642535759562632,-0.08466875288042515,-0.006272878871171306,-0.011384491766905277,-0.033433975163349144,-0.004932909298298084,0.0064757758644262585,0.02120266031256174,-0.008735527996665403,-0.052000052468169036,-0.04044025282965615
3,2,0.1108043116652594,0.040271202830457535,-0.04427606436856026,-0.07557270048373305,0.020171657859440063,-0.0390257065757931,0.023187332807054657,0.04627210521764863,-0.02943659348450051,0.02225288670640551,-0.03669428531577156,0.04073411273065906,0.009433793304385832,-0.04066936184326669,0.010348907051730699
3,3,0.11521204511588319,0.0375646440904501,-0.04470368697821032,-0.0816238767471256,0.018112758384357004,-0.04225516071691464,0.05430240632309627,0.043177728924492294,-0.03398540206514073,0.030801079191565956,-0.033584038458835556,0.04085021449902058,0.007281713106471938,-0.04371606137097767,-0.01104120876673402
