f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ic.eps.ratio,ela_distr.skewness,ela_meta.quad_w_interact.adj_r2,ela_level.mmce_lda_10,nbc.nb_fitness.cor,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,ela_level.mmce_mda_10,ela_level.lda_mda_25,pca.expl_var_PC1.cor_x,nbc.dist_ratio.coeff_var,ela_distr.number_of_peaks
1,1,-0.5730366973615394,-0.1929579921513735,-0.11382902771369939,-0.1478365498126178,-0.1256595167396983,-0.18574236533038072,0.014481174123053159,0.017846306930306154,-0.0002808083691665207,0.0074672082424745365,-0.003864448770680655,0.012326013879252853,-0.01927221325182608,-0.0025531084582421323,-0.0009342573698384001
1,2,-0.5476650851963237,-0.17069739208441595,-0.119373998180731,-0.142289307803958,-0.11294654702100687,-0.17793595992795186,0.014315538200622108,0.007579534601700752,0.02359405879922774,0.017977842547705278,0.003017429934324142,0.010917379384407082,-0.0133613548148303,0.018053565409140264,-0.0012464012676898957
1,3,-0.5486162832557157,-0.19000885534868867,-0.11877268059664947,-0.1419072175620086,-0.1089279000589637,-0.1738102989223897,0.014634812645976986,0.011228603322752531,0.024660858553676644,0.02188665134347649,0.00399498729369009,0.016766857900172648,-0.008995218938955407,0.020351835967035665,-0.0007818087639372916
1,5,-0.5638576751629315,-0.19355939188902663,-0.11894351842557734,-0.1463148076423815,-0.1194096908937661,-0.17927844312097016,0.012705903147706456,0.012091961857101872,0.01059060752198716,0.012513643347324634,-0.0007009138581215549,0.01089301340566944,-0.015832518397192148,0.017341786365863854,-0.0008842365755377375
2,1,0.8624255367584684,1.0119530477950902,0.5399688274613482,0.1930585452225342,-0.044533385566067826,-0.2432885200429486,-0.011769925819736512,-0.07004680101081995,-0.022717386694890544,-0.0723288167984748,-0.06990025583092668,-0.05344495234486611,-0.016889649641580143,-0.05030724762595313,-0.004320793024580501
2,2,0.8638286738106703,0.879674286962409,0.4830161543910323,0.29896118834004604,-0.049235362519510675,-0.22890870356380333,-0.008137560590824393,-0.07579163504813591,-0.026895207267534055,-0.05235838852321228,0.0005293532021448621,-0.06048511301282624,-0.005633086109094782,-0.04058458811875103,-0.004169810152752598
2,3,0.8689320023698719,1.0088577124948321,0.5529431689560959,0.3066081558924998,-0.052653411555920106,-0.21897878254619635,0.004960643866172559,-0.08885893660004843,-0.02513139978569981,-0.01993045293919726,0.022818988570965298,-0.06186934872807435,-0.006267549594445733,-0.03552183698532744,-0.008646425608981155
2,5,0.8757271599410217,0.9995114002601208,0.5563869581607104,0.3109427092389316,-0.049472172448820816,-0.2200496143205229,0.00603948275591719,-0.07004615234023831,-0.022465398739035324,-0.018867066821983115,0.011756375022547996,-0.05977712337842023,-0.01156179803826648,-0.04140765867197489,-0.004240725285309238
3,1,0.2801633671512878,-0.17970195020242877,-0.10004931039240801,-0.015804328750028806,-0.045666761853969104,0.03326235475803706,0.025683909241328347,0.049289854900816214,-0.015209398766507856,-0.013950446472921443,0.011963704379089137,0.0016661279608982046,-0.0051141691402528675,-0.012569704289625245,-0.0072240388783155465
3,2,0.29385020000860523,-0.11781890153544645,-0.09615980038995899,0.004264055951870806,-0.04790828162931346,0.04790642551851576,0.0390173280886925,-0.06350811836070237,-0.01790162272631243,-0.0356261998894358,0.014210704476221952,0.011376920606963955,-0.016255191538764247,-0.006085408007810996,-0.0030822668551774507
