f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ic.eps.s,pca.expl_var_PC1.cov_init,ela_level.mmce_lda_10,ela_level.mmce_mda_10,nbc.nn_nb.cor,ela_meta.lin_simple.coef.min,nbc.nn_nb.mean_ratio,nbc.nb_fitness.cor,ela_level.lda_mda_25
1,5,-0.4999045572102147,-0.1796854248573341,-0.19417768865658988,-0.0775455571695086,-0.2129654150235042,-0.031112814157137573,-0.05460361661493581,-0.03957862983343202,-0.02244900470365729,-0.0010262298475797842,0.03941386540737388,-0.002332326082512138,-0.012648088989969608,0.0025611185859018555,0.01155318753910705
2,5,1.4349730602668835,0.7276112955774632,0.024647921380219852,0.17531057142760434,-0.3054818902610528,-0.04662080041391267,0.29208312854785323,0.010232363749945449,0.006759731594909266,0.015186695024497881,-0.025575302485086684,-0.022156768280738422,-0.025971892802002818,-0.009105394165820652,-0.04239805017610984
3,5,0.015121674575616507,-0.15416536530774808,0.12129220408650745,-0.0300435200084913,0.02876222863708572,-0.03256423208757218,-0.015004815432470259,0.03539818330498482,0.023694098369649218,0.029013146666026897,0.06123083868060588,-0.0017505054645444466,0.03851524125409389,0.010285293572660455,0.02814324268919389
4,5,0.05948052650035522,-0.10355892350633568,0.12897206075586198,-0.004641074438947901,0.025510782501113327,-0.01949216826586119,-0.0031395575780155073,0.034317475887249586,0.01755226366376609,0.01658252543339965,0.0032394112284198943,0.0017239580217887542,-0.0028039559217748642,-0.02194096090984351,0.02190052989965067
5,5,-0.393531507140164,-0.14364194726426124,-0.11657433947440479,-0.06397698028738445,-0.1814787995053836,0.07883877028057838,-0.036007699683991985,-0.013610025998527099,0.07194127143336862,0.060481121766868484,-0.001383172826742835,-0.0023512482332866567,-0.014436415815590827,0.003603374257627741,0.04756494853946059
6,5,0.06038937934749236,-0.08358731843002673,0.13403410190990678,0.008533363535968747,0.023882449410034215,-0.023461888981824452,-0.00867994750207974,0.037878614907387524,0.014783471736039297,0.0247738653377304,-0.006454681842621223,-0.013676335988568752,-0.01678446075912067,-0.01818838913032928,-0.0003707521064301644
7,5,-0.02256747443324891,-0.16689889635218025,0.08885638108645698,-0.042575965910853386,0.003511358233727231,-0.029756590100928855,-0.02938994070369537,0.021886694961736744,-0.022460684915644215,0.018126037094271012,-0.01235221171822097,-0.0012656302960287035,-0.008199281961016637,-0.011981887131245409,-0.10313683300874427
8,5,0.06564419526228651,-0.06261123793059195,0.15795591101954942,0.007823574395396223,0.05225002718020833,-0.03210421220896528,-0.001729164725650203,0.047302467061881355,0.015163977111848564,0.037475026068117194,0.004047191933871474,-0.014787380966625225,0.07203690735110779,0.005990352116354747,0.04390069234559582
9,5,0.046503163463141754,-0.06944861123224061,0.1582069452073066,0.015391947287129861,0.08571038173486545,-0.0429699263324374,-0.008944738170558915,0.0420214418635746,0.024107154787969473,0.018416510913582967,0.07708919879822775,0.0005765404816280829,0.03978915962110621,0.004649692547417587,0.03584939477218302
10,5,1.3175638696426735,-0.07064662176850142,0.07528104941544395,-0.049277231302150094,-0.07057485237767984,-0.029901974546331242,0.23594293705218397,0.049778350956724164,-0.022010014941729026,-0.05681510297208821,-0.03126573212504002,0.00806583055329685,-0.00220914672314041,0.007158554281595972,-0.0564007095359017
11,5,-0.024198883172389815,-0.040677857815234975,0.1259988742352626,0.008473617097121681,0.03024684510180968,-0.0927907719342357,0.15755207940159885,0.044366730213563486,0.012481229452331242,0.014200022722352434,-0.03034073619034985,-0.002910627992140837,-0.05380964075706018,-0.02468824547202558,-0.039339812649151616
12,5,1.7597074453752146,1.0773569646904952,0.1389870805460924,0.260104144088335,0.17664644495738346,0.06021447396448509,0.34210914795408953,0.013389054659544184,-0.0027763211729650667,0.008270857598662447,0.09615304631693715,-0.0039419461831308525,0.08202821198670561,-0.002529764967983383,-0.013757340863330041
13,5,0.09553423267629636,-0.12101250289740371,0.1287988219626424,-0.0016932690544312241,0.07676984133675682,0.0302458033942453,-0.010981094490939163,0.035219200188780934,0.03337724199058985,0.02499132857776526,0.12914593782117167,-0.003126705451299737,0.07646203277465753,0.03058304368259945,0.026306472873483023
14,5,-0.590193248582171,-0.17105530975914057,0.13604278363745448,-0.06041541761463864,-0.01181401833452846,-0.026067376581579864,-0.014765694369230989,0.009781250161995114,-0.010444059168749834,0.0016359555636753101,-0.022216158122166926,-0.001979776075808964,0.012281630359478692,-0.05068455565831772,-0.004821049021864126
15,5,0.041815274707287714,-0.14286288229802188,0.12068003458141469,-0.0036863821833388044,0.05269840726714849,-0.03513866028940026,-0.010802682123142502,0.027717784751325164,0.028414512197525877,0.018461516421160173,0.10586646934475151,-0.0012216667677236604,0.05999757726744121,-0.021431741723947444,0.020275718893675534
16,5,-0.547457979190435,-0.14489975697332785,-0.16232188451104934,-0.11090921233042243,0.04548895003892322,-0.010416416607103672,-0.02388029889285586,-0.06364537649665267,-0.0017020944198167136,0.005877817075864851,-0.021377705940321578,-0.0012147448251600091,-0.028434792059733836,0.004134571732313431,0.01866127323608285
17,5,-0.555649404056798,-0.15562182645450606,-0.1401878652048504,-0.09510151851565898,0.03593598489166353,0.0023853246225821858,-0.041594567034442274,-0.052019020884396416,0.012407893056779013,0.005412070848711915,-0.01463103123476607,-0.0016006680450175816,-0.007325582048434319,-0.012207529088954224,0.021131667848918612
18,5,-0.5547585582623994,-0.1488816623373447,-0.13445571073346582,-0.08547628786788332,0.037693767485615946,0.008027151839018228,0.014633046104607854,0.01619899133734715,0.015518535374077975,0.00705390021907497,-0.00864935137542321,-0.0015084710000214476,-0.013382124861939428,-0.043142747503300966,0.022350320321381987
19,5,-0.5972224827197028,-0.1698042123620621,-0.15895123697913574,-0.09639865996652253,0.044685930108437126,-0.03691708322613557,-0.01944282825131071,-0.05771777921027579,-0.0007920010410170338,0.005644736548479714,0.012294859113825812,-0.001414017648052493,0.036048227643745025,0.0052976475474613045,0.022485588532559064
20,5,-0.12020701194653131,-0.10591680958794072,0.08600987277669384,-0.05302034725994395,-0.5611962451105652,0.004535672035673387,-0.01178255412467688,0.01640087278269138,-0.07510519872840725,-0.12014892737791989,0.017534336887619142,4.007330277857636e-05,0.013273563116119809,-0.016203333794974257,0.017832237758716216
21,5,-0.526311276083976,-0.10318309797314687,-0.10104172427772531,-0.10071551618258096,0.041303700088656616,0.04240093188207526,-0.0021264638124473055,-0.04056118409346283,0.004222415455654713,0.0005813861584697167,-0.03097923810243859,-0.0017019109255276715,-0.017725825262741645,0.006205247033592951,0.04495936134593017
