f_id,i_id,ic.eps.max,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.max,ela_distr.skewness,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_10,ic.h.max,nbc.nn_nb.sd_ratio,disp.diff_mean_10,nbc.nn_nb.cor,ela_distr.kurtosis,ela_level.qda_mda_10,ela_level.lda_mda_25
1,1,-0.4522404109492859,-0.13447442465609893,-0.1980084921039816,-0.20833592570618334,-0.12895120477304595,-0.060967108191733524,-0.06262694453192874,-0.0008172482603745843,-0.020459723828951823,0.034906424494137236,0.015035669723722344,0.017527124441178495,0.0029661327354674424,-0.015019283493747081,-0.05716741812275907
1,2,-0.4339977224537789,-0.13132882169563861,-0.1846287449112678,-0.19082601732554189,-0.10119872869747294,0.013780483042138393,-0.037983761986762114,-0.003132128639186306,-0.017890704558662297,0.036536842735254545,0.009696613823751622,0.04136144302764724,0.00771620641944374,-0.0011193909071881359,-0.05297378275556569
1,4,-0.43905125478212903,-0.12516658127086613,-0.19126414416993487,-0.1959948709782789,-0.13200054906343958,-0.06488130145885518,-0.055994328133453224,-0.009541558783574683,-0.019581091534540802,0.028477114823904987,0.012757602804254078,0.021786600386136196,0.00572713842788625,-0.014683471938198784,-0.05409996296192664
1,5,-0.44546812619990755,-0.13207054979119112,-0.19318640969711096,-0.19552015529764374,-0.13084451033565103,-0.06260411568986987,-0.05434826455948189,-0.00542020685526046,-0.019104209361456334,0.036933539725631064,0.012788861383508461,0.0242372196882567,0.006131490820934801,0.00014337214010416146,-0.052564273616196526
2,1,1.5961900415857713,0.586335834217682,0.13528078159108473,-0.22525380546801618,0.25307318562854775,-0.09602700240263312,-0.003270632268003416,0.010737422150958952,-0.07085321128010721,-0.02958945264190594,0.005082322495141296,-0.05392867343592174,0.01885314035229048,-0.09051879890060034,0.005465205216701886
2,2,1.7556713918102198,0.3192843424511142,0.15522215875131834,-0.2189158767810057,0.2642724188623787,-0.07191058180723904,-0.0029405532818840216,0.01212644340038976,-0.07844832627561195,-0.028232115307671432,0.008832091272775474,-0.014377175429590279,0.015941186446031753,0.042980504777367666,-0.0016507843850227164
2,4,1.4611486474499702,0.5947520815626962,0.12921269555988177,-0.1189858891844629,0.25126422943752186,-0.08394717321619943,-0.0017027661797222584,0.008354176826805315,-0.03147824412634565,-0.030387671184332422,0.009960031967778341,-0.05428296599649201,0.028739880850826932,-0.08584428434252277,-0.01046749249045394
2,5,1.6368683494263212,0.5899261898380368,0.13869101256333155,-0.22017686339204415,0.26535728520976304,-0.06897488959501867,-0.002744605067798076,0.01022225784075675,-0.07044392895549498,-0.027886040153160215,0.009808321256538785,-0.05389832890018897,0.019282436770879804,-0.05689510598749522,0.010554521615700845
3,1,0.03460160444889381,-0.11659522713738563,0.01303214586664756,0.042181101579553223,-0.11859100002239548,-0.05187556202267512,0.08142732276777685,0.012645436883673974,0.008626642111784337,-0.007963947809588642,-0.005815951953013915,-0.00908359595525359,-0.023884816624891354,-0.0020224584547566685,-0.016826603170655423
3,2,0.008851237808199025,-0.05183871440595614,0.10605813719223763,0.04992636019507167,0.0589593976444281,-0.027217635302626796,0.0014827619334121535,0.014426564848086873,-0.08118060836575211,-0.010058506713967776,-0.014722534895284635,-0.025996755370824777,0.015590258336751874,-0.002049219841747829,0.02222170489384948
