f_id,i_id,ic.eps.max,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_meta.lin_simple.coef.max,ela_meta.quad_w_interact.adj_r2,ela_distr.skewness,ela_level.mmce_lda_10,ic.eps.s,nbc.nn_nb.sd_ratio,ela_level.mmce_mda_10,nbc.nb_fitness.cor,pca.expl_var_PC1.cov_init,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_mda_25
1,1,-0.49738280550328384,-0.20213192362729132,-0.15280771307251395,-0.11153586104023382,-0.07356375478401139,-0.06261470114768032,0.006851900625829298,-0.1258018999999298,0.030603888100093235,0.006289274024618964,0.009149542010626871,-0.048206022270473575,0.0058600763052953095,0.028448123536954237,-0.0033491729337961746
2,1,1.289418354301975,0.13257612857775813,0.4501192717008297,0.49262949972469094,-0.10334726165160553,-0.08588103339294961,0.00040703647648175786,-0.02002834653941393,-0.0361414656941074,-0.10641357767644255,0.010009832569065982,0.022578520331396415,-0.020792477574493796,-0.07899676425351884,-0.026719499072456382
3,1,0.12177237733481272,0.017807905158501877,-0.11748661304678776,-0.09013371876981642,0.01400497556186156,-0.04784344486304697,0.03219375336845053,0.0239025084108239,-0.02630505714123823,0.020120792933277957,0.030174657389624385,-0.017465071449639068,0.01762669591430584,-0.019710929026084414,-0.015073823814091298
4,1,0.10658983243090418,0.04568405235492863,-0.05165358631682417,-0.0755536893368536,0.01433219351641672,-0.04042847193464036,0.025423765540825562,0.04976119395278461,-0.024346864521534624,0.027753443388429576,-0.02834262561201371,0.043110519006702104,0.026117774151240485,0.027579452074994085,0.011591471289449049
5,1,-0.40549857871515566,-0.14046553584645863,-0.11764092099360404,-0.11158014010116846,-0.062328293432479434,0.12381872467439642,0.04389871990426412,-0.06179787957874792,-0.006868563897708891,0.03165160261318715,-0.006518715328184912,-0.028004440507986887,-0.01630417311728806,0.0008560416841514089,0.033340794831766093
6,1,0.11131829544408785,0.04266217925626711,-0.019090755526621015,-0.08230422879324506,0.017703836429014574,-0.008791887616115693,0.05567327300597315,0.04460784814611177,-0.0327865771977219,0.03258328264670599,-0.036701771602673655,0.04269405087182168,0.008965182007115602,-0.03889619114275436,-0.024753272626135966
7,1,0.08038484070705604,0.019140842988265058,-0.051934733330348426,-0.07883042869003341,0.020479467758597658,-0.03967780511005535,-0.09042189116063486,0.022065550965525232,-0.024950274530889927,0.021293071871750797,-0.01804243893440103,0.03182035085494019,-0.0392519604315919,-0.04178747819505328,-0.014757825106684986
8,1,0.10861924658195876,0.061538189784245745,-0.009478873894970773,-0.07137286747042555,0.02192575497989569,-0.03800472915520286,0.033927936852603834,0.04876949677266501,-0.013960092614602133,0.02927055739922783,0.032007166769140914,0.04743217257986163,0.026955320943169065,-0.029831692893924365,0.01839481206439119
9,1,0.1382316153468491,0.07056236736649754,-0.013930112324659932,-0.07417675545426161,0.03486974763649174,-0.031286673697099816,0.03659176047851559,0.052505264392068665,0.07879771919403285,0.02551319450752099,0.02743999889493891,0.04850063235831641,0.02101141769690658,0.06659833160910032,0.018763317895617564
10,1,1.2161163940598432,0.3874924318799279,0.4641742506111782,0.4582462607387981,-0.031513595885269974,-0.08065493778982635,-0.07374316634917692,-0.01286620992324731,-0.03018899932903495,-0.004579846309642925,0.013823826553177335,0.021156502646821174,-0.004814612992191505,-0.05152068008948639,-0.03428916894699848
