f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ic.m0,ic.eps.s,ela_level.lda_mda_10,ela_level.lda_qda_10,ela_distr.kurtosis,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_meta.lin_simple.adj_r2,disp.ratio_mean_02,ela_level.mmce_lda_50,disp.diff_median_02,ela_meta.quad_simple.adj_r2,ela_level.lda_qda_50,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_10,ela_distr.skewness,ela_level.qda_mda_50,disp.ratio_median_02,ela_meta.lin_simple.coef.max_by_min,disp.diff_mean_10,ic.h.max,ela_meta.lin_w_interact.adj_r2
1,2,-0.4363148107791379,-0.27352414098826855,-0.2832425410948644,-0.10587432830342851,-0.07192822619647783,-0.029026339967022495,0.011858998404413693,-0.03635700108122374,-0.014411681101917592,-0.02977316187614076,-0.042542543943275724,-0.02817423556003936,0.004671817158845678,-0.008080852641484887,-0.02589479264964398,-0.027548114552804665,0.01653816401140936,-0.012729469200316467,0.0021889733502591215,-0.009129691158789538,-0.00407821249039028,-0.0057591994601599635,-0.0211285603350581,-0.007670152217266592,0.004569667310679322,0.011782643602220234,0.005394194138546063,0.0005342749333979137,0.005589431046394089,-0.01016711794124113
2,2,0.3034339264298646,-0.22869616530430092,-0.5954562271438646,0.04174258062274788,-0.003901794268759187,0.02838538326344069,-0.02086050975353436,-0.0017817491571041602,-0.0035207150909929118,0.020468337426765747,0.0032667772760908505,-0.022240407673697435,-0.017269427685135525,0.0002685374731066826,-0.014345746865918985,-0.022120035691770616,-0.01879450782309366,-0.018564634202139055,-0.007484890093995862,-0.009259806716806143,-0.001793926792554825,-0.0051808737913804715,-0.0023437074934723866,-0.009114631719338384,-0.008062324003980196,-0.01677323685856587,-0.010306504478221295,-0.015980676989457373,-0.0024471264525489206,-0.00817695691227585
3,2,0.3918052974706935,-0.2221928793917804,0.10011390609958887,0.08577642911079947,-0.0017211155917977055,-0.02307437703426072,-0.03379701483611451,-0.022990208595770174,0.0027495541588572043,-0.018865950908470534,-0.004064496351133445,-0.004147576513896457,-0.02074943993671921,-0.0032846032952646756,-0.012610437754548306,-0.029416856078117816,0.02167661210383262,-0.01497089125988546,0.011162569158832321,-0.011864433305129499,-0.004143255544358577,-0.003636092278847207,-0.0037034041418097154,-0.010518246248832519,-0.008798741125185632,0.02857472827403915,-0.009735409946968084,0.019107319033627775,0.005741119873180207,-0.003588046285969082
4,2,0.34901310425165005,-0.21443363973170057,0.08792711581999313,0.0724815203864748,0.0029303206334905744,-0.02374607429982735,-0.03151675211157659,-0.005064378800717393,0.00237753276408073,-0.013137890288250891,-0.0020512296585249584,-0.0005408647813983504,-0.02570709542863215,-0.005625945945744468,-0.0024074741861288716,-0.02057726229346036,0.009526893150862482,-0.018267656543944088,-0.004810253807196666,-0.011203166944696807,-0.008981686758225636,-0.006488189353629486,-0.004051752831252766,-0.011617602117273586,-0.00519484564063637,0.005390128400664891,-0.010205368169824463,0.015147043785536402,0.0072078437209924,-0.003537464247982146
5,2,-0.3610977723785829,-0.2612041770492137,-0.24095364607588265,-0.08752678977060051,-0.08097049144549527,-0.028878355436071642,-0.0058817011784963805,-0.03054627304227406,-0.009331668077723058,-0.029825583154896154,-0.02862129037723341,-0.03147690573198351,-0.001813447616191453,-0.005297867278016379,-0.020051166671323027,-0.009540439082702712,-0.011030219777043458,-0.009589085334037325,-0.0018879129902318337,-0.007651171673869108,-0.0020091721274979055,-0.0024686892266965934,-0.006023582411839967,-0.005837965387300975,-0.003488239668253584,-0.006375467627433767,0.006559015887706334,-0.004620117317629648,0.0005902846666138332,-0.0006836990079571901
6,2,0.3608779931037285,-0.22804100007629485,0.08401065370523225,0.07159024904375745,-0.011582206080050811,-0.018532869197115713,-0.05339844078062248,-0.027332181235257047,0.002077737592344983,-0.02016789157861583,-0.011265673819374253,0.00295927673473544,-0.022325224753395472,-0.007019789991039228,-0.017448810151741274,-0.02107942305113348,-0.03524518239970428,-0.020578140145700186,-0.019732878025771648,-0.0041740321400789955,-0.006385471625911397,-0.004559776156476346,-0.00654328790003953,-0.008331183559068147,0.0025067478949286565,-0.030919278772421063,0.01045561239851591,-0.02054917466634411,-0.004706277895767084,-0.005574359933023314
7,2,0.33071976977248907,-0.2226730549844946,0.06573629525599321,0.06560408895233785,-0.05232487455871162,-0.035646885016104746,-0.041629330915743036,-0.04375922622446353,-0.009807761065308975,0.00833239685022494,-0.013578910961737196,0.002924022032532913,-0.02108555533183047,-0.006700384422623816,-0.017651017535913867,-0.011963012915138977,-0.035953366732931806,-0.010278883370367357,-0.011703241128697773,0.007240516422546174,0.004724416586160043,-0.008400644278571182,-0.0038426159439253526,-0.009779882088014903,0.0023405104278803393,-0.03475782450056959,-0.009837385094874444,-0.030522789585251175,-0.004308090010219927,0.000951208448386667
8,2,0.3960197370561893,-0.20626871290676316,0.09207671201369866,0.07875956528050436,-0.004061729732115897,-0.020975032608377686,-0.00772426972259126,-0.00014228511866842385,0.0013445906369212825,-0.018447078890914702,-0.011831051703073256,0.005700581876193646,-0.007187268553317681,-0.006726783194667861,-0.015790934003607714,-0.010665464057291603,0.024002150047153,-0.0012791750956017613,0.016021700184301883,-0.013768823289323506,-0.008977093832484975,-0.0049706060543006116,-0.0027888782164124755,-0.0027043354919541883,0.008446232621215383,0.032506729966829184,-0.007811304857265409,0.011326707862323893,-0.0017131102565325826,-0.004646255076094265
9,2,0.38523356993680263,-0.18077819359073388,0.18742476676569741,0.08224546168453306,0.038939684440690375,-0.021332773345274364,0.09560407427197068,0.004821837770633633,0.00015206956180121816,0.02375777327446302,0.009396989020130057,0.005725465976514648,0.06770760829014628,0.026197145425190783,0.038952923940302295,0.03759734430130458,0.02354333900419279,0.036194145012887126,0.008880829785484646,-0.0017332765879820853,0.019319484433034093,0.010710966205576919,0.0044559260710599876,-0.0008127200095541898,0.005020782463560788,0.035790165988525934,-0.0018703019020765701,0.002761351451277016,-0.002711962642399664,0.01044407721539382
10,2,0.3973531915618299,1.9179699651735866,0.05702190774734782,0.08205182561251888,-0.03458019550581293,0.0925027668968746,-0.007156246793403707,-0.001514915876778545,0.11477476071967807,-0.009847534432676589,-0.015027834253445687,-0.01954645691927148,-0.015213488469148115,0.01369820679877971,-0.00836185901349436,-0.01660414525834485,-0.01612819045135262,-0.015054498946802575,-0.005590011380938862,-0.02607658141052579,-0.002890720620344408,-0.003469732709013228,-0.005845959612594505,-0.016577377059565673,0.0031787438988701306,-0.0027977783972370426,0.005318671520582152,-0.007123432057549432,-0.008901341723816243,-0.00012669057230692401
