f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,pca.expl_var_PC1.cor_init,nbc.nn_nb.mean_ratio,ela_level.lda_qda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_distr.kurtosis,ic.eps.s,ela_level.qda_mda_10,ela_level.mmce_lda_50,ela_level.qda_mda_25,ela_meta.quad_simple.cond,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_level.lda_qda_50,ela_meta.quad_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,pca.expl_var.cor_init,ela_level.lda_mda_25,disp.diff_median_10,disp.diff_median_02
3,4,0.38460527775493464,-0.23896941181886322,0.1270481236779527,0.035933164360800164,-0.009771336717500627,-0.0106804966044061,-0.041373192670145234,-0.009351390369284866,0.012872016803555184,-0.013938424552399017,-0.024088820825664495,-0.01986752476422978,-0.014671739371867203,-0.010852017976844194,-0.000576365458497756,0.032683320948896526,0.011806106742217595,-0.012560263317043557,0.006026248927045591,-0.027271410958381828,-0.013062582894110669,0.0012549992892978649,-0.011923341175842381,-0.010723684808239728,-0.003612670897857811,0.00011011715205915763,-0.0005606142543975907,-0.003613670065939621,0.0217200096912235,0.014919050334909733
3,5,0.35103271793425433,-0.24267934963877372,0.13126619780172696,0.030441802395164065,-0.008578136887751203,-0.009762084188745385,-0.03393732495893075,0.0039700277407881315,0.0049781754097359306,-0.002708838978023838,-0.012451851837406746,-0.01946277882082744,-0.007010153962224957,-0.015734729885717745,-0.00017218801970030412,0.0199108009057632,0.013503871498310987,-0.0035821675131677932,0.006068792539878213,-0.020159554774248807,-0.004764973201970975,0.00141935144814501,-0.013833899523370243,-0.021866038719428445,-0.0015414642102015382,-0.00018535826739599486,8.008775062822771e-05,-0.0019321856535021165,0.023428741512677632,0.01764376940823115
4,1,0.33334050462134046,-0.24076082047673616,0.13920172685223559,0.04244449843339857,-0.006565409654855723,-0.008432678800536279,-0.03980509188711693,0.0016100767194474007,0.009498824433609611,-0.015697226586288412,0.029629521862788832,-0.005076305746779176,-0.011175015252075222,0.013650195917747972,0.00020047301799251671,0.029155363234731592,0.016851650216748972,-0.004523813361567277,0.007675201198250126,-0.025852912858789823,-0.008157470993764496,0.0031733710316291033,-0.010932271957965157,-0.011387911659330376,-0.0009422099488080242,-0.0018524261144467632,3.752996216654545e-05,-0.0004224903365509028,0.01322623441646103,0.013053841444595623
4,2,0.3722308879161424,-0.22815238653132236,0.15246069694071893,0.04125224305595889,-0.004062827437238346,-0.007862851767736722,-0.037999409264655455,0.0035321460302902767,0.016629555529984946,-0.012362935898640466,-0.01352060916010849,-0.019281118486079343,-0.015514367741386901,-0.010075725927920907,-0.000566870546625458,0.037320342326401225,0.014546699215798034,-0.01309509699100023,0.008792579190054987,-0.023988182208228744,-0.013255069997646834,0.0017550607467401056,-0.0133207166040729,-0.011913450804464537,-0.003612670897857811,-9.813882649744237e-06,-0.0005606142543975907,-0.002242214228353792,0.015915902325672672,0.019195113705951537
4,4,0.362328240979438,-0.22669473291033232,0.13856262747801176,0.04280957001744272,-0.0041844170632790965,-0.008789221877667674,-0.03717684872720734,0.004902139152918866,0.009181694230119195,-0.01623742942871446,0.02643663054334905,-0.019043935787939854,-0.01525745549176805,-0.015379510117330415,-7.970290489119894e-05,0.03790299091618732,0.01419297668742614,-0.012351079690189008,0.007921875059921315,-0.024658161563593926,-0.008762326648971518,0.0029446528808579064,-0.011753671884788992,-0.0100682285933368,-0.0039960780942190155,-0.0014777483634535362,-0.0006181639910673642,-0.0026098933950493234,0.014051417496792189,0.013452254176722623
4,5,0.3678638417151401,-0.2322066000703117,0.14264153180615158,0.042341188900526114,-0.004169064817328794,-0.011425236625139869,-0.03264935753099226,0.0013422254369505396,0.009282795525808147,-0.018579147186311634,0.02150142601806833,-0.019743471901385094,-0.013694321398394153,-0.015400481287349003,-0.00018605718549792726,0.03816419649026692,0.017508269967320186,-0.012927855165880974,0.008774659004446723,-0.023258621768083815,0.042702749246047764,0.00300374668140438,-0.009290302593556211,-0.0100682285933368,-0.0039960780942190155,0.0005321475101395635,8.83091415810524e-05,-0.0032854153730247637,0.017889856351984278,0.011591030569867909
5,1,-0.3578602016459803,-0.2995873331362423,-0.2911402206720587,-0.030669008793590212,-0.003994927116447315,0.0007827645702880981,0.0017021459219863193,-0.02242963527715839,-0.05424151886777711,-0.0038796176402929117,-0.03413754682395003,-0.05991350940263562,-0.0044094938058226825,-0.027365923985365827,-0.02298394006019787,-0.018472119749209086,-0.01579241491825269,-0.01927264866687996,0.008561755144956327,5.525781088199064e-05,-0.014881317059420862,-3.82584692850918e-05,-0.0008151571399094256,-0.012587322498729753,0.007980905441855885,-0.00023178660533726002,-0.00016489721629802268,0.0024029249394498906,-0.008744312328167171,-0.007638158279747618
5,2,-0.35807749113157944,-0.29957301677414505,-0.2912972373623169,-0.030669008793590212,-0.004029923223321616,0.0007827645702880981,0.0017840168360840623,-0.02242963527715839,-0.05424151886777711,-0.0038796176402929117,-0.03413754682395003,-0.05991350940263562,-0.0044094938058226825,-0.027365923985365827,-0.02298394006019787,-0.018460689890613176,-0.015852687713593664,-0.01927264866687996,0.008561755144956327,0.0007071164514556552,-0.014861256118208134,-3.82584692850918e-05,-0.0008151571399094256,-0.012587322498729753,0.007980905441855885,-0.00022440627881728135,-0.00016489721629802268,0.0023028724600246977,-0.008744312328167171,-0.00785544776534686
5,4,-0.3567509522376092,-0.2996133654551959,-0.29113284034553866,-0.030801223373001202,-0.004029923223321616,0.0007827645702880981,0.0009578383081310106,-0.02242963527715839,-0.05426013734197933,-0.0038796176402929117,-0.03005954327950854,-0.0495723492073139,-0.009765681022070611,-0.027365923985365827,-0.02298394006019787,-0.018472119749209086,-0.016531785711370404,-0.01927264866687996,0.007652308393171677,-0.001378920680012716,-0.014882505451808865,-3.82584692850918e-05,-0.0008151571399094256,-0.012587322498729753,0.009080337676670137,-0.00022440627881728135,-0.00016489721629802268,0.0024029249394498906,-0.008744312328167171,-0.007630777953227643
5,5,-0.34676220297603944,-0.2987037713251311,-0.27829659522742195,-0.032556938261558296,-0.0029518974655912992,0.0010564531566739626,-0.002519442986503829,-0.02242963527715839,-0.050843032630251424,-0.0038796176402929117,0.0004308012912821684,-0.042001233395148614,-0.009171546912456457,-0.02804635577357249,-0.02298394006019787,-0.018472119749209086,-0.016531785711370404,-0.021483961228841723,0.007652308393171677,-0.016617379648371646,-0.014883782314211579,-1.4370425909553278e-05,-0.0025233748406211275,-0.011983814410870194,0.009080337676670137,-0.00023178660533726002,-0.00016489721629802268,0.0024029249394498906,-0.008744312328167171,-0.011021991942777592
