f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ela_level.mmce_lda_25,ela_level.lda_mda_10,ic.m0,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,ela_level.mmce_lda_50,nbc.nn_nb.mean_ratio,ela_distr.kurtosis,ela_level.qda_mda_50,disp.ratio_mean_02,ela_meta.quad_simple.cond,disp.ratio_median_10,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.mmce_mda_25,disp.ratio_median_02,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_50,disp.diff_median_10,nbc.dist_ratio.coeff_var,disp.diff_mean_02,ela_distr.number_of_peaks
1,5,-0.41611951416543896,-0.19289368657256525,-0.3855947187859258,-0.096345547770705,-0.06399159313040374,-0.037567726033142956,-0.047400907878014126,-0.00926125282442373,-0.02748429002650173,-0.024098530024907062,-0.03227760471121955,0.0012521369157900398,-0.054420143951534106,-0.004636721217047988,0.0035717054213847675,-0.029363844533506784,0.00796608970739242,0.0025669287114459876,0.0033887243852427974,0.002943830828049838,-0.008334383588700275,-0.010541550217513941,-0.005062885990147626,0.005669347222735864,-0.007800923031664749,-0.012331912354062736,0.004385315165949949,0.003937859970601146,3.177441958143081e-05,-0.0014604555019272834
2,5,0.3209343636455377,-0.1712070814605696,-0.5747470086133278,0.03217648728037763,0.5487950097478911,-0.0138767498054251,0.21365250167918082,-0.008837916937627314,-0.004590660939741412,-0.0021676060700893504,-0.004130985308860407,0.0009299922517456024,-0.003069017023675131,-0.0027598166231100636,-0.011056212655924089,-0.015310637319073641,-0.005434876093748481,-0.005344908695908309,-0.007349232728755625,-0.016285744403136355,-0.0038132384680155187,-0.009726821346099727,0.004679827737984136,-0.018412889691842727,-0.024952163002910803,-0.002419742658804808,-0.021411202898417712,-0.006213945213729189,-0.005250323115355527,-0.010106048068656854
3,5,0.44273750430459713,-0.13800741197329697,0.1313473992098266,0.01906181172598677,-0.05209433488353731,-0.0008981023329552983,-0.04325308901568945,-0.03342956796525178,-0.005982050687109058,-0.006900974549990499,0.0016775535191609113,0.0012541822430744503,0.0008455848052826827,-0.008520418127388516,0.0005875808807295976,-0.00011499021918375083,0.01602462559751161,0.007457764734340904,-0.006426237389600682,0.019708524769882774,-0.013601728493832461,-0.0034615701817692587,-0.005049435364107993,0.029504643198915433,-0.008696586468561347,-0.005783853974454809,0.025567415003587328,0.018679764623524584,0.01397851202401186,0.01058220352104957
4,5,0.45254024329625214,-0.13550802092095768,0.1400276043437517,0.024851127934130225,-0.04000510174583913,0.016768991202218708,-0.038177882819535,0.1453141520428035,0.02281577656288453,-0.004622102011169667,0.0033554188042239676,-0.012115068718476498,0.012046262920411676,-0.011289532699322636,-0.024480618966217105,-0.0007739948518986444,-0.017492538221238047,0.005698653964539059,-0.007701919196887551,0.015738089513655233,-0.013714900016103817,-0.004935856063605634,0.0076200079924972726,0.02333971111606435,-0.00933044733642314,-0.004568807075538279,0.014795213173097864,-0.010084168263995719,0.009778526764137374,-0.012801183463443045
5,5,-0.3716487511020089,-0.18240755148429044,-0.3106161166726678,-0.08944668599722931,-0.06057300224794769,-0.03467979794705835,-0.043148502629048444,-0.00703061320785172,-0.0202154364132396,-0.018138747830969696,-0.027507499678329664,0.012718302613145167,-0.047554577492395604,-0.0008832422998763256,0.0023722488143213282,-0.02720863444114723,-0.0062602363824523725,-0.0019066396431761722,-0.003154303908002125,-0.004832192952473066,-0.0036060031415215453,-0.0020191675366877707,-0.0007005323771704979,-0.00836492010176418,-0.0053075318080879974,-0.010550788323667055,-0.006683638565970407,0.001341927857173179,-0.0027270902806264983,-0.0021963281508890512
6,5,0.41523805274820486,-0.15644073192365968,0.09706197242037015,0.022120557955421123,-0.044770155765855184,-0.0022845092785667405,-0.03559964540765339,-0.049105916092537255,-0.020039479192530848,-0.010384010712998767,-0.015735404980043433,0.00831032553656941,-0.017738421178613083,-0.013332609986793385,-0.021659195633640348,-0.005765613163133541,-0.0010126097406745014,-0.01743127678700856,0.008128972822755992,-0.03813828140127049,-0.019046792924635497,-0.00959554626101867,-0.0032888086505743195,-0.04459089317842749,-0.007513937264787257,-0.009523794555216887,-0.041081784611159036,-0.015642521720381438,-0.017627409751384222,-0.006447055900645771
7,5,0.39574727102223284,-0.1606720220407143,0.08227080387343423,0.001605050823585064,-0.064669733783688,-0.021737967493961553,-0.04373803015668075,-0.04980276461266387,-0.02038614807776668,-0.012365009633768638,-0.012766561300711275,-0.008873552150415418,-0.019521875425634334,-0.01431866991592885,-0.023638416981896823,-0.0007420559748985067,0.007544025354370889,-0.01734205700592917,-0.011730927411791516,-0.04604667361542162,-0.01937434891966574,-0.0017480080162229866,-0.004190849849384325,-0.05191190749220453,-0.009481539545498295,-0.010572428846320784,-0.054894058992926605,-0.020907371448528618,-0.02657834039544655,-0.000731355507226313
8,5,0.45777185811205545,-0.13374387791716605,0.13226915804088876,0.025645342701381083,-0.04866324957285788,-0.001338421730105344,-0.03651138797313064,-0.03418464887772787,-0.016062667034206037,-0.004856083915058898,-0.0025067236629541844,0.012893508762842804,0.0009133730878209681,-0.011035394960965979,0.010586282274237897,-0.0017878140688111766,0.014696056294961938,0.008140218349906376,-0.005453534120501998,0.015585648867914253,-0.014223980031160075,-0.00446253949553999,-0.005058980191754529,0.02473451605385131,-0.008961084495398765,-0.007278957121096086,0.022511018127759946,0.011592151522578057,0.010077117451714508,0.008661485560281554
9,5,0.48011587949686413,-0.1266439121715866,0.23679349373982797,0.02976738751791127,-0.03791069147918272,0.016907940856148055,-0.028930825410143222,0.13006508622358898,0.024861602079393835,-0.006866852510605465,0.02250295289130968,-0.0019381488479265755,0.014185440965111913,0.028706269816345248,0.034627785148168236,0.011191982460573293,0.01148141309343685,0.005044524681787629,0.009466113149591645,0.014283577128095937,0.0514430205853135,0.009827157210242956,0.010531378422362469,0.017447390810770024,0.016484902042015432,0.01764128189186388,0.02203562719449292,0.029835715567267846,0.005429975236548893,0.0011507487357156104
10,5,0.5868777300393886,0.35224630197600587,0.12257877056812129,0.01689122878145475,-0.04145298427641631,-0.01751504135772759,-0.028218515183694993,0.1457982457825385,0.022414766726466133,-0.006688219857079119,-0.013088838957253726,0.005646676410420101,-0.020013500688472245,-0.000395442804602274,-0.013952784131509187,0.016545368344618665,0.004192240494324222,-0.01167690154724906,-0.004113343068572638,-0.016473335956294657,0.05083142040173243,-0.007854677143820146,-0.003684447914434841,-0.02380044055147025,0.021461498168876793,-0.006999132940880695,-0.02789590717651335,-0.010010660297578855,-0.011221727890952408,-0.006555135980517976
