f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.s,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,ic.eps.ratio,ela_level.lda_mda_10,ic.m0,nbc.dist_ratio.coeff_var,ela_distr.kurtosis,nbc.nn_nb.mean_ratio,ela_level.mmce_lda_25,ela_level.lda_qda_10,ela_meta.quad_simple.cond,ela_distr.skewness,ela_meta.lin_simple.coef.max,ela_level.mmce_qda_10,ela_level.qda_mda_25,nbc.nn_nb.sd_ratio,ela_level.mmce_lda_50,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_25,ela_meta.quad_simple.adj_r2,ela_level.mmce_qda_50,ic.h.max,ela_meta.lin_simple.coef.max_by_min,ela_level.mmce_lda_10,disp.ratio_mean_02,ela_meta.lin_simple.adj_r2
1,1,-0.45345829720649455,-0.238041046190705,-0.3130830173929083,-0.02406245576812356,-0.06473701544343453,-0.02962950182215987,-0.05943685212303242,-0.03617736144472591,-0.032449656759100144,0.015325771604292679,-0.03489777900813494,0.015752935941454407,-0.002112101860618462,-0.03591371023348152,0.012493605263796531,-0.005798121960609214,-0.0026196719452679486,-0.014609382618648569,-0.002790074738692994,0.005298859080119549,-0.0051501233711959615,-0.015092228186046656,0.019578792683063336,-0.0051602986715027135,-0.008267349560769487,0.0032693826733497864,-0.0054180807010868965,0.00125776742913745,0.010792264696082158,-0.015704786220922674
2,1,0.3323670558190899,-0.20638962639422195,-0.6151751853249403,-0.014305204474074346,-0.03842149201254154,0.19043724492005085,-0.0305942884805027,0.05286171785682466,-0.013660979163034645,-0.010621815716139836,-0.03280664540578507,-0.012435293980219945,-0.005636900638771335,-0.018457461666264247,-0.03827009820415656,-0.020198940619641753,0.001033841009548507,-0.007684493966973784,0.0016546940682796766,-0.00470812939296244,-0.002006482256013685,-0.0025577278121882135,-0.010060858306885691,-0.0019472299686423458,0.0001266486765900832,-0.0032420985752171774,-0.011264502909599424,-0.0018891235624976777,-0.02464870649753468,-0.015126724737964399
3,1,0.47416479881654366,-0.18747172413475965,0.11761768030490456,-0.012999357040273572,-0.015169559978235688,-0.03374322943422111,-0.012142847502325377,-0.018916533047970897,0.004071145669992243,-0.017809314953096518,-0.002305422363315662,-0.023328430880389498,-0.004167856093450197,-0.009745055714043235,-0.0015119548494711274,-0.012523994087067721,-0.0008594433120200484,0.0015456873370496664,0.007211434835421529,-0.003582839247156595,-0.00685470014540161,-0.002319674407325695,0.003200958591307091,-0.01403632510750201,-0.005390584478476042,0.0011316606994909658,0.011542327380089465,-0.0006949666688694808,0.050511195726210656,-0.0035472632663256847
4,1,0.4448146135051117,-0.16324254205722422,0.12692400667251102,-0.007783101932224975,0.015358004240048122,-0.02689499863880494,-0.012473151157300463,0.02218793021138394,0.005642131168784259,-0.018919761555056765,7.296042032997499e-05,-0.028861277704972214,0.022233843148416168,0.015602051233555968,-0.023226446465442214,0.004048061832292003,0.0015151830609625705,0.00848062161764367,0.005213944120889859,0.009529312257132204,-0.006041474523174516,-0.0016236758343108767,0.0034702467772790733,0.006802797469589791,0.020060445475234348,0.003364423850814008,-0.016331794264089233,0.009019608684085613,0.01816969960107435,-0.00475250547830306
5,1,-0.40975119592219966,-0.2447593690030287,-0.260353175655894,-0.02427690447144247,-0.06771929208605097,-0.027686823677108858,-0.04033001182029262,-0.0403889765177143,-0.023977949265421503,0.0009463927267079581,-0.03695589941611973,0.0010734468405801216,-0.0036776662513312657,-0.03756145498134138,-0.0020454364695206475,-0.0028464317238338466,-0.0022692324025476293,-0.014081238137609316,0.006906626480848202,0.0013516658549910052,-0.0007819982596406611,-0.009456420253485004,-0.017786689076367556,-0.005416262162788111,-0.003878066304373562,0.0035813350103751436,0.0033190712774256287,0.003954255029375773,-0.0077993090412077914,-0.011960531916119222
6,1,0.45453794822526883,-0.20476572191333603,0.0924011412418045,-0.008768440836729058,-0.010287655919044028,-0.024109617431448207,-0.012434840289613072,-0.022826011208220566,-0.0380207453594758,-0.019347539353019534,-0.0014683843417467798,-0.023478764186892643,-0.019893490575336962,-0.010633396402544898,0.010824495517380203,-0.011176240950281057,-0.0016109006420526597,-0.003544489012782082,0.005159548539844299,-0.022676609859884764,-0.008334418976841276,-0.01595626086996466,-0.013290645622211949,-0.0016217790159115627,-0.007688763164968864,-0.0019950535432560652,0.004218676788015126,0.004284507771664942,-0.06736732146602155,-0.01920608253991626
7,1,0.37830093811792104,-0.21412074772426706,-0.07586486015786369,-0.011813064246700469,-0.03734403839627102,-0.02407860665757963,-0.014860842832274004,-0.020623893246604737,-0.04154753360986908,-0.017548781108629792,-0.0010872010600334807,-0.016127127205773095,-0.0132202832994734,-0.026094162873071272,0.008438024051257355,-0.011589393835894576,-0.00225711620733089,-0.004042407556119919,-0.012378401053801532,-0.018412960783050113,-0.014919230561387449,-0.016935883188304197,-0.01334977826234475,0.008503323407152832,-0.008670585256868273,-0.0001994191264178563,-0.007732857735017576,-0.03242226669147189,-0.05341362685585411,-0.015946865213060057
8,1,0.4914995197066264,-0.1607048809959309,0.12417820690728378,-0.006384249906832402,-0.013942890991200085,-0.021636257879298508,-0.00975883142684227,-0.014916369546684743,0.004355442901970322,-0.01307510381370761,-0.0010973288883454407,-0.010367204052031112,-0.004968327334254924,-0.0072388614964701906,-0.02189340991720599,-0.011111236233470441,-0.0012737747768533276,0.0010317255628356711,0.005907397763391659,0.015476978048528694,-0.007049833554750826,-0.007829476781159939,0.003269722947504968,-0.008053708464218852,-0.006645544273824283,0.0005128538782714467,0.010933322683086314,0.009005537501620232,0.04268491799698511,-0.004884824954125373
9,1,0.49410012948278476,-0.16816208277913516,0.20500178955476642,-0.006178356942503093,0.021327616376072635,-0.020555033128571834,-0.0062100705797517135,0.02227356199779928,0.01155683245404575,0.08046717103531618,0.008481920037339106,0.07662508637041392,0.025539385756904155,0.016375577910309896,0.012434071466048758,0.02028833724077918,0.0015481193789276737,0.011638738812947214,0.007716508184765526,0.020419284942773498,0.0361207847120216,0.021262555033427326,0.03264046515177867,0.003064332925706692,0.019021818134252653,0.005348581811544731,0.00575081038838707,0.0077889779447216515,0.03466588339028836,0.025272672084401752
10,1,0.4462212655097922,1.7612298355226392,0.013339712590452024,0.19526486593537346,-0.029747523054348815,0.1752817421051262,0.26840925482216876,-0.013378583177842547,-0.0037665471763966723,-0.00578273003874441,-0.04904667563934865,-0.009847111063899978,-0.004824249134137104,-0.015488936127150603,0.038357605675604645,-0.04373553321307128,-0.01093358443020613,-0.010848524588564565,0.0062159006709012555,0.0067861083081115344,-0.0025136623268297424,-0.008342597955843325,-0.017165418344140794,-0.013285649490859114,-0.02135301043763721,-0.01468928147727844,0.002882696895284775,-0.01656727570179636,-0.008721608451431143,-0.012245266763952985
