f_id,i_id,ic.eps.max,ela_meta.lin_simple.coef.min,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_level.qda_mda_10,ela_meta.lin_simple.intercept,nbc.nn_nb.mean_ratio,ic.m0,ic.eps.s,ela_level.lda_mda_10,ela_level.lda_qda_10,ela_distr.kurtosis,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_25,ela_level.mmce_qda_25,ela_meta.lin_simple.adj_r2,disp.ratio_mean_02,ela_level.mmce_lda_50,disp.diff_median_02,ela_meta.quad_simple.adj_r2,ela_level.lda_qda_50,pca.expl_var_PC1.cor_init,ela_level.mmce_qda_10,ela_distr.skewness,ela_level.qda_mda_50,disp.ratio_median_02,ela_meta.lin_simple.coef.max_by_min,disp.diff_mean_10,ic.h.max,ela_meta.lin_w_interact.adj_r2
1,1,-0.4397738276477366,-0.2607120086542196,-0.2918344476511864,-0.10779262648130387,-0.06967448375001227,-0.02888645313038518,0.020543749715524685,-0.04200870452191642,-0.015409005639398227,-0.019478552476144207,-0.04225532918035676,-0.029219404256331457,0.016060978510302318,-0.0014800186655105903,-0.0016893654916626136,-0.00932871983596274,0.017721450349260794,-0.005035292116528051,0.001628705054550989,-0.009556964508278067,-0.003330145373500263,-0.006066056955951685,-0.00863798997852443,-0.007625932078854833,0.005994726642649853,0.016094311630568417,-0.006208867514068456,0.0002482038609047328,0.00586221534803172,-0.003916103111911999
1,3,-0.4388126545158986,-0.2719467236594149,-0.2851674491366618,-0.10656522885222376,-0.0717914938957951,-0.02968370304104636,0.013495113678000863,-0.03581505687791086,-0.014425435645686754,-0.02895688253310951,-0.04237514004265242,-0.027879102487038492,0.012602767648722325,-0.00819282048052983,-0.027320031748759598,-0.02768553930249578,0.016717837480922215,-0.013442467661898178,0.002260629547988853,-0.009210904502877705,-0.004050114118680176,-0.005952773729274611,-0.021519578046477493,-0.007809485444592761,0.004927183462845956,0.01180631263546099,-0.006763710854250033,0.0006289709398246157,0.005427738792899245,-0.010880991039151449
1,4,-0.4431626399497518,-0.27189000436279553,-0.2889987141936735,-0.10696618726566995,-0.07157072897165889,-0.02961729257676952,0.020508405454431326,-0.03716129039259114,-0.015934189806952243,-0.02777010151789004,-0.04257113195139928,-0.02796476337989902,0.01318611521329594,-0.006295698043855221,-0.025074458311420862,-0.02645254295410533,0.01795224688325648,-0.013902716731364109,0.001771003742878285,-0.009470371364427023,-0.0033410455631293703,-0.0060648049817609954,-0.021328552290484838,-0.007577985100999991,0.004858011027236541,0.01182735364085992,-0.00639145909233323,0.0003685168971391757,0.005454438508438525,-0.01102079977366619
1,5,-0.4417593846684786,-0.27272113563901834,-0.2903060159929221,-0.10580787631348443,-0.07280673423048611,-0.029362922048914563,0.020114582903799208,-0.040667397724262346,-0.01596854414630593,-0.028177450643348503,-0.04281055922032399,-0.025030180800639686,0.013177109556413985,-0.006328977646075733,-0.025193483834511105,-0.027028860561289572,0.014926076169149797,-0.01378573678481066,0.0017958410384780648,-0.009554132846808465,-0.003180090383225586,-0.006006486726422693,-0.021211409178721736,-0.00753969696898502,0.0046040143810518715,0.011994949323374592,0.0014257247075082527,0.00035120667642926054,0.005572077740879073,-0.011627443599334769
2,1,0.309012007421328,-0.2397702944013501,-0.6130288253631367,0.03404559249314725,-0.06084789776283385,0.0641663203656626,-0.021302955712148398,-0.010500192081932272,-0.0028324558474535546,0.027241297247301784,-0.012392670194102584,-0.023473173016728216,-0.014416642187226453,-0.005045856843449706,-0.014267237507671587,-0.02778166973894611,-0.01525881676968846,-0.020356003702211484,-0.009178937189267466,-0.011788916902721346,-0.00218311322197217,-0.004506296167130717,-0.007845391577982214,-0.021469372131611122,-0.006847191058642398,-0.017892949030887204,-0.011754472284970799,-0.014629897833860993,0.0010508006817135632,-0.014036018592344159
2,3,0.36302328002486844,-0.24157069569579492,-0.4909296078260046,0.057626092844038745,-0.048580330220338204,0.06374611597538551,-0.01802801304778838,-0.012167581364206802,0.0551494191773956,-0.021781962938398323,-0.007788392796391473,-0.017242762238145668,-0.011521094334431103,-0.0054655408346650485,-0.002469230311337122,-0.0044724868024483295,-0.01494390075833355,-0.008348109402141502,-0.0053285329643315005,-0.009131811145751647,-0.011578032160221043,0.0034861928876747587,-0.0010290427579658997,-0.02124247819750028,-0.004107489338989525,-0.013426213615644054,-0.006395012976297247,-0.008222868768385625,0.006732083916138569,0.015773313333989566
2,4,0.3453610285369507,-0.24306433730584853,-0.601121245927417,0.0372005093786624,-0.06025870010060886,0.0425300875205854,-0.02700978470170938,-0.007496717785576479,-0.0041667025776198135,-0.032081473527470816,-0.013739539419248608,-0.026350230775148732,-0.016967001585876978,0.01725761481335044,-0.01480527004756258,-0.00013476994932246804,-0.02091234512643325,0.0028523353497279013,-0.0057808697666924804,-0.01429047508175949,0.003980410401063359,-0.002742275840945128,-0.009596791499388947,-0.00971316072961941,-0.0029116353871724648,-0.020746983319930322,-0.011713814011033684,-0.012195928184783943,-0.0024297042154690454,-0.01712715008280573
2,5,0.3434292389115147,-0.2466526584959983,-0.566207334843826,0.04519882681684051,-0.053238703275541165,0.061276360203708295,-0.022299566045610106,-0.021052415926290535,0.11486317767504171,-0.018556718845678697,-0.00807128379723443,-0.01923663688340469,-0.013789883757502314,-0.004934251999662146,-0.006808353661554267,-0.015610118215212064,-0.015974173614154215,-0.014113261850128856,-0.007689159075244046,-0.008782664118608546,-0.013776119556793701,-0.0038152105523122826,-0.006196700259466752,-0.022695538187255986,-0.0035906644029716325,-0.014221830517299788,-0.010552116585406937,-0.011271005856710365,0.0016218010145557882,-0.007896300765553624
3,1,0.3505481748422858,-0.21288031450835415,0.09972231340043333,0.06372370670408167,-0.0015832087559288022,-0.032404438442320375,-0.03295678404363186,-0.001642657886928382,-0.0031443114910415055,-0.0213491820439008,-0.011594676422924374,-0.0015991554485110828,-0.022421453449748933,-0.0077439202432408386,0.0030643417831470593,-0.00265579530770862,0.02201059711856129,3.859085849881457e-05,0.012873505169683077,-0.012974398508452695,-0.01014502098877263,-0.0033087919528279604,-0.0030469641396978333,-0.015834910991318146,-0.008241261607886767,0.024232187848110542,-0.0005594085525521831,0.013766653090482004,-0.0003745619305545487,-0.0033422686711733155
3,3,0.382850632172878,-0.22323752045489262,0.09781754153491373,0.07843722893080593,-0.002720614991173516,-0.022257354533739386,-0.03679087866618774,-0.026033420483305595,0.001313163411644521,-0.021883315201679854,-0.008194989246111912,-0.0035011320866962423,-0.01998620710069023,-0.0093609073488526,-0.015689760717791882,-0.019417207768355586,-0.005172543974164494,-0.014861071030533355,-0.008337617115962224,-0.011058858774412636,-0.0060830300919832575,-0.004782987077215523,-0.007034839782091606,-0.01035066775098208,-0.005077185261890177,-0.008092498531821164,-0.010731580053353163,0.011905401031934293,0.0030879570317856237,-0.0009735825625632465
