f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ic.eps.ratio,ela_meta.lin_simple.intercept,ela_level.mmce_lda_50,ela_level.lda_qda_10,pca.expl_var_PC1.cor_init,ela_level.qda_mda_10,ela_level.lda_qda_50,nbc.nn_nb.mean_ratio,ic.m0,nbc.nn_nb.sd_ratio,ic.eps.s,ela_distr.kurtosis,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_10,ela_meta.lin_simple.adj_r2,ela_level.qda_mda_50,nbc.dist_ratio.coeff_var,ela_level.mmce_lda_25,ela_level.mmce_qda_10,ela_level.mmce_lda_10,ic.h.max,ela_meta.lin_w_interact.adj_r2,nbc.nn_nb.cor,ela_level.mmce_qda_25,ela_meta.quad_simple.cond,disp.diff_mean_02,disp.ratio_mean_10
1,4,-0.3099576553143829,-0.4447426743121039,-0.3236660337426843,-0.033208262100398324,-0.01983434196311956,-0.013466589561665932,-0.07407706953144526,-0.018684499667938722,-0.04431827953045813,-0.003218445912937915,0.016017924676846214,-0.044265194722259274,0.003852307305152983,-0.020159619365718986,-0.024654064595202578,-0.00535496124192002,-0.03707985926281777,-0.016640183621938844,0.003841752140955285,0.004793017587470289,-0.005579993199749307,-0.005368670723699606,0.0022539511273122967,0.0038644637797757495,-0.019601502068443584,0.0019124634856411337,-0.020045088930777197,0.004317621576900687,0.002669545038034982,0.0067061111714231975
2,4,-0.268270599860557,0.4033919892914899,-0.516486871350516,0.055123863750231934,0.06533283102277963,0.005668479148783813,-0.02300059968533512,-0.010220023637896836,-0.009843505412534573,0.01928277534544724,-0.018053843857115778,-0.005629776077558963,-0.011828240706360715,-0.015806997544156744,-0.013429566780298208,-0.009002057813147793,-0.0034074708259785955,-0.002885818292011787,-0.004080192161057006,-0.007096129170751805,0.014839763219938525,-0.0014607327087887204,0.0024788897772233796,-0.0011311071527369055,-0.006394444142447814,-0.003772779311752279,-0.0061902688634801655,-0.01532317574759558,-0.011108058090446411,-0.03312382732655641
3,4,-0.2472521510113356,0.48701443305375425,0.1212747524071361,0.01409925626475859,-0.022701283136184823,-0.03209910832425489,-0.02330094732390161,-0.01738084169281989,-0.011998787847589822,-0.011361836855220894,-0.029611598939670625,-0.006979091617086425,0.011672973334160196,-0.018095586867692054,-0.0024458364089110516,-0.019640476141193394,-0.016145964943728476,-0.010560391161070631,-0.006547249800485625,-0.010457174047956092,-0.004997350421466015,-0.001810998778640306,0.00835569715811154,0.001776100613998899,-0.005500794472798691,-0.001784974299653739,-0.003433940850279464,-0.0034133021662598336,0.012992162497039304,0.039689008150733326
4,4,-0.23890822660417166,0.4277566447023708,0.12377816525799189,0.015016681707210204,-0.01320571920937967,-0.025585899564822837,0.000382507399329404,-0.01708355915645568,0.0032949298477594987,-0.011686747244286502,-0.029369090746861667,-0.0010823094277629302,0.006624501272173891,-0.012580886301248505,-0.0035833236981752115,-0.01967205284169704,0.008241593976054229,-0.01025805631002022,-0.007439799850126498,-0.011786855696780037,-0.0028169351503388555,0.0023996179744256666,0.0009679770506087552,0.003809340063738647,-0.0052424073241582984,-0.0011629460687961096,0.0035904027758153685,-0.014855450977451631,0.01267176589628395,0.037381590801738224
5,4,-0.300049608994052,-0.38509859945718294,-0.26689618242597674,-0.02767690309789305,-0.01911299374214349,-0.006044104831223665,-0.05865127221826424,-0.012073688664382557,-0.036527231350773064,-0.005656493489606785,-0.002145689884166339,-0.03493189053176729,-0.0014858824066042544,-0.01659387241352856,-0.022662456067277407,0.005132164820899662,-0.02571184632334178,-0.009052147740549394,-0.006026076033072985,0.004804463135125393,-0.002310670120141983,-0.002245631517383248,0.003910538733705392,0.0025701550436912904,-0.010248154994613583,-0.0017910599384075383,-0.017751361065876388,-0.0001706035049427813,-0.0054553315684774,-0.011368218596651769
6,4,-0.24970860697807487,0.4789809289952813,0.09863555248397475,0.018247178804559266,-0.012229385716415193,-0.031342168340232276,-0.02248516259177816,-0.018614022875902136,-0.007906048588996465,-0.016371566256237927,-0.02828030425432088,-0.02045062293026944,-0.02207012351624718,-0.015144815503387872,-0.010091970795705557,0.00761575535071848,-0.014019355148121294,-0.01818080645475236,0.00422076171705594,-0.013026218476576522,-0.01105001485185841,-0.0011787498279058905,0.005462111137189744,-0.0013216007419395268,-0.007149579219761265,-0.012946865378106472,-0.008239855593303471,0.006158615869817194,-0.03730907672509023,-0.05379012284710239
7,4,-0.2510241769239046,0.481904258748219,0.11867109032604106,0.009187051220171188,-0.02403643478070104,-0.003315387104417727,-0.02396521407327647,-0.016124365971991683,-0.010639099333797239,0.039745601088826354,-0.028769475011996903,-0.029024237710439976,0.012882871615530839,-0.01705688317445509,-0.003392383719896832,-0.003573037088446419,-0.018999588585237537,-0.008175652533644948,0.006006612931213871,-0.012384351087906472,-0.00948998035736414,-0.0012287351292794653,0.010622813362164302,-0.0013924315269967496,-0.011876230985130805,0.0041553927033613144,-0.008406434767726812,0.0077767165730080546,-0.038950418690853805,-0.05496119636442097
8,4,-0.23678973686165455,0.48539135099127934,0.13397830036853886,0.018906079534320303,-0.014603303754706263,0.002470219774652004,-0.008408938159616682,-0.014294648924803012,-0.0025847426973950897,-0.01136262948455684,0.008643669429209432,0.00027368960956008614,0.013545023226036393,-0.013863239819081602,-0.001776366682993722,-0.011776528762524656,-0.013613816161202302,-0.009381268154388524,0.004776946157811388,-0.007804161518646802,-0.0037621338987068667,-0.0021011084719207286,0.010424325961952356,-0.0028181439605574595,-0.0018418395382631594,0.014661463660638247,0.0026442592789198555,-0.009108703470708315,0.01841977462479346,0.03184906923820308
9,4,-0.21637398516079015,0.48657518029415525,0.21582976094673245,0.019810634535976725,-0.013312925603092347,0.059616033690535496,0.019541084178537386,0.03268468004931339,0.007109541924704569,0.039566720025979746,0.08101146497212504,0.001293285443343259,0.009177662755117885,-0.013188470121118012,0.005858797255798522,0.006518537712585845,0.009926462979682435,0.03632692760793716,0.0008122165527713595,0.044195471507679406,0.025712291595123688,0.0010386602035577024,0.00965579541920566,0.0006648212490044871,-0.0053941841495524535,0.006264882522731725,0.015899622169106425,0.009766865268227733,0.00748653242332097,0.019689048541878855
10,4,2.281777979045961,0.3631576413275881,0.03680305932179892,0.0460757094837307,0.15058214387063856,-0.030521764277568135,-0.01808378965857002,-0.010075683633455765,-0.008383203184871435,-0.010304509480980616,-0.008761390281081291,-0.005189852557426818,-0.013101605111828044,0.140042439231865,-0.014863420719217263,-0.006448662844535563,-0.006083714405727679,-0.013722092713406749,0.004423306064965183,0.004941938726153928,0.008599731300214486,-0.0028277365393939943,0.003811281179578792,-0.006355100619135614,-0.014403813755884549,-0.009919612147923054,-0.038444335731845164,0.0034695551140164352,-0.010290083795502915,-0.023865972397798654
11,4,1.9042575904028645,0.2595004107540569,0.049412816736150826,0.044993984640174074,0.09957858705676181,-0.03253464741195496,-0.01969668524500688,-0.011908238482924272,-0.006218603227786281,-0.008787981257831107,-0.061182465601031945,-0.03219390626877246,-0.031493168251848155,0.026005867626219474,-0.012085391395972402,-0.008187775933887653,-0.014041455574212675,-0.010274848835863524,0.00871633151435426,-0.05022864975649998,-0.03761922526498109,-0.002949506670161957,0.0007308512337973778,-0.0016598889958091062,-0.011235539192356158,-0.00966095238395756,-0.01701295731222021,-0.038094961092683434,-0.051082204202920395,-0.08300294202214471
12,4,2.6112425736662135,0.3417354735039774,0.09746914919097026,0.051622596461904285,0.15892640964451238,-0.01115651698593309,-0.008299212407248523,0.006135118877024847,-0.0061382415523034885,-0.0051433239011230555,-0.00013903454325419766,-0.005049776241981121,-0.004056266857987559,0.18356689790317807,0.032400248037042584,0.006539404133598334,-0.005337947708072009,0.005583649705581379,0.005540671372991601,0.006977312817540896,0.01201771110222852,0.00034048693665985225,0.004400713579500167,0.008027398989137726,0.015503578154748978,-0.00297581781542269,0.004323066276855117,0.008755296401980707,0.012429351513193394,0.03349619561934851
13,4,-0.23930662654043194,0.5512546325927905,0.13515419471981507,0.01718331336044588,-0.014708886477115003,0.00021459756774537238,-0.02408467058946204,-0.01391803635817769,-0.009208406763295136,0.011602069069085978,0.01839873485051836,-0.021827080992208637,0.01946818298015527,-0.014102744641694295,-0.012200948138992296,-0.017149606204980797,-0.015217814419865049,-0.008792445402125456,0.0033994066074021488,-0.008990617264087425,-0.004299344875786236,-0.001963546503392803,0.009933866091232356,0.002191482586441063,-0.0075655983683456845,0.015773679493205413,-0.0052899256894452205,0.007183037863914077,0.019563645315083047,0.0329674857803598
