f_id,i_id,pca.expl_var.cor_init,ic.eps.ratio,ela_level.lda_qda_10,ic.eps.s,ela_meta.quad_simple.cond,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_mda_25,ela_level.lda_qda_50,ela_level.qda_mda_50,ela_level.mmce_lda_10,ela_level.qda_mda_10,ela_level.mmce_mda_10,ela_distr.skewness,pca.expl_var_PC1.cor_x,pca.expl_var.cov_init,ela_level.lda_mda_50,ela_level.lda_qda_25,ela_level.lda_mda_10,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,disp.diff_mean_25,disp.ratio_median_25,ela_distr.kurtosis,disp.diff_mean_02,disp.diff_median_25,disp.ratio_mean_25,disp.diff_mean_10,ic.eps.max,ela_meta.quad_simple.adj_r2,disp.ratio_mean_05
1,1,-0.293519311311579,-0.07068404576138498,-0.035744569750207345,-0.08316612560370945,0.01665448525323182,-0.0068443459351008595,-0.0033185378040054836,-0.006845934804488474,-0.028802890717601504,0.02906927727713554,-0.020152897313742535,0.009685753963895094,-0.029358673407749614,-0.008742996762013344,0.002413286579775742,0.028524510228896738,-0.0035740887150381706,-0.05545312575402589,-0.09422723587648696,-0.04283498657138657,-0.016457882544689717,-0.010029279550513803,0.0001717919509627297,-0.03417992954086069,-0.018578832480125262,-0.015964048519361868,-0.025309551940804254,0.0056182488597738,-0.03385391270058974,-0.030905854483114226
2,1,-0.0536822279080737,-0.005134715881759067,-0.03891520650657404,-0.008976068314497043,-0.30597457292164226,-0.1868997639736188,-0.0055918250488884436,-0.015465305170087318,0.01146646824112818,0.008945281299603036,-0.025907388404078024,-0.004467451685424173,-0.009004844352639707,-0.06759845690804106,-0.0007931558771109293,0.02571937625654408,0.0040952863794236904,-0.012148643049839924,-0.01132210298002867,-0.010677858524514472,-0.02059579914409354,-0.02573955687692031,-0.012022734368766164,-0.022067115603801146,-0.015739488879572217,-0.022864731147585915,-0.02181704370401588,0.0,-0.004692990559373,-0.018539067764108297
3,1,0.12536109291986808,-0.011150793418340188,-0.031183727774662218,-0.01823987832232321,0.019020041099488794,0.0030129357415829006,-0.0015163977394044292,-0.012235333390171882,0.018990227388685915,0.0063103640851606135,0.0,0.004254578432408868,-0.02107630282974729,0.009466835105709281,-0.00019369035000527113,0.014867300537056927,-0.007489954420552891,0.022429604618314503,0.03602918297066415,-0.029443086062095114,0.057524036701895764,0.044385343801127214,-0.011970139486908837,-0.010334745665438988,0.047010917270977226,0.060055384402786904,0.03293074274138974,0.0012691494285942961,0.014350509143901902,0.01861418929813502
4,1,0.08317346972964848,0.009016408825000127,-0.05474182967752533,0.0016897179651137462,0.014615418818949233,0.059136392412948546,-0.008907682917922127,-0.005910754107677774,0.04388847413996927,0.018915602060017078,-0.025436547881481003,0.010302526423007607,-0.009863837238980822,0.0,0.005153346864672781,0.010752465710751363,0.006377289483131793,-0.07210479964877811,0.1163752978896967,-0.05390083910498239,0.041983084857948105,0.03251316329211504,0.0,0.014153465422780148,0.04559358485292181,0.05069132416995478,0.03279390594332307,0.009385329960970329,0.047273069512696914,0.005320697336060776
5,1,-0.05092455868797141,-0.03949099403385248,-0.027358747854424825,-0.05141907620374597,0.015714718895001034,-0.0021468073381195607,-0.027915861906473993,-0.029159201966394432,-0.009199136946678843,-0.22556833936308596,-0.010266649238903747,-0.16305809347518252,-0.012588945959571496,0.02040581665845742,-0.004547026953168998,0.026239138379382743,-0.025084332035839596,0.0,-8.050712741020094e-05,-0.029632617549950335,-0.02329585744335627,-0.030704165846072495,-0.015240643575553436,-0.03223325999001486,-0.027448277894427386,-0.034879107068391146,-0.03308515613179358,0.0,-0.00697072038363078,-0.02241870145944591
6,1,-0.06961404887928,-0.0024509305212200294,-0.07890311540224357,0.004943367363775486,0.02093800905565954,0.003927516288667471,-0.008307356074110539,-0.01379811103119194,0.013518752967321634,-0.048644554442244636,-0.023410655502223043,-0.035041256609417315,-0.029799336145495348,0.0126505922020696,-0.012129532169270762,0.03033807273542466,0.0,0.014223226975336789,-0.029566367091881374,-0.023568670665624403,-0.01576230475541579,-0.02008793506697165,-0.013365914307857163,-0.027405890588696247,-0.03190610506133057,-0.025717499684085876,-0.03743130237392933,-0.0068747255628267,-0.004651630490691644,-0.013948530484517219
7,1,-0.007502086008458558,-0.059602074976901676,-0.05137999163956114,-0.062484434567622926,0.010129690603068897,0.004242992672927215,0.003788363576403886,-0.010287011411349856,0.011940993953852785,0.010035706844704922,-0.0029299198180088304,0.018243669524110107,-0.01950872363004305,-0.03334411762036757,0.0,0.020622813618848657,0.0,0.0,-0.01783230925197854,-0.022173871264575373,-0.03652465294921328,-0.04969925354771265,-0.015692749983632792,-0.023324225344909466,-0.04567099329933644,-0.03630491786789353,-0.03167896971817119,0.0,-0.008645248508823644,-0.03228476096399541
8,1,0.08180790386567988,-0.040124506953509935,-0.05961023901482112,-0.026006837067381543,0.015581870709842197,0.003056487916219871,-0.01657765462007564,-0.013199596432953577,0.009535030096022676,0.0317470612053717,-0.009084812895300776,0.028995852846899952,-0.02396815057721545,-0.007120260367655826,0.005946782833955874,0.018881929195682608,-0.002374760309936351,-0.014712040340010602,0.04195511277766886,-0.061191279081516975,0.007091054284968694,0.0,-0.006905463409127566,0.0,0.005100433563541243,0.006269983010983034,-0.003827131349908093,0.007000635734153177,-0.0432758823537902,-0.013030915521483374
9,1,0.09349011693780937,0.05259973774638702,-0.05257154253601544,0.04635791019331156,0.015163804045870352,0.009940540807327224,-0.014451549454809878,-0.018112682573706088,0.036962830832809344,0.020691665041574353,-0.027804960827229316,0.006207136600346094,-0.03371797658802213,0.0019080208355703523,0.009317132487309962,0.012748976303625217,-0.004167616461081668,-0.0486689939406607,0.012902672518369504,-0.07558737009032042,0.005720516268134156,0.005567863992735941,0.0,0.0,0.002829411556200076,0.009067038955898304,0.00482229610686731,0.003688153604344633,-0.0029564861144277116,0.0
10,1,0.026865630468587032,0.43352527153488163,0.8956961643863666,0.38370876260888087,0.0,0.059131740922705234,0.0,0.01488679724169173,0.02168481289997426,0.11161261488983332,0.21757742000190694,0.03595474345323946,0.022575401552746843,0.04065702676009475,0.0241231785554481,0.021324998256090355,0.0,0.09328409279182148,0.04947042256148926,0.04425987776287177,0.07368210349145055,0.09106402785887657,0.0,0.10793755103743474,0.06591384718421356,0.0948512282831746,0.09968928561792678,0.012277829605698232,0.01730692419286095,0.054414013832289054
