f_id,i_id,pca.expl_var.cor_init,ela_level.lda_qda_10,ic.eps.ratio,ic.eps.s,ela_meta.quad_simple.cond,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,pca.expl_var.cov_init,ela_level.lda_mda_25,ela_level.lda_qda_50,disp.diff_mean_25,nbc.nb_fitness.cor,ic.h.max,disp.ratio_mean_25,ela_level.lda_qda_25,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_init,ela_level.lda_mda_50,disp.diff_mean_10,disp.ratio_mean_10,disp.diff_median_25,disp.ratio_median_25,ela_level.mmce_lda_25,ela_level.lda_mda_10
1,3,-0.1512309839715935,-0.01969266597418945,-0.08743828826047612,-0.07991060912074843,0.032252203273036156,-0.019816508529202692,-0.012436632395901759,-0.04280999357075255,0.026871052752638236,0.00011978381631516655,0.015555015729431632,-0.08144168227536225,-0.057023327617273856,-0.002510625860109472,-0.02582143010635346,-0.002845586977921477,-0.03539898783698919,-0.016633236301010934,0.010926335882645799,-0.02466232017929898,-0.019101026224872364,-0.040977639349912,-0.010512625980925283,0.0,-0.03780483441977289,-0.032905239135625375,-0.019303441548429,-0.03360567268460357,-0.013449152863718727,0.0
2,3,0.04044320112904892,0.2858965504423672,0.14330324153918506,0.076072738472994,-0.5263124879224933,0.047360379367393346,0.08197121924032363,0.014440336708770873,-0.07008159153775406,0.0,-1.0359180696323287,-0.045438417828784106,0.006571763282531118,-0.043298830437785596,-0.026746257704084286,0.03959329206538875,0.01666817217921346,-0.016981316189329743,0.06518742923457271,-0.01294841454454726,-0.030005228891297142,0.012677920122981856,0.017976889178476285,0.0,-0.0336357989192102,-0.010154367578810108,0.04714984023101776,0.02354085213209839,0.08927995623518414,0.06177887962031603
3,3,-0.0721676442623107,-0.03307408066533124,-0.052259610797707134,-0.057930596906116516,0.023186320715596564,-0.09834587926919869,-0.023417143871755086,-0.0938069913688625,-0.04896446812335953,-0.007753580504759883,0.05719281773780349,-0.015204143636232681,-0.017381201195656865,0.004830274029605841,-0.01856460011792438,0.0,-0.013490688292561726,-0.02394865517478284,-0.05056860024085719,-0.014687230814898478,-0.01988104551641262,0.013192496276498988,-0.0014978488109227417,0.0,-0.024221627724668682,-0.025280890470027573,-0.02284564639078157,-0.019754793913305313,-0.011298439706109942,-0.031191894645551943
4,3,-0.15847239009701686,-0.004321451626220885,-0.009157015386767074,-0.009917545489380668,0.025848923446185834,0.014117543822727494,0.005088659414879904,0.016629207730623194,0.0022427837272968945,0.019273635068093126,0.13869400885961378,0.029419294317643632,0.031065974727597978,0.003662557328029628,-0.007479625862054473,-0.014854956025250998,0.0,-0.014641855381250846,0.027392377690274167,0.009825701770285883,0.0054532245373176,-0.00426564766739454,0.0,-0.004381188125709104,-0.004869736320945603,0.000523592125094785,-0.0024777409041949264,0.0,0.003265347143320864,-0.0032302215079683116
5,3,-0.030176730881824154,-0.009079720486630888,-0.04931842614442744,-0.06227424719681873,0.011462163110235846,-0.125093457539876,-0.011205936602658118,-0.1705457508451068,-0.03111581713161038,-0.005375273351490406,0.02411216150591211,0.009199157718587203,-0.008402065316845897,-0.004706442256167287,-0.035137832038772465,-0.006891857654793443,-0.02729506436223378,-0.018222495563034846,-0.01276830398089035,-0.017068522055041613,-0.042364591255494244,-0.0017048531583736537,-0.012401600176514871,0.008591936657350863,-0.02913382046306412,-0.028736764000553305,-0.016656510595698615,-0.016589547011286454,-0.03984586350102043,-0.019368381513737765
6,3,-0.07465517250491654,-0.0488475238840429,-0.04174360591298282,-0.038548638650700906,0.02531981904750852,-0.035783245524343865,-0.034897060357487575,-0.037513176291752104,-0.03589994769602356,-0.004201306067659394,0.023695948657755206,-0.03350767336974647,-0.028269972308573088,0.010627240379074976,-0.016514465788974086,0.006234265513871018,-0.024227139451255625,-0.014533945427791267,-0.02978818865003069,-0.022291491526451546,-0.03322091226906587,0.0,-0.0015286199868859152,0.0,-0.032916654007495216,-0.03579666890529026,-0.018172104955043095,-0.023166716463683096,0.0,-0.022886026040733864
7,3,0.038946303934362936,-0.029241563955422545,-0.07268586075782463,-0.06666618648817435,0.019304213334441822,0.0062260378307382735,-0.005766491912646443,0.010379611109852416,0.04632735719587677,-0.007334544199777776,0.0471039118449236,-0.028045396622419644,-0.026972226198720195,-0.010097924605522612,-0.026794786888976407,-0.009563168212996354,-0.04339208300378755,-0.01694256681497619,-0.015450095642967565,-0.04053770833018033,-0.05345214205642454,-0.013381742939551022,-0.012868203322642158,0.008096908830861227,-0.05192162579126969,-0.05983002466025267,-0.041364901572600477,-0.04547017453108371,-0.012863380036852279,-0.018887512004859275
8,3,-0.13239813147569715,-0.0293705822207474,0.004833991256240835,0.0,0.019522789403608725,0.033412847522335094,-0.01500157310749564,0.03754298449942561,0.0035931435567823087,-0.00647172895161398,0.021803832111369964,0.05652986478101245,0.03871883984192773,0.0021031363319781934,-0.024441918636873308,0.0014730088356830484,0.011379562474925834,-0.014597547293484472,-0.014587189188082095,0.013970478735498377,-0.007105257757476955,-0.008226130321550035,-0.007000777679019132,-0.007792391174332952,0.01076445329332969,0.011565294590451348,0.00862014157823239,0.011420214578836112,0.0022790146430329153,-0.004819221348744716
9,3,0.08364469546081059,-0.019856927930082743,0.016460612935495778,0.004197372746079633,0.02083487091925945,0.009179370771879927,-0.022987088821701467,0.016114498877104186,-0.006021593468315975,0.018012825635066967,0.03334157972063745,0.048588942740684926,0.021175642121273347,0.006913324734421258,-0.02104929262500005,0.004901039305863525,0.008723834236797345,-0.04222695502549052,-0.013246089709867216,0.002096973290943993,-0.026423595197829282,0.014735107490841157,0.0026900913596366455,0.0,0.006770371493487304,-0.005695160438863131,0.00891302182497311,0.009460229995187794,-0.002913669675513833,-0.009583802919697904
10,3,0.039233298982559006,0.14068534725353943,0.39768582079947246,0.37945206494353934,0.045654982194172966,0.08971916264842306,0.20221333485361215,0.11707130555943124,0.13759530710832157,-0.022804405094158486,0.10926137283109694,0.04040394629009292,0.022354247806139593,0.0029684722441025713,0.21060452368969695,0.10316512109607312,0.08528573011121443,0.03584289856546863,0.10742061491602817,0.07481796625913173,0.2577072538812457,0.028703573171215524,0.01335800646654306,0.028003126054521266,0.17446840210702974,0.14658417614712493,0.09907504205813233,0.14167931876257178,-0.061283804413789555,0.030984764622174144
11,3,0.042224216867612796,0.13068275978207178,0.2715012232227767,0.21892964453954677,0.018806378743387975,0.0250250705040288,0.15579708049395102,0.010566151196629736,-0.0928210554491713,0.011220370736797602,0.0877648152298538,0.02193934083189597,0.057800948599235236,0.05586873045381657,0.2187395381662236,0.01676666021673956,0.09440608019191443,0.0,0.024474734368161277,0.10750703607388767,0.295433211254424,-0.018963645287841224,0.0,0.03968453968804786,0.05883430396709621,0.08579089066878876,0.1631662945764718,0.07011977740382425,0.029683537825457518,0.043695163574110296
