f_id,i_id,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ic.eps.ratio,ela_meta.quad_simple.cond,ic.eps.s,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cov_init,ela_level.mmce_mda_10,ela_level.lda_mda_10,ela_level.lda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_qda_25,nbc.nn_nb.sd_ratio,disp.ratio_mean_25,disp.diff_median_25,ela_level.qda_mda_25,disp.diff_mean_25,disp.ratio_mean_10,ela_meta.lin_simple.adj_r2,ic.h.max,disp.ratio_median_25,nbc.nb_fitness.cor,disp.ratio_median_10,disp.ratio_mean_05
1,2,-0.16683903848624332,-0.019918802778176314,-0.0808863504477696,0.009635582236000195,-0.07878661152000105,-0.038450775601536924,-0.009206481520852794,-0.02177362901958657,-0.05323544269849878,-0.005351352291940448,-0.06200764608826259,0.0032270730686562166,-0.06388107244309316,-0.004708136279738762,0.010059163290152329,-0.00952679640757298,0.009903277636324204,-0.009549302554872519,-0.030691643068491037,-0.011887340132105906,-0.009857682794914502,0.015180020540296602,-0.006272831535093004,-0.00975538598750203,-0.03089524193923654,-0.018301590877251084,-0.009731856622425927,-0.02196004203959845,-0.014504345179849054,-0.009357040938669181
2,2,-0.05421409029893309,-0.2322058989405713,0.03218185817424246,-0.37819641887601185,0.021056899377196958,-0.045231458450700646,0.034235121571301375,-0.05673221718269428,-0.019680766527009397,-0.025376147203660077,0.007678375211009225,0.008753952151598077,0.013477568713497035,0.003906932449656952,0.041178479456416506,-0.012111454169070501,0.014608810921055426,0.044186167492437756,-0.004450109636892741,-0.011798227029818587,-0.016330674745999918,0.0,-0.00925053721647201,-0.014084072986313756,-0.027258594861719776,-0.009851092840570841,-0.014134502480413536,-0.006667718208701323,-0.01253177498071506,-0.020489730869363898
3,2,-0.051269451238673,0.24894511286258916,-0.030989069094738142,0.03007509564894606,-0.023544897145686194,-0.04606867112324632,-0.002879706877356031,-0.02020661653826604,-0.004996999424095705,0.007308263861815344,0.016026382522511456,0.0020283314361145555,0.00668972385988259,-0.020948152925476235,0.02031176732707514,-0.012236778131745993,0.004885308659609192,0.012341386628927864,0.010741027352485277,-0.00815244462505993,0.001569725960956378,0.015400356383456743,0.0,0.004157036251237964,0.0,-0.006178896888083804,0.0,-0.015165163938903825,0.0,0.0
4,2,-0.0677927145028657,0.10426294145034767,-0.014659558064221978,0.013723537470218886,-0.01099030533446968,-0.049535949421314056,-0.0035831136696761468,-0.026044296923004827,0.02166642687539312,0.0072364584591582196,0.01829235708971258,0.0,0.01863716315971367,0.0,0.025196649257683362,0.0,0.02123092789456564,0.005800589752243401,0.024602596849945466,0.012038132658877945,0.001760764554707972,0.01613147339068613,0.0057047493043062,0.003982250480002808,-0.004139109665662111,0.037840820761326874,0.002739240569783863,-0.019932700968098793,-0.0030473608724259776,-0.0032792997526580603
5,2,-0.045478050159497574,-0.0025838881568627237,-0.06094867784438762,0.014467107943510527,-0.06422880441336626,-0.035163412689348195,-0.02155962980916276,-0.024120569670389502,0.028023732981957594,-0.005261095336474619,-0.14594229399914355,-0.0007785444829688792,-0.12285519549983859,-0.01930400907968055,0.021788004559016805,-0.014420424461584536,-0.013673646948610396,-0.02249273843540467,-0.0063439462623961496,-0.02956456279789388,-0.010287763533049221,0.0,-0.0106227484362863,-0.0158048030248521,-0.02438459181418423,-0.02250005575856423,-0.010385942120208214,-0.02688301711645069,-0.027432763755968148,-0.026726606190777824
6,2,-0.09008908728631973,-0.025297642751143906,0.004440997186394319,0.010071578540222448,-0.004227833755848176,-0.05908193684583525,-0.015390839184919958,-0.024736835870212387,0.011874318079823504,0.012317419328777696,-0.01404483702151238,0.0,-0.025094424754753014,-0.0030291841240517314,0.027406160671218538,-0.012672608277369213,-0.004140178711681375,-0.001533927343462138,0.0,-0.007875183595522722,-0.013736932471190927,0.012919944983911802,-0.017755044249301383,-0.01830295448023067,-0.012991134472503219,-0.01490425471505058,-0.009474827439156619,-0.02094393909652556,-0.00874544018460044,-0.01972722613508099
7,2,0.01013582049689149,-0.007363156034396301,-0.05247620340305767,0.013044868360301748,-0.05810812215019168,-0.0011682640663083221,-0.012003155252456515,-0.027697753474851594,-0.010231350092051505,-0.006135038725279485,0.0119812979601841,0.0,0.0072684149703236695,-0.010313820132237195,0.014486362523082469,-0.0008887304639879912,-0.008179058072074835,0.004912746042005284,-0.006965638664658602,-0.018175021230131982,-0.018808571824292075,-0.018805577978840055,-0.022239399048261305,-0.01629067086883576,-0.008096688270045949,-0.0123258110332706,-0.014481905876213272,-0.020993781799097333,-0.021544247031593078,-0.022199552308543535
8,2,-0.09203350044940609,-0.011112706915184466,0.01896036003517453,0.013887818590210994,0.011187361514515631,-0.043015188656062756,-0.005800460240772347,-0.018530994457793284,-0.02061156283855948,-0.0022358604654072814,0.03944136418790757,0.0,0.05657588790719369,0.012671985703937072,0.012833242134181987,-0.004621811279323262,0.03448991183109422,0.001338733503287802,0.030389602496391582,0.006865795499637929,0.009200739067441729,0.004663235752772159,0.0068055483834275725,0.004299640976883873,-0.0050484197105664964,-0.014560387101054749,0.00407651712176374,-0.00708006497314876,0.006004201474105547,0.0
9,2,0.09305893544232459,0.0,0.04825795907834797,0.005023237975224651,0.026973651727745768,-0.018538918982025365,-0.010494848599248568,-0.012873721156625467,-0.03440464893631413,0.036413884326935556,0.016049973771242676,0.010136951698232421,0.010471220438788509,0.002587890084032249,0.010076557879503317,-0.01695628681670351,0.028115164396328315,0.003765401533080859,0.03508605373917682,0.009812557168028285,0.004454592875715979,-0.006104106552635422,0.0069452711320554805,-0.0022325130331182774,0.012548640229257862,-0.022774602335913247,0.0077118492027973,-0.05010665888216216,0.0014665849979262346,0.0
10,2,0.009658623160208046,0.05178795362695032,0.5552541485516462,0.017085453999911904,0.5242239492530749,0.8050237950654706,0.0025659541720044476,0.002251566442833308,0.28620062767271337,0.011806123567557503,0.05276791813270654,0.03474695496767377,0.02940757139312411,0.0,0.06937362118885648,0.2976686662500587,0.013760726387529676,-0.06638029322941752,0.02874154945280316,0.05588628325313705,0.05464789251786506,-0.06878301711758206,0.11352601240121474,0.06889956846215206,0.0045929843393168746,0.09035545499088826,0.03228759435917716,0.06199865229362489,0.08198133512575789,0.08935479188673856
