f_id,i_id,pca.expl_var.cor_init,ela_meta.quad_simple.cond,ic.eps.ratio,ela_level.lda_mda_25,ic.eps.s,ela_level.lda_qda_10,ela_level.qda_mda_50,pca.expl_var_PC1.cor_x,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_25,ela_level.mmce_lda_10,ela_level.lda_mda_50,ela_level.lda_qda_50,pca.expl_var.cov_init,ela_distr.skewness,ela_level.mmce_mda_10,ela_level.qda_mda_10,nbc.nn_nb.cor,ic.eps.max,ela_distr.kurtosis,nbc.nn_nb.sd_ratio,nbc.nb_fitness.cor,disp.diff_median_25,disp.diff_median_05,ela_meta.quad_simple.adj_r2,ela_level.mmce_lda_50,ic.h.max,ela_level.qda_mda_25,ela_level.lda_mda_10,disp.diff_mean_25
1,1,-0.23652570788447375,0.015608036853483775,-0.07069675389023844,-0.02984658260419587,-0.0658890351655873,-0.019727310992396163,0.007400005618417083,0.0,-0.008960432290226805,-0.013349220746288137,0.016976047762642277,0.0039072370266806655,-0.0246825179697141,0.01859236641624401,-0.02349722651177133,0.0011818092871960784,-0.013559665633352702,-0.09833853639727441,0.005917302270169844,-0.01337564986765627,-0.08771890171407543,-0.028499266530154332,-0.0030116325486301276,-0.02352125216833234,-0.04497832769173532,-0.012223828131212922,-0.019552375081879292,-0.007395739605148166,-0.022405018403435173,-0.013047035689385145
1,2,-0.1667307289502412,0.015800545506570007,-0.047274529173507274,-0.05688333228247072,-0.05899203593700886,-0.026420862978021264,-0.002918267921022566,-0.03332667409415874,-0.00501300244199665,-0.02157040251734732,-0.10282960491304455,0.010875194344185213,-0.030756019402554235,0.015558728818988232,-0.010773318669391796,-0.07569872272666012,-0.02037295449364518,-0.019522860814992105,0.011619135469548458,-0.022511388265893106,-0.03174399263615124,-0.02710213538162165,0.0,-0.012266647630046812,-0.023426859273838252,-0.027086549917538727,-0.003513869380214363,-0.00388377588188632,-0.032057664299019295,-0.002396616348160352
1,3,-0.16354629525242054,0.013763306320519586,-0.07430746804437893,-0.028862752545527726,-0.08020995987643265,-0.03225434587972342,0.008967953864903788,0.0,-0.012925993474400377,-0.02763231567954072,-0.05989060242747807,0.015409802442718057,-0.024869326266644176,0.014809377638915766,-0.02318074424590899,-0.05257633755817792,-0.004886897508043275,-0.03893100098622723,0.0,-0.012859500756661701,-0.09129884465847637,-0.01411934561280015,-0.02197829203814472,-0.018381483900145268,-0.04259498539496037,-0.023133954916530197,0.01760257239423335,0.006940778945106196,-0.032172467845004216,-0.008100088929910765
1,5,-0.21294621766236166,0.006953224926996238,-0.09020909020090384,-0.03111041343415394,-0.07782772194668053,-0.013520795301459665,0.014873283022509343,0.004310147040548662,-0.0068525007214900735,-0.012624331011506229,-0.011234862366915621,-0.005830972306791027,-0.027621115429863785,0.005394846175420243,-0.02577982510591159,-0.006439432106624565,-0.01119678214687475,-0.07704106719757375,0.007636298337573455,-0.02157035094532278,-0.10574814380716524,-0.020208150272247594,-0.011679764966405659,-0.01735182058560969,-0.03221454431553322,-0.018620557557389228,0.00797531173869176,0.01295290687298356,-0.03155111483465134,-0.0021356561443617306
2,1,-0.05118609567641458,-0.37030844398020757,-0.03163278261922686,0.0,0.0,-0.01522391244318283,-0.015175325135794837,-0.08458448416913816,-0.0517590016674217,-0.012804961892223299,0.0,-0.003534759163544954,-0.005432091509147641,0.0,-0.010018768812873613,0.0,-0.020127889902261886,-0.005216709153057386,0.014858029140780105,-0.0032152555045392717,-0.003446072977082437,-0.014413888940371822,-0.009268243759594258,-0.017489007771431253,-0.012707124048663476,-0.02592528597846422,0.0,-0.016334649894676312,-0.03955401913275958,-0.0067184671243250005
2,2,-0.10072233063285657,-0.287081847848941,0.0,-0.00735545019434064,-0.002790482879802214,-0.03598925662083352,-0.015984333698296715,-0.009782161590349836,-0.11003274915040717,-0.008796537283938088,0.0,0.0,-0.0386651370711113,0.0,0.0,0.0,-0.025742065767514144,0.0006260599896978358,0.0,-0.014596262545908734,-0.00773827423572665,-0.010228059034766923,-0.012636029439855923,-0.010776189576485351,-0.015646285819961192,-0.02041818691978159,0.0,-0.03674456603567139,-0.01540384098119707,-0.024715224777574374
2,3,-0.0352452117886492,-0.2319927905064561,0.029237283836880346,0.0,0.021646975860023787,0.07078420202358726,0.0,-0.04810598632695473,-0.6940540034594479,0.016766216013935797,-0.014873072733153136,0.0,0.0,0.02113687447843715,0.0,-0.02323032719452489,0.03004312921810459,0.01439336316296308,0.012631321943514129,-0.012451213011333007,0.010730655342467255,0.010524547297578568,0.011388411168745893,0.0,0.0,-0.015708079344916692,0.018257154910300222,0.016028483939458327,0.0,-0.01912714696087825
2,5,-0.023414770127169304,-0.5566569073834337,0.027717102677332794,0.0,0.03420415916489178,0.0,-0.023386291631608824,-0.050186168489584404,-0.1164292795028608,-0.0097224881125057,0.016276749452327516,0.018735977259873637,-0.03456584461380685,0.0,0.0,-0.005677663933350563,0.0,-0.010413191194106608,-0.004028610955168377,0.0,0.0,0.0,0.012760769987797072,0.0,0.0,-0.005769877833948001,-0.006265434245046497,-0.03579828180046468,-0.018790721348676154,-0.019808439500809794
3,1,0.1444845303453562,0.012352479166035268,0.012444547254882893,-0.03141250792180156,0.009347053340521078,-0.006744413519491316,-0.005420172879332552,0.043610393917943274,0.005993725142206974,-0.009077145761561656,0.025982585611440068,0.00963320852715896,-0.014131468726048757,0.014508073135601679,-0.007690039821614508,0.021029407049109522,0.012674700771356129,0.023995581682814737,0.009305865430376203,-0.008850321532952787,0.03666273723708707,-0.012154157125369547,0.023029320693364108,0.005280560402058487,0.00855782332384919,0.007583495501585907,0.017317681444240507,0.02012339291232812,0.006071291261112166,0.03466633129686736
3,2,-0.07419446493890666,0.026065083386052457,-0.021878705248382525,-0.030908270542744185,-0.017552179500819085,-0.018343281096543054,0.008234403352072102,-0.004022346074987609,0.32276186711515964,-0.010837424146479153,0.012101750013119049,0.006865331204355299,-0.018155953353057294,0.00833899358463959,-0.0068620300615380575,0.003363018829066651,-0.015942716945368612,0.004324156408511179,0.006061464161292163,-0.008890244646123209,0.005605862573975558,-0.02236263726730582,-0.006684963962482665,-0.00831816888442808,0.0060492961385447755,-0.013017211198091128,-0.02684817010132888,0.014495400013718601,-0.02107802247783768,-0.005048180331963692
3,3,-0.07836453507006441,0.012385379079091374,-0.015143741573725278,-0.02011262053433016,-0.013981541026504535,-0.023888624650806822,-0.004346159251943954,0.022990023831777173,0.02934230940483032,-0.021852557404982098,-0.05094223972200357,0.020034131790325677,-0.019021576941448903,0.0,-0.017100453648981717,-0.06743259013007302,-0.00542950164689418,-0.0074380886636095656,0.005027306281454286,-0.010701381662601206,-0.01275685695039308,-0.01237481005648211,-0.011355489925939738,-0.024895825044158965,0.0029680434562586733,-0.013482477884115746,-0.03333350352256215,-0.016604835980818383,-0.03893430959105548,-0.014905842078179743
