f_id,i_id,pca.expl_var.cor_init,ela_level.lda_qda_10,ic.eps.ratio,ela_meta.lin_simple.coef.max_by_min,ic.eps.s,ela_meta.quad_simple.cond,ela_level.mmce_lda_10,ela_level.qda_mda_50,ela_level.qda_mda_10,pca.expl_var_PC1.cor_x,ela_level.mmce_mda_10,pca.expl_var.cov_init,ic.eps.max,ic.h.max,ela_level.lda_qda_25,ela_level.lda_mda_25,disp.ratio_mean_25,ela_distr.skewness,disp.diff_median_25,nbc.nn_nb.sd_ratio,disp.diff_mean_25,ela_level.lda_mda_50,ela_meta.quad_simple.adj_r2,disp.ratio_median_25,nbc.nb_fitness.cor,ela_level.mmce_lda_50,ela_level.lda_qda_50,disp.ratio_mean_02,disp.diff_mean_10,disp.diff_median_02
1,5,-0.3091937289623443,-0.003741817188716856,-0.05949461671209455,-0.0032191660044205705,-0.071156405529957,0.021229921871450397,-0.005744138771878349,-0.006991341151162955,0.004020843652014716,-0.006679854864662549,-0.012208702488999412,0.014878737106878648,0.008953799774798266,-0.01630533408908469,-0.003058060352448655,-0.017382953474782914,-0.016983992291284056,-0.0249827719610769,-0.012547719812119829,-0.06338857497224937,-0.022493094481868092,0.01841961510289858,-0.03350343047358956,-0.013001923569790408,-0.014980634457042674,0.0,-0.01691042829288608,-0.02273805396998846,-0.020781953437915168,-0.01696866344883774
2,5,-0.0196366414875897,0.05255567908053996,0.03459752139574601,-0.11262650864740942,0.03176595562434714,-0.605282860529621,0.021812962064282293,-0.02170372166204282,0.021439118748585284,-0.02174119475636005,0.0,-0.007983811765690296,0.0,0.007424017665745686,-0.010369574283998817,-0.00934799136851322,-0.02305985014643047,0.0,0.0,-0.01645192646414595,-0.0036962277341167082,0.0,0.0,-0.013961712264261628,0.0,0.02452029554760049,0.0,-0.006921462523482691,-0.0100024873068017,-0.038284021942910584
3,5,0.11205688297355049,0.00498348404397899,0.011387961568245869,-0.0035690588314320967,0.007862287831830704,0.027637386410413634,0.015309987040770773,-0.02370928773303677,0.005944275436320139,-0.04137525119712863,0.015843074602893442,0.011318016187882765,0.009167929317598342,-0.014251303988572273,-0.010624282717456274,-0.020937877411847702,0.004856377089339496,-0.008657040889269586,-0.0035116115301037365,0.033119690764599675,-0.00823196876001206,0.008372491198090894,0.022908566424701057,-0.0071313221002769,-0.05206262182293133,0.008658075390626269,-0.008423086593352842,0.003262434248676546,0.005916524566258657,-0.007472135250748926
4,5,0.028570221623289177,-0.002097710733612229,0.004660151325981632,0.051615617328181596,0.003301489105623584,0.03755738790053856,0.02788269396358692,-0.010022216901441477,-0.015717546979858693,-0.0241819221860278,0.023604561161188337,0.009034930200550434,0.018182936914559064,0.015032473355180348,-0.0028904747129820663,-0.01395106571783708,0.009127132201858762,-0.004666434802310701,0.01075251076713614,0.02344353281837583,0.014423311564430885,0.008177133189865585,0.0484126695798191,0.009946683039160076,-0.01355635443134004,0.011620348873654596,-0.015463721661799879,-0.004166189683621341,0.006153874111352292,-0.0065820412877032886
5,5,-0.06039209511146704,0.007694054890007795,-0.039813711059677626,0.009759884912396655,-0.0360847417101926,0.01873376454214387,-0.15720468448667968,-0.013169785324372796,-0.007635244947741149,-0.0074762737174101646,-0.11677610613834549,0.0,0.005097313211681276,0.0,-0.03738549607994052,-0.026927798458618202,-0.027400627856243753,-0.01330933061233025,-0.02899332854876313,-0.01652615228937171,-0.030173795936274173,0.017070793376255278,-0.019672541149337863,-0.03628215617708713,-0.01876701604280756,-0.004617130476016695,-0.016214936081325126,-0.03069509234324541,-0.015525227267226382,-0.020212391041591116
6,5,0.04375738121934461,-0.0014209364534510383,-0.011193100963783897,0.0,0.0,0.029813110782736185,-0.048800174354097725,-0.009260872987873453,0.0,-0.028940986017199383,-0.049597091588793885,0.0,0.0129463410159959,0.00649387942104121,-0.00650119441535324,-0.032984554327331245,-0.03253648829332556,-0.04822582559287522,-0.03366872330057474,-0.03384455265358538,-0.035425330828344315,0.015024032418169464,0.0,-0.026615150470448656,-0.028815067609587963,0.00996790612294779,-0.021969951342880073,-0.03131053976381279,-0.03733745360295321,-0.030966560053391767
7,5,-0.014241357438237026,-0.009782763846630724,-0.03164060203913932,0.004902328584838064,-0.026991606491704845,0.035294107728283106,-0.003353253041630741,-0.0034686231030053027,-0.0064813056657138934,0.00837174954163672,0.0,0.005781680150027141,0.003260209812753101,0.011204329209437439,-0.001317595459719087,-0.02693324125895591,-0.02111993792402804,-0.014311273505362473,-0.01211804645731171,0.005308256171024331,-0.03464427195233441,0.020794452717655107,-0.0028209075921118154,-0.023515143504692512,-0.009360549488311068,0.003709347684151293,-0.014292383151641885,-0.017164945233177478,-0.015469435500309311,-0.013040697678445012
8,5,-0.11265627997749467,0.007507111600338026,0.0342339708706729,-0.002585022944001099,0.022159800348594993,0.028977198605505655,0.03871224877513249,-0.01157740788696035,0.0075489847225007345,0.02063434156842181,0.02839879804365722,0.0087408192064245,0.016143129110615953,0.0,0.0012000116040320474,-0.017583419031040853,0.013865514485270555,-0.009449845176865881,0.009614445434973355,0.043977737104493306,0.009669009420066266,0.018059416793406682,-0.003622092780334818,0.0033452219574298253,-0.010478476752185266,0.0029936051949095432,-0.016426846046600718,0.010812678703437106,0.005195606910312817,-0.004340774406258768
9,5,0.055387741016895475,0.0016343224988608906,0.05136545651896962,-0.0009858026684959331,0.03147396187433596,0.026591682497852015,0.015344533947896588,0.026607047311654378,-0.002806913179416351,-0.005587434789404766,0.01391718472404023,0.015110392035843329,0.014804720855349049,-0.002562992095919342,-0.0027873347332280918,-0.012331234577320258,0.010171861762086787,-0.007870187432398229,0.016115296149435437,0.03058519326059715,0.009836316669767697,0.006841368575331172,0.007061752486063749,0.007290872482748234,-0.03092808539632702,-0.025905968133852514,-0.012704469290741566,0.002454619746642517,0.0,0.004503573920941861
10,5,0.007642834910862262,0.00581011050331437,0.17580753015459738,0.015389660711719877,0.19319277154211667,0.06127256927919844,0.048584869628681915,0.0,0.019945250156339855,0.032009396875367746,0.024114612986871564,0.031663237622204354,0.013429867077325852,0.05665997765563713,0.09005663275710163,0.19654385454151857,0.0,0.008976877371600134,0.03891862015690373,0.06034096550847401,0.054980850385804025,0.0509276381888093,-0.04685528235590364,0.0005647340903464082,0.017024026601827114,-0.05372041585270526,0.20213006978540726,0.07653644980955826,0.023000791701184853,0.06556782502478486
