f_id,i_id,pca.expl_var.cor_init,ela_meta.lin_simple.coef.max_by_min,ic.eps.ratio,ela_meta.quad_simple.cond,ic.eps.s,ela_level.lda_qda_10,ela_level.lda_mda_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_level.mmce_lda_10,pca.expl_var.cov_init,ela_level.mmce_mda_10,ela_level.lda_mda_10,ela_level.lda_mda_50,ela_level.qda_mda_10,nbc.nn_nb.cor,ela_level.lda_qda_25,nbc.nn_nb.sd_ratio,disp.ratio_mean_25,disp.diff_median_25,ela_level.qda_mda_25,disp.diff_mean_25,disp.ratio_mean_10,ela_meta.lin_simple.adj_r2,ic.h.max,disp.ratio_median_25,nbc.nb_fitness.cor,disp.ratio_median_10,disp.ratio_mean_05
1,1,-0.29374730537393845,0.0,-0.058367557399284176,0.013642122336896656,-0.06940471650299745,-0.021669315021325464,-0.007393615621925309,-0.02137725032670551,0.007537946441384502,-0.0011814206504696667,0.017750332603539032,0.005372947704715969,-0.0050298442448613034,-0.013742655076761368,0.008453948968508151,-0.006144119809747939,-0.08053235312989943,-0.00177093152210267,-0.057723737963985944,-0.019141414669668455,-0.004652297014449858,-0.005547499919538845,-0.012416427290685872,-0.02243278062335352,-0.03827886534365543,-0.036693992326751135,-0.003063465313398017,-0.03610813798706769,-0.020740007814861405,-0.019630908789272206
1,3,-0.21311927946898296,0.002010899594388993,-0.07975907371743807,0.009455929418995812,-0.07133843805253304,-0.027677738171538346,-0.01454978151140951,-0.01576571243508923,0.005582540944411796,0.00816303989601258,-0.047988677471853536,-0.012911051708322963,-0.05475547409977288,-0.008920202638700914,0.0,-0.0074953777321298265,-0.03390730182364776,-0.011888884368997266,-0.045579825470418,-0.013828327699825227,-0.010241242959794894,0.010739364195900103,-0.019081104487203238,-0.028116757679245152,-0.027141404263195112,-0.014828449772092689,-0.015194886933129426,-0.013924968663704407,-0.02175123511887811,-0.030219899454214105
1,4,-0.33330559123592624,0.009292887572867836,-0.08988000797802198,0.0179990921949561,-0.08845391479302611,-0.03012325171339919,-0.007482264156286944,-0.014930458554682946,-0.020137079109632805,-0.0049619500547969375,-0.016808242544630314,0.0,-0.033834482773150654,-0.011274118278894851,0.009552910534707304,-0.012897908591869511,-0.006675145028557372,0.004361459696920478,-0.02831143924712376,-0.002493699600144894,-0.004916366089392721,0.01143437430511507,-0.01104375071500241,-0.01580973854039891,-0.04768991028599456,-0.030101164659020685,-0.007217367132219432,-0.020788191579266313,-0.010158557916383815,-0.0073794456279931975
1,5,-0.2733831827158143,0.011189947106014564,-0.0917839507103651,0.019684209929451968,-0.07508018095244512,-0.03289309946584068,-0.01075740830006211,-0.02446257974070093,0.0039961861005477495,-0.0005819316984738698,-0.01803772092620315,0.0,-0.02914585035752648,-0.015438544550520739,0.0005783399233961761,-0.004799737134336068,-0.048204287003723034,-0.0035777765471438627,-0.07525205591666506,-0.008919422962199774,-0.0036526175936718586,0.016989144748637885,-0.01444918586969457,-0.015157302428708275,-0.03203980195547135,-0.022531218334605363,-0.00270617915170146,-0.020531728245998915,-0.016875281334885583,-0.01621010556369784
2,1,-0.03102862548465557,-0.5312506376026485,0.04739222452403652,-0.21824760476256166,0.04022780051663882,0.0,-0.014119849080772573,-0.031252305544088366,-0.04715844683050219,0.0,0.0,-0.009198342615725108,0.0185893627294747,-0.025624601005782677,0.0,0.0,0.02427422766305387,0.0,0.0,0.0,-0.006836842992172576,0.0,-0.014978781174535716,0.0,0.0,-0.004820900110526494,0.0,0.0,0.0,0.0
2,3,0.0,-1.1668748293641253,0.15311657561537706,-0.47402339932573556,0.14875777637017223,0.2514977160361394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06433343451308515,0.0,0.02181927357726876,0.017183296733099374,0.0,0.0,0.023421962647077132,0.0,0.0,0.06199430459863753,0.037230265047481115,0.057510302021872906,0.0,0.0,0.0
2,4,0.05097072081536691,-0.25533401528904875,0.11016254440410533,-0.5491825626318866,0.1377290494438409,0.0,0.2238237922882803,0.06925301096893832,0.0,-0.020530358476358757,0.0,0.02832947532322072,0.0,-0.47954357498154565,0.08937978170366068,0.021313209330711125,-0.03015820634606242,0.13546592593377538,0.0,0.021247497143855654,0.058462736437292995,-0.5141830749582682,0.0,-0.014767706732284336,0.04866732546177788,0.0,0.03333975804418704,-0.025338351334020626,0.0,0.056859702047475036
2,5,-0.025029431724334583,-0.24980244912515492,0.06651311252853026,-0.7857190293180203,0.07032726112817489,0.1119017949335489,-0.00976548766607832,-0.010683413077627768,-0.08244895563784072,-0.00869762762403542,0.0,-0.017530688082739276,0.012822200505829606,0.037910463630505875,0.008698956493463472,0.029804078754177454,0.01309914893415104,0.0,-0.021399629728320158,0.0,0.0,0.020237320863766062,0.0,-0.020849113716299383,0.03055943803576705,0.016954285343422415,0.0,0.010674112679340875,-0.012469862323064962,0.010860192663187829
3,1,0.14612514055825093,0.020417133158024042,0.0031893129412610133,0.01668126033889486,-0.0014458624613502002,-0.020366523584902124,-0.015522622791979523,-0.015938499883028395,0.030517226634003525,-0.010686967205068898,0.015474272461819982,-0.0022342588346302705,0.005638596716419142,0.0,0.0065212670257612515,0.001233654465249423,0.035900872297407016,-0.004282169868956409,0.03764038526237792,0.028656851319449395,0.02431300629278932,0.014979730605571673,0.02958969396153252,0.011651541926577469,0.0018636233320792894,0.009450083818017652,0.025186250018748635,-0.013890097066958929,0.018846639740129623,0.016850907582300345
3,3,-0.20026192849294483,0.054977652508372554,-0.022026503717426205,0.02264758056878563,-0.02402935446044724,-0.03843086611591831,-0.0100806961008586,-0.01352060331241739,0.038895843627683224,0.0038243298755727406,-0.04587760853474454,0.0050182877419284455,-0.051723920222367714,-0.02902124243546267,0.005187648440647508,-0.006736203272712238,-0.004717333512628125,-0.0037625412017285864,0.0,-0.015688451385802882,-0.008767175545700695,0.009449060537747328,-0.01124793084914627,-0.010481108709450015,-0.00755429210752917,-0.013891321626417263,-0.014099490751956656,-0.014949886341659557,-0.011170060089673944,-0.016428363031014748
