f_id,i_id,pca.expl_var.cor_init,ela_level.lda_qda_10,ic.eps.ratio,ic.eps.s,ela_meta.quad_simple.cond,ela_level.mmce_mda_10,ela_level.qda_mda_10,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_x,ela_level.qda_mda_50,ela_meta.lin_simple.coef.max_by_min,nbc.nn_nb.sd_ratio,nbc.nn_nb.cor,pca.expl_var.cov_init,ela_level.lda_mda_25,ela_level.lda_qda_50,disp.diff_mean_25,nbc.nb_fitness.cor,ic.h.max,disp.ratio_mean_25,ela_level.lda_qda_25,ela_meta.quad_simple.adj_r2,pca.expl_var_PC1.cor_init,ela_level.lda_mda_50,disp.diff_mean_10,disp.ratio_mean_10,disp.diff_median_25,disp.ratio_median_25,ela_level.mmce_lda_25,ela_level.lda_mda_10
1,1,-0.23990125908960336,-0.028041899670352588,-0.04104723599972071,-0.043032455260320734,0.020583213133407552,0.0,-0.014648271359822662,0.007693350669300658,-0.0023281378026044353,-0.002442767228923892,-0.0025271438559472115,-0.05055543990226663,-0.0880817510111469,0.011795001400782767,-0.018121597112713883,-0.018554813385095292,-0.013996970588609603,-0.03248196831448291,-0.04140310394334312,-0.016057823533443816,-0.0014550596245523906,-0.056379896233465954,-0.02500256031745468,0.0,-0.019281494792657283,-0.022397223322720317,-0.02050861867748166,-0.013530906658217268,-0.013914196235530918,-0.019488766050669848
1,2,-0.13682512988404427,-0.03820594775703984,-0.0425522007652932,-0.04377195740423173,0.015386490604970104,-0.07567987261333226,-0.013763762895251108,-0.05552864129116447,-0.14465153436441408,0.0061181371017959285,0.0,-0.04412302042099353,-0.014665971078832718,-0.0008607032109457236,-0.01787939395778898,-0.012492371110117362,-0.016978675393826415,-0.007130805202551271,0.007098167832609581,-0.014628370696937176,-0.005541631143656356,-0.0205598080479521,-0.0055127820178147435,0.004383677285895005,-0.015628409957458678,-0.02621627494269596,-0.014138204290713663,-0.01904998191390428,-0.024452541888988377,-0.027258275500633422
1,4,-0.282998315746874,-0.03264923616281051,-0.04712384231251876,-0.046871731179244536,0.010256359025046291,-0.03017597214837575,-0.015570716956893937,-0.013664609746205258,-0.12032629565610031,-0.010474744366490318,-0.008421654046463889,-0.01838746295518101,0.0,0.007816615976312613,-0.007951582803448765,-0.016779825424114714,-0.003502934454046147,-0.011805352524344781,-0.028501424586046986,-0.00292372357259274,-0.005432740885774168,-0.03236771484298623,-0.02408439121038025,0.0,-0.017952626488349055,0.0,-0.00403679044534927,-0.006326402572660261,-0.01796959171001361,-0.016883087129404895
1,5,-0.24939104834903103,-0.03170601287296848,-0.0636075462473808,-0.05558677308670307,0.014184463845235862,-0.0029198640407368526,-0.0058056671952090855,0.006651770503997623,-0.014611998924693448,-0.009003925789548561,-0.005481103325790659,-0.08712348267205994,-0.0565541287360673,0.006075566001137622,-0.0006213263925646806,-0.008602235070999054,-0.02702407783274896,-0.01998962943140359,-0.013278930508218045,-0.020340020182378238,-0.006397580996666097,-0.02999441549658788,-0.01699170270799477,0.0,-0.026673942670223383,-0.020947603984488916,-0.014809087010184019,-0.016707933875774517,-0.01155283336689894,-0.016298724570295242
2,1,-0.041340927000252825,0.0,0.012217605641213242,0.010427388173073648,-0.3015111548868955,0.0,-0.01008498386395762,0.0,-0.07665755142889458,-0.0038325773476158287,-0.15720706086863045,-0.006629881503403212,0.0,0.013808795184888756,-0.013866869103567825,-0.002834795737628515,-0.024118283762888104,-0.0044518091934471204,0.0,0.0,-0.013416804817570571,-0.0076740649114299675,0.0,-0.0023125936626812726,-0.027796597732965667,-0.024741678086642793,0.0,-0.009743564837225216,0.0,-0.11334238485442871
2,2,-0.05083311409973501,-0.03653123603927394,-0.030176367247719216,-0.01760531652641356,-0.21215257988433844,0.0,-0.00898119978851819,0.0,-0.016542174186494063,0.0,-0.10805014336974716,-0.006268845672984469,-0.006622380958364649,-0.002108360317431446,-0.011902945962004807,-0.02007421456507008,-0.00553001387556562,-0.013868067376096582,-0.013715157216189433,-0.012310266677106996,-0.03211111599902833,-0.018228857734431336,-0.012346168282091452,-0.004386838908334245,-0.019170998790475458,-0.02443061898644694,-0.033299264531515715,-0.028903030919245953,-0.029664005761656898,-0.029296510924670227
2,4,0.030180599355168702,0.017543807429360125,0.051762785317880255,0.048181101551979466,-0.4272675050761016,0.0,0.011202699207298161,0.009850924920302206,0.002830802182527181,-0.03519952401450688,-0.08197183936206076,0.00476688112521878,-0.004851339303603708,0.0,-0.10202123102465954,0.01956580081859538,0.0,-0.016114672839268374,0.0,-0.02932347298288035,0.010457634803311744,-0.14409954938232866,-0.012376676493220273,0.00868231834636607,0.0,-0.018782457475441883,-0.013806417143957472,-0.014388127216056201,-0.05865737147850003,-0.061274965498591794
2,5,-0.022982677843102872,0.1279666000904192,0.0700990456712296,0.07596275297761984,-0.8393348469905999,0.020433241053155138,0.05694229022138064,0.0,-0.06863897725619816,-0.008717489824068558,-0.37529849255634196,0.014769269316871225,0.0,0.010173382931192354,-0.02189613992158529,0.005951161028244667,0.0,0.014844066773724629,0.024098230655461128,0.0,-0.02989033228152166,0.0,0.0,0.007445851758570432,-0.01047365344658463,0.0,0.024998303365611374,-0.02363179383007702,0.0813761167816881,0.0606942964681495
3,1,0.1473741444282891,-0.01963320820876907,0.012253595617813279,0.01107956055144163,0.01445976925310119,0.014969875474847877,0.0,0.018566164955080205,0.02873198671309432,-0.0061176890459387345,0.010134780369505547,0.03637920092536254,0.034777105459388225,0.0018415849377112214,-0.0034292140584231134,-0.011504632334348286,0.01665654737054789,-0.013315555763482145,0.0036667505282701185,0.011265026474834017,0.012279940720990312,-0.003001590320437675,0.005082979351762884,0.0032588941861102783,0.011363752996162685,0.013111585102040996,0.01246697282968151,0.021994983867114792,-0.0020758911461818963,0.03264655443822606
3,2,-0.07998544597167498,-0.033908409371355724,-0.028842230222063683,-0.01038449119891326,0.023143010149774157,0.01504015638270768,-0.009847890856627621,0.01362115430870909,0.005592107708569889,0.004075761029028228,0.19267252261559517,0.0,0.0,0.0032329669975468545,-0.00555913490375428,-0.010270004960552331,0.0,-0.006129154496085115,0.012588541725839869,-0.0050468419882156584,0.0,0.007127714289518881,-0.0024117450861392276,0.007907101914646678,-0.003368254968088076,-0.0036795579321860644,0.0,-0.0047637352918933965,0.007494517899440223,0.0
