fold_number,f_id,f_id,f_id,f_id
,"good, good","good, poor","poor, good","poor, poor"
1,"[7, 20, 21, 22]","[1, 2, 5, 6, 14, 17, 18, 23]","[4, 8, 9, 11, 19, 24]","[3, 10, 12, 13, 15, 16]"
2,"[18, 21, 22]","[1, 2, 5, 6, 7, 12, 14, 17, 20, 23]","[9, 11, 16, 24]","[3, 4, 8, 10, 13, 15, 19]"
3,"[7, 20, 21]","[1, 2, 5, 6, 12, 14, 17, 18, 23]","[4, 8, 9, 11, 13, 16, 19, 24]","[3, 10, 15, 22]"
4,[21],"[1, 2, 5, 6, 7, 14, 17, 18, 20, 22, 23]","[3, 4, 8, 9, 11, 12, 13, 16]","[10, 15, 19, 24]"
5,[21],"[1, 2, 5, 6, 7, 14, 17, 18, 20, 23]","[4, 8, 9, 11, 13, 19, 24]","[3, 10, 12, 15, 16, 22]"
