f_id,i_id,ela_meta.lin_simple.coef.min,ic.eps.max,ic.eps.s,disp.ratio_mean_25,ela_level.mmce_mda_25,disp.diff_median_02,disp.diff_median_05,disp.diff_median_25,ela_level.lda_qda_25,ic.eps.ratio,ela_meta.lin_simple.coef.max,ic.h.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.qda_mda_10,disp.diff_mean_25,ela_meta.lin_simple.intercept,ela_level.lda_mda_50,ela_level.mmce_lda_10,disp.ratio_median_25,ela_level.lda_qda_50,pca.expl_var_PC1.cor_init,disp.diff_mean_05,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_05,ela_level.lda_mda_10,disp.diff_mean_02,ela_level.mmce_qda_25,ela_meta.quad_simple.adj_r2,disp.ratio_mean_05
1,2,-0.0031362061201496453,0.01280005361735979,-0.056625658842780466,0.01679289723000259,0.0014214862643414893,0.008555272452766133,0.0056069218368528725,-0.00431521059749019,-0.01447342698749572,-0.07187669373572017,-0.0133859682266275,-0.02064990740828109,-0.17573035636980386,-0.04960303950420668,-0.0396581298366697,-0.033083611934666475,0.0045105983322114625,-0.021043541844642345,-0.062759584582639,0.009727178831325912,-0.022619742404612463,-0.1580218278735241,0.001756894903293696,0.03393512734121984,-0.0067673518369023656,-0.010933770943320646,0.005799739308485223,0.0025486426596305466,-0.04840057957704183,0.0132234791635936
2,2,-0.003119193076974436,-0.029943079372008213,0.16674682935169147,0.0205986807230312,0.0010397451185849248,-0.06043688704265858,-0.04678019697351166,-0.03651107814680702,-0.005159165136003992,0.13434962741898956,-0.006356624340981132,0.04289057918283076,-0.10795323047995675,0.01673428772551331,-0.034208281595325206,-0.07061868885005292,0.0006482476724255933,-0.019343945874570678,0.014129781640662739,-0.018144959131843264,-0.02686072784791332,-0.012361078654077274,0.018874720748189744,-0.029917666560132197,-0.00678993312175493,0.05045429737221726,-0.006255430937586793,0.00741383778974872,-0.04155920755558165,-0.17727514541977005
3,2,-0.0028140455404840723,0.01463484156018796,-0.05841440141253326,0.04863455403587253,0.0014599945165927788,0.020556644765741473,0.00283941285761262,-0.0034021983828681985,-0.009665236973783225,0.025776594734446615,-0.011413472032622104,0.1363579181297691,-0.026313986317323824,-0.055604346657407155,-0.0316133627816846,0.03134208304839272,0.003710342779770454,0.1536704998079477,0.01919521481786385,0.008055636705721124,-0.019232667433657178,-0.0723520691983801,0.019231112040192,-0.02919614349927627,-0.008155821190048223,-0.005279987668351964,0.013753798405010268,0.004050470431613054,-0.036957817810690415,0.027423533027717988
4,2,-0.0027872299579655376,0.005628647622160768,-0.05289860092730311,0.04202111890034536,-0.0052907521447471,-0.010729059485789299,0.01974901980277678,-0.0036557635831298103,-0.016317392025467847,0.006119088254497311,0.010014024855688405,0.03640809091856124,-0.07837842171815725,0.025444705946211333,-0.03860939834700817,0.016880651178766845,0.0037072256482132216,-0.043838311039492435,0.015353131599098275,0.010355052256478921,-0.02212788013932456,0.008079467460579371,0.020993603623046798,-0.05645821815926997,-0.02591417676518275,-0.019841829839427113,-0.004564637008183247,0.006026606568465731,-0.026367128519469152,0.03220131154616559
5,2,-0.003047622590319573,-0.026486961169765205,-0.05760184918379609,0.0020546371252953013,0.0006338599881209318,-0.05661424535889945,-0.04971734919215156,0.02257245729528772,0.02361251362160248,-0.0754365568628204,-0.013665855644498138,-0.04822741818606438,-0.09640792873194111,-0.038355827175156496,-0.05988281110986203,-0.041065585619131484,0.010398505413766301,0.008197069887030319,-0.05930929874098014,-0.008972849231673699,-0.027560969148190024,-0.05904633445565093,0.015741700403731063,0.03432868972506047,-0.01149518508622475,-0.017370679145933692,-0.0008354057665062507,-0.0012780698386787126,-0.06411261935600107,-0.12499008605570881
6,2,-0.003928029022811249,0.0006988569050965297,-0.05752374031608666,0.05995416708404036,0.0019152860065218859,-0.04194773632089354,-0.035491235131258854,0.010127400643469257,-0.004255556077128185,0.038336851629885704,-0.01339541163189289,-0.012383738588512605,0.020903545817376842,-0.03374800465210574,-0.03571535963308659,-0.001099958124683717,-0.0009996982394865463,-0.018463952848386065,-0.06397997167966901,0.03173218518197339,-0.023892050905959968,-0.029494492951022497,0.016036601101411,-0.008079774203684387,-0.02035189149449353,-0.0026077031802593923,-0.005811706296337844,0.0069771708938021265,-0.013147750004619107,-0.08489406450822023
7,2,-0.002839102093604979,0.025894082553890703,-0.05429974242585601,0.008816822384719845,0.0012791110159496005,-0.05083706338767454,-0.04012902197315944,-0.014110139138615006,-0.004444320620138931,0.015147894897708179,0.024901328450086607,0.006570234482323029,-0.037643008657077086,-0.019679503990035686,-0.03504679508696726,-0.0963934965676775,0.022329551272453726,-0.024138383350298807,0.03372417758065277,-0.018800378772901315,-0.018006678212485337,-0.009913310416419715,0.017830538933979012,-0.014793255449939157,-0.00792760051933282,-0.04195224563356872,0.0025359459448227734,0.011985857603540994,-0.004011359423956873,-0.1091689177271623
8,2,-0.003152984916260037,-0.01003369930635119,-0.046103931348018524,0.01379227919786537,-0.00037343618150640365,0.021159941572725872,-0.003016030814513602,-0.01027582793834975,-0.015286498678281725,0.018461416966064632,-0.02777489154482526,-0.021945175848044327,-0.10636864450351793,0.02033968394231029,-0.03608998836921186,-0.009785384006920504,0.0064432792574634825,-0.017373243755527845,-0.006433132119238492,0.012235343897567924,-0.025778199072471905,-0.0037532433806005236,0.0034631176059292178,-0.012495807552186905,-0.008221285966816348,-0.008833316522625366,0.012061166946115543,0.007780728544386611,-0.02138795532102604,0.043423795800417886
9,2,-0.0020812277016724946,0.003707727551727404,-0.06102732591511291,0.009650597255368558,-0.0005319480810689118,0.021074036231075826,0.013213589157079018,-0.0018612035904741414,0.03146014182688807,0.04439144818643027,0.005898195277756679,-0.028457384437476158,0.04032991558955104,0.05523884415208119,-0.02757093702602027,0.0003098401399873779,0.0046911632870715704,-0.018088466448528576,0.021175406741175955,0.023497363176144613,-0.01626364219533577,-0.033547109006525584,0.009949592489902518,-0.011776090840883267,-0.005598653197316859,0.02580495181466824,0.009401515413485967,0.0016301720901563885,-0.006425992364777354,0.04871608528117785
10,2,0.0026092180497526733,-0.023314784157049875,0.7113152659862024,0.022616255364832603,0.0005416094645075916,-0.029528058541531108,-0.020232865032550368,0.03651437069384485,-0.008393266356753203,0.2696908554403892,-0.005919408354850349,0.03214649634993823,0.0036887214761453166,-0.012317908470959085,1.1967008766758602,0.056288368733293355,0.007657269916583483,-0.01015737867812408,0.09276277347041983,-0.01038489877717053,-0.013190126754684445,0.0615796021449869,0.043551017377735445,0.04417500454989984,-0.005236458705441546,-0.016052550228892994,-0.004359541292621733,0.0032651213275010894,-0.00728114746592457,0.007594046170193135
11,2,-0.05352749719114756,-0.0025979333814929425,0.11048217655772044,0.01826258830548762,0.0005153130349032983,-0.007938275586459091,0.030240361258703777,0.03585807541824148,-0.003614349438376932,0.18304800705224883,-0.01080507363203348,0.06721995533335877,-0.015592905503540628,-0.012383179153419162,0.13642757057782642,0.10838689841723405,0.003037874883002986,0.4135911624399974,0.011430541552895225,-0.009405803609450841,0.30051917570169734,-0.0028081836876276173,-0.11241620212759462,-0.01717139781441329,0.09038730125942385,0.02539245721383173,-0.02269847116582747,-0.01683612786473127,0.01566824158854977,-0.08623896823083683
12,2,0.0023706020934729077,0.018629413263849162,0.18440504401970279,0.032197102991721745,0.0009147149386283166,0.0282702739908102,0.04674472955034358,-0.052085534864739144,0.013997544315065396,0.0077682708755625616,-0.02657232982784965,-0.0022717565698413106,0.03602768109357145,0.00901194053345705,-0.029170170512127367,-0.0999594546409393,0.01662855382574908,-0.031789283684210475,-0.08813413849539609,-0.01422576683819911,-0.04153845847842451,-0.00033241237818432443,0.014539115880725654,0.08531487049807267,-0.030530607425025752,-0.01748840017075787,0.016228188945986228,0.026988589707288586,-0.015067542614506995,-0.0038809547773245015
13,2,-0.0012885709370676853,0.02045739067104504,-0.04961371604164119,0.04340363542557537,0.0012947825826639314,-0.03947413689273589,-0.031223168028425743,-0.0046162049516881186,-0.011726591029862211,0.023739574347496593,0.028567125533389515,-0.022225284725754836,-0.053039125612715086,-0.03803837550575547,-0.0357559406721563,0.039243698693205105,0.0008526573929663961,-0.01945408122333576,-0.04371230190512318,0.02449324908374256,-0.01863010226558056,-0.06446389186199902,0.015113636367624554,-0.009123706509598878,-0.005016649388611944,-0.01870408304710036,-0.0040756045031613095,0.003283036322947758,-0.015322240920509213,-0.028908791312825845
14,2,-0.0027013057859079505,-0.001467830069703751,-0.0600006535581943,-0.005935330961021656,0.0021109362206500407,-0.029458508962364884,-0.0657710214513048,-0.01723697938893878,-0.002822274678364464,0.013248016183483728,0.008723955605007761,0.04651123390353977,0.010327224307052657,-0.024371283039527222,-0.035650726479542795,-0.10767308499780703,-0.012184410147228552,-0.04035075153652849,0.015044448197501354,-0.06732141778021636,-0.021390298891258878,-0.028015508640258997,0.01918687804825089,-0.019015944141256083,-0.04736392682330882,-0.06126165396041569,-0.007669394587505293,0.008210972251293937,-0.02634517334294393,-0.1482769743133794
15,2,-0.0028780173288169347,0.03209416878367974,-0.06252250747003021,0.019793372162298723,-0.0003450686063428717,0.020863408802682646,0.03687329964988605,0.008650581285773498,-0.015493429333009422,0.04264368638450699,0.029743491302655647,-0.009560006661142838,0.043698823303574816,0.0242140804298126,-0.0293077056849627,0.015629249302989104,0.0037704248197939112,-0.01480577661386906,0.018699011285437064,0.011641675613715508,-0.0226744568866098,0.03956570809816012,0.027258050560246674,-0.05918893808812128,-0.005042319512876988,-0.015543299826762978,-0.025326797798384214,-0.003750883985250145,-0.0072953202304958395,0.02465367096410035
16,2,-0.0036114230402607595,0.03491634655080056,-0.051603891567392236,-0.0077667191011379965,-0.000603465000807001,0.016084241215117614,0.030131456834500053,0.021658676033136436,0.02913637844307915,0.006171508838907163,0.00574151943203274,0.017334830942479798,0.04534452267282158,0.01122016976943704,-0.03260010470937954,0.048889956766414784,-0.0037360893810160097,0.012318885125162334,0.014346409163835389,-0.015286344803726783,-0.050734426706268744,0.0014466282614929913,-0.07256803261329653,-0.019637683625309998,0.03735275077678706,0.04113811622087351,-0.0025426162857586586,0.013938825806907829,0.051430657780843485,-0.07605674124455068
17,2,-0.0031334769464335726,-0.006679832327722367,-0.0661742998329872,0.03652327850979467,-0.005928139213302713,-0.050418538077013006,-0.04193324393002785,0.01363304699806886,0.03456567449296094,-0.12305150392489418,0.01753644765750192,0.0035770301256983035,0.03444438104119816,0.031371023334830384,-0.026738008971343978,0.04813169981406064,-0.002805521111000958,-0.017065098425444482,0.016448509781322906,0.0338463538770628,-0.02540991871912218,0.020751346731383548,0.01417802976751769,-0.014873154691313265,-0.008116174535623438,0.015500367136635365,-0.015253998246158472,-0.005973467798441491,-0.007920981800702267,-0.12759691238386817
18,2,-0.0031334769464335726,0.000975023079531287,-0.06299614948516223,0.02860871807057752,-0.0036942753542727053,-0.05530631700073909,-0.05384937840360817,-0.02237634773752281,-0.0035164511657663666,-0.035565300090565695,0.006624656482072594,-0.02578851242173083,0.030958436400016977,-0.003934156828375002,-0.02894234959015325,-0.0968737378877232,-0.004318156957200488,-0.0157330539533544,0.014348793368666615,-0.012609255931401397,-0.0294260359299907,0.02136018065756894,0.013338338254811781,-0.01687965894370641,0.001975487547632375,0.04486001307326861,-0.010482037937610555,-0.007216070366451964,-0.028778564713271705,-0.15355589136033768
19,2,-0.006340146217458984,0.006244964893041879,-0.06047741125727845,0.006488862095611354,-0.0023430316911811537,0.02171930767970239,0.014110406458300079,-0.007052793717686047,0.1006705363132192,-0.07818101852097109,0.0004175869027272563,-0.025957630614710174,0.038685245772538936,0.04430281459008529,-0.027331898432397337,-0.0010803991243579923,-0.013890615198471862,-0.01787751490563972,0.017577926926672267,0.02244493155179698,-0.010661904990272753,-0.055732896307760266,0.0007211233152576562,-0.0088468306535741,-0.005788587559519557,0.016289769053115993,0.013817843565806991,-0.0006919488925170201,-0.0047878206348424875,0.06641210939291595
20,2,-0.004070790616971253,-0.008840453496823613,-0.07042761470226244,-0.00044054440751227985,0.0005363925725726847,0.025565754607775548,0.009215302989714737,-0.0029039178461334296,-0.012983302145432911,0.010545597910088042,-0.054646477213454454,-0.0077917010571245,-0.1682357163093227,-0.09014299429174114,-0.03481078979542372,-0.02642367072608874,0.004399191743569692,-0.016742626111492985,-0.018804562860971322,0.012462546144766282,-0.029509313362411575,-0.04906011688949559,0.014792654179647745,-0.01510949497790095,-0.010749755611043504,-0.011512701750902129,-0.004125303311837272,0.007786835841354129,-0.013744938617143886,-0.0064993650237626715
21,2,-0.0036114230402607595,-0.02123023823159429,-0.0680081378303013,0.009504154012391994,0.0002129472741170407,-0.021478557777960674,-0.031826269616358566,-0.002067843220283492,0.02438745147307436,-0.11429134106069613,0.004223745051725405,-0.016217134115695208,0.04320778312119875,-0.0011581197747507776,-0.043315226015910445,-0.07215880776231548,-0.0034968839007598336,-0.02091242042309885,0.015682735248981946,-0.01558065957047711,-0.03305066591512005,-0.007295926071554556,0.021679812952221027,-0.01645925465550381,0.028656420135085306,0.029588227053980627,-0.00990348947889857,0.005773034009819499,0.014993579536037225,-0.07482899027456692
22,2,-0.003195885164484764,0.0025956424737165634,-0.05776179765272693,-0.0026305575895415423,-0.004546803751292286,-0.005394258538210089,-0.049971484694501765,-0.02180289210284429,0.024000905814790262,-0.11858339843960168,0.009142504681119427,0.05808313315482729,0.03729461121317272,0.02560375464288128,-0.02794314370141548,-0.10855812459072381,0.005532548971861521,-0.036683615601000225,0.017448070161436867,-0.018555620193490246,-0.03119224633064386,0.047789330914697364,0.031503283561881125,-0.015376923278734375,-0.034137192438700094,0.0012567835039360982,-0.02052491891633302,0.00018507715644217138,0.007878771198390713,-0.10645962130478206
23,2,-0.0036114230402607595,-0.02094145929833295,-0.05521917459217821,-0.006423353404588498,-0.0005877805403082732,-0.010875551006887002,0.007332950628088555,0.04795319651321186,0.029147621238441085,-0.08118271766728048,0.005855922505433675,-0.05741438402524619,0.03603925380611403,0.006364326464650851,-0.034207337342660835,0.06689669089229301,-0.003311487685705943,0.011109654544462179,0.014357519369988,-0.015289945764885442,-0.04793560357759042,-0.035764112994676404,-0.06635240913650067,-0.025582129852678253,0.03726139057153335,0.04029637819302726,-0.009992636105884852,0.0007864782591699304,0.03781549554558033,-0.07224717218605305
24,2,-0.0021565163139379063,0.03479508039664577,-0.052310467190357375,0.021415713635934048,-0.006505770771777247,0.04411119654291247,0.03936277384856365,-0.006239136935456054,0.12599128806023616,0.07314383059447482,0.03563376145583712,0.06432544524981128,0.06472844700672528,0.02502307205833318,-0.022472026126369987,0.0064288998226199445,3.739375447559025e-05,0.011852329018432108,0.023092706214068674,0.009897182604971702,-0.016106073210898016,0.10398227646820568,0.036247464063954474,0.1237718166951909,-0.004346627145197824,0.02663998905384473,0.005140960282905332,0.0013143967746643143,-0.005783184127424106,0.10439357379030138
