f_id,i_id,ic.eps.ratio,ela_meta.lin_simple.coef.min,ela_level.lda_qda_10,ela_level.mmce_qda_50,disp.diff_median_25,disp.diff_mean_05,ic.eps.max,disp.ratio_median_02,ela_level.lda_mda_10,ela_level.mmce_qda_25,ela_meta.lin_simple.coef.max_by_min,disp.ratio_median_25,ic.eps.s,ela_level.mmce_lda_10,pca.expl_var_PC1.cor_init,ela_meta.quad_w_interact.adj_r2,nbc.dist_ratio.coeff_var,nbc.nb_fitness.cor,ela_level.mmce_mda_10,pca.expl_var.cor_init,ela_meta.lin_simple.adj_r2,ela_meta.quad_simple.adj_r2,ela_level.mmce_mda_25,ela_level.qda_mda_10,ela_level.qda_mda_50,ela_level.mmce_lda_25,ela_meta.lin_simple.intercept,disp.ratio_mean_02,disp.diff_median_10,disp.ratio_mean_10
1,5,-0.03735100862065934,-0.04346880124652825,-0.03762528785973196,-0.0036289256759810006,0.027313267641572478,0.002504805676019248,-0.05968995025987083,0.0024441738481484955,-0.02090185408113488,-0.005385025747613828,-0.013236283767378041,-0.0024828022018668584,-0.05871741018283308,-0.010868983780347296,-0.11077626074475615,-0.07515604261660465,-0.03168454462554865,-0.0043186068494651215,-0.011436441526801526,-0.004459732018468237,-0.08477022952302792,-0.07343354754274152,-0.01832822159229935,-0.03293738329934371,0.008577068082286525,-0.04993325569103634,-0.0017313216898746714,0.0030023627130009,0.01785872873598869,0.0050448536472589255
2,5,0.013441862749453082,-0.06950739402902154,0.10181983649721778,0.03340978510302593,-0.007317934808483651,-0.020377436448092253,-0.006603542093237062,-0.013286975458454326,-0.06755732500820143,0.03248674350515865,-0.021025115234771605,-0.06933609612366078,0.07443940772327673,-0.05800648256327848,-0.08228439567735275,-0.05058631287329286,-0.012910983365734114,-0.0008188931697266,-0.0121412874318842,-0.0032033363432334198,-0.061369396832161666,-0.06660815211322979,-0.039676035200188906,-0.03646386468625937,-0.041081902204719266,-0.027277312020934055,-0.007326630661936467,-0.01853665414005077,-0.02085198830357478,-0.03917409411040035
3,5,0.002037593743206771,-0.04173596330272665,-0.01956555809743627,-0.0007642268045393939,0.02201578024219874,0.007776193897062987,0.06175542345645377,0.019711823518764448,-0.005822440574895999,-0.0011171063029974779,-0.026367566850120438,0.0007208725824439086,-0.0075184708012479996,-0.0038323636246325498,0.022423873087860646,0.021294856749098395,0.02976171514518773,0.005370738467880188,0.0008774873803525721,0.008874727807437165,0.030864820240963393,-0.0391486833454756,-0.01612950451178577,-0.02936015308574998,0.0034790613677536226,-0.013068541301399016,-0.01056691113662412,0.012818533686730431,0.08822841333479518,0.013777112298224151
4,5,0.010140266897732507,-0.048048632441783604,-0.024253690180612884,0.008463827119856283,0.025376712197458393,0.01595376584958669,0.03227728083123713,0.010413997427143459,0.007373971204173395,0.0022504914289798996,-0.025303897947678455,-0.019929417057674162,0.023639103187137998,0.010112865780486712,0.03348205659969948,0.018987500985249636,0.0028586170206073105,0.00898164732889593,-0.0014956160319568763,0.0033226736990536326,0.04837384421687379,-0.024154227882148504,0.029881621397767476,-0.07340468141183445,-0.007102807365562034,0.11496004550777221,0.024759804251369574,0.00953803697678361,0.05496883285830468,0.01634072814743312
5,5,-0.02940848021082128,-0.05599410945998865,-0.03728230943512674,0.042826806431220346,-0.0026400099577289214,-0.00937542123925433,-0.04292347461829349,-0.019653608892619395,-0.029879838680306407,0.03040596801160047,-0.008160129324439344,-0.04847193469786257,-0.03944026374972408,-0.04796032525079142,-0.09795208155400656,-0.037014180266935384,-0.0022007195945100183,-0.0031349293220349086,-0.009071716777024934,-0.001900501199604924,-0.03995714409859532,-0.05562374027696562,-0.03912954472219829,-0.046532728226685464,0.004308473388926638,-0.06344079208118866,0.000536441978474154,-0.016529269507472265,-0.02260189365655216,-0.03020806949502956
6,5,0.025545541095790193,-0.04057231457766665,-0.02919570894707874,-0.004070046681177575,-0.015981891437168695,-0.032892707095548916,0.022033947347257613,-0.03665486518870443,-0.018126864299695872,-0.00819044131771814,-0.0006146848416908454,-0.04656414430572534,0.009000496805806118,-0.01680846728303431,0.017534886335816652,0.021442199495996156,0.013881732020616499,-0.0026439105630627338,-0.012453840140416728,0.006485118201284418,0.023693766135837842,0.01938509579476429,-0.029816957188283155,-0.04069196176369983,-0.00035541070492784614,-0.023323473325603777,-0.0003895259832430905,-0.026740114055961207,-0.0665918139367835,-0.03956905338056175
7,5,0.012920195944190473,-0.059089720007636085,-0.0365975683994798,-0.025078928407737493,-0.004782827971873988,-0.0142896285913399,0.013530693637609057,-0.038792896362027096,-0.01955491351123757,0.10762935766739029,-0.02255233862432375,-0.0588797643804114,-0.01713073167150774,-0.007779019738941053,0.015723293762899118,0.0376950798735715,0.004956511235317627,-0.012808258533440774,-0.004207544983857372,-0.0029247238586424503,-0.032836164963541616,0.021798293680106447,-0.0358494916838874,-0.03777061686596873,-0.002542677021846235,-0.02152523596527185,-0.0023862396776128565,-0.0192987761468808,-0.05780148061102263,-0.040568917947130814
8,5,0.008897944001657882,-0.03431201945511108,-0.024791707673630568,-0.001639840538133079,0.030162047554193955,0.011332174489953462,0.014381357840613071,0.013511366125362844,-0.009637343564943883,-0.003132760384374382,-0.009026282233023103,-0.01515683824474536,0.0019559566493031868,-0.00650288307040183,-0.1126019645292763,0.016690579684905088,0.0007442785389940019,-0.0016122836631973407,-0.012093213393271374,-0.004051985777223024,0.03119833667549137,-0.012089477448700677,-0.013088618017697718,-0.034783240263750806,-0.0013577578823638701,-0.017200309108124118,-0.0016708665784177042,0.012808153433023958,0.06703844277986373,0.0029288021366993813
9,5,0.012570316785944632,-0.04730215646783649,-0.02540715674273246,0.00109915582828928,0.027555540353365292,0.011751912831130187,0.010213069229106999,0.010950803384666172,0.00765008243955823,0.005282870732183468,-0.016678783025425793,-0.005013828185772156,0.0053049601117780235,0.009410392669563268,0.03089252208133151,0.016346620706142533,-0.0043923624813041965,0.0008639204620538646,-0.00187645938897751,0.0034486206825080066,0.041626906749864086,0.02362801594803895,0.03217849848246854,-0.05607155783771016,0.002921994614770587,0.0007952520888007426,0.0070465359070883355,0.0031278617941476127,0.04727493313510076,0.010430860472863684
10,5,0.020530037780830342,0.42023714840910464,0.022510453656469104,0.07606912501703363,0.05206378832184655,-0.0072870193543566495,0.004269038095619787,-0.0025282282674236427,0.07218054604949911,0.10474328893735364,0.002023397932716084,0.0668605318208789,0.06736941500067874,0.015669907639587692,0.027442520172742735,0.041325550667052985,-0.0059341561048713385,0.04854446132021832,0.09816082445408392,0.0031334772550787827,0.06497271124920391,0.06871972322046474,-0.0062701711729322455,-0.027084420166659132,0.0021895400850535747,-0.0012642122324875201,0.004424859559557542,-0.013068616943386173,-0.03698639157776742,-0.03078578701828229
