f_id,i_id,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_02,disp.ratio_mean_25,ela_meta.quad_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ic.eps.max,ic.eps.ratio,ela_level.mmce_mda_50,ela_level.lda_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_50,ela_level.mmce_mda_10,disp.ratio_mean_05,ela_level.mmce_mda_25,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,ela_level.qda_mda_25,disp.ratio_median_05,nbc.nn_nb.cor,disp.ratio_median_10,nbc.nb_fitness.cor,ela_distr.skewness,ela_level.mmce_lda_50,ela_meta.lin_simple.adj_r2,disp.diff_median_05,ela_level.qda_mda_50
1,3,-0.04306729797235939,-0.03616062587620036,-0.05869476019386878,0.011699035882459064,-0.000290887254417114,-0.14742206927018808,-0.07537325168259962,-0.0342263003148132,-0.03079983693312196,-0.019880193533086774,-0.01363504784356295,0.000144482902164443,-0.0117632018539048,-0.007599502320600289,-0.03280611133505594,-0.0030461634500287154,-0.010340582170441372,-0.00769237189697448,0.010754370645552503,0.007069254005200866,-0.0072154461292615974,0.008185672485011567,-0.0030051601819566565,0.005908858827500647,-0.009497719913798925,-0.012844516917356672,-0.04338238871438702,-0.06097747963424958,-0.009368579420488627,-0.005422799640875227
2,3,0.2404806053919484,0.10307553962435737,-0.038861256617927616,-0.005533237638548765,0.028842140898184196,-0.11711430869680693,-0.06084181960416702,0.028900802342676026,0.04812662451812279,0.08531607823039697,0.04627328847630158,-0.003881224305585719,-0.03597384863125688,-0.005716414935793886,-0.03893531654900915,-0.0238354212185616,0.034887144021098444,-0.005658595750092614,-0.004827034150765031,0.010230640993610162,-0.00219235206197253,0.013088589838961702,0.016675397981016006,0.00945760069844766,-0.003926111456631147,-0.04900469883818983,0.022135956154625033,-0.04504653203028804,0.017762514440160238,-0.01583955974429983
3,3,-0.04128459577561319,-0.035453001117323475,0.004373699445960392,-0.0513226126603596,-0.019975665654066888,0.020252187944650557,0.005145232102521614,0.007736584112446831,0.007525921354841873,-0.014679383498464692,-0.016537339644383746,-0.005040657341067377,-0.009019663615152338,-0.003228149227257585,-0.0363162281747469,-0.03152963033296366,-0.008070299431860446,-0.00963032604355537,-0.005220573507952875,-0.0523808825071241,-0.002271809813464699,-0.030386986033483488,0.001623816691111459,-0.013731586501911822,-0.005229341854065677,-0.010219465943167347,-0.020794541936311844,-0.030819952707405833,-0.04677955010962522,-0.021440881677844074
4,3,-0.022376731065610337,-0.02872451794243334,0.007854728332590759,0.018936072918520886,0.01102786467941236,0.024164712127221304,0.007515307251396251,0.00784947265721692,0.01270717584244177,-0.009371449665104394,-0.002076422629718413,0.012531460105391991,-0.0047462862950762835,-0.00505829833361604,0.010977643186370921,0.01990342451051077,0.007255690403297871,-0.008874761583380726,-0.015440577535599664,0.029119850286433747,-0.0017703517301727164,0.027954871683908856,0.009232437475716455,0.011708920792018495,-0.010310450382576941,0.0018881722717718579,0.004773023750455124,-0.013019096542091962,0.012484199029173785,-0.022587418232474617
5,3,-0.0660429562234855,-0.03660774811426153,0.06304072214754436,-0.04739497036170824,-0.018053785886010372,-0.14694024124310026,-0.07121918363513671,-0.048761862845338955,-0.03302034290207878,0.04519176131710747,-0.021553445420388888,-0.010697520823605176,-0.0011819553877632388,-0.010504059523548678,-0.08729266678596624,-0.0374420878188734,0.014767924364291408,0.005212728811730792,-0.012914455425873878,-0.02372699918295769,-0.004860894015257239,-0.01226137800797065,0.0036453468547497543,-0.00827428902063423,-0.01311692593853238,-0.034081322941173005,0.0071032834434785665,-0.07628134282497503,-0.036716189584201336,-0.016889948124762147
6,3,-0.041980400512299905,-0.03404873155919396,-0.029321729375260893,-0.06553218107881074,-0.04622271210264341,0.01614639953335339,0.007947100198172529,0.0012024566681727014,0.0016253260775697961,-0.01811176821688191,-0.003968480575240612,-0.02095249748364265,0.08777198813401647,-0.005931607534109378,-0.04961119446733548,-0.034863580517876934,-0.008791481879085326,-0.00763392149340402,0.003491163884908658,-0.053794083706280554,-0.0045162533274510155,-0.04466889960912625,0.0025355608954477516,-0.015588344887693926,-0.01006488508353993,-0.004827206387621638,-0.021098386567067372,-0.03893983330431541,-0.06312192935060984,-0.0020479396112982363
7,3,-0.04883134032628081,-0.039277041964462134,-0.035142398552555264,-0.05904608671360826,-0.03770605620626225,0.004557001986680506,0.016745245089604743,0.007725578684940266,0.00037752160891221293,-0.021866431608241896,0.04347472245619927,-0.033057173385154445,0.005359307341338239,0.0036655056619792595,0.014090721119336897,-0.022898504843352676,0.0025507962911619267,-0.015793188133550767,0.006205303862410148,-0.0364452350814711,0.010741053887417655,-0.03473907928958473,0.007643946951845029,-0.0031498306009986425,-0.010841230926123466,0.018326967611002536,0.009959408029693438,0.008806825958991784,-0.04998726544515886,0.008578813476751046
8,3,-0.026563775436691146,-0.024792251151971867,0.01642001751786122,0.024388526184758706,0.005828930500713174,0.013060582298079217,0.005930661711817586,0.006081802507213949,0.004142089646441171,-0.007086743430781705,-0.007460000713188464,0.011844723188452916,-0.01054246551984006,-0.0035718520524915076,-0.0071073730696127125,0.009600396328816228,0.008987982888027098,-0.007120136487606784,-0.008082406787333594,0.02900404402361499,-0.0073161312646605435,0.02074043756945536,0.005358785712281922,0.00800001477886542,-0.007477832315637804,-0.010886955489353787,0.0029731704189945285,-0.007557807600220667,0.003923127731465773,-0.006886485524062996
9,3,-0.030098329145472304,-0.026108260433837786,0.0033191821232907933,0.020865099675129357,0.007284679885702851,0.004802506507525448,0.011741542898112425,0.009496842917392497,0.008354924330001914,-0.00800979884913744,-0.01700606254320846,0.008817237835164924,-0.01069716686869477,0.002841201383215319,0.012737448508658974,0.006603398605132993,0.006584614253497103,-0.008591766477180119,0.003064407136391499,0.02959861206722352,-0.011817704887569853,-0.002196148073952929,0.012348704032966938,0.007646570095492459,-0.006923385352917287,0.010134530639605675,0.01025536023410111,0.015460451365176143,-0.00442757535718771,0.0034104332116323827
10,3,-0.01959041629834464,-0.027243256560311725,0.16818062235780634,0.06571485646309794,0.09118069124888768,0.038742503465603206,0.018939140710826873,0.04954901998992521,0.04293329462099146,-0.026868902936866865,0.17318482146141495,0.0036393969245122827,-0.01020658003100118,-0.0022666984526856664,0.03246992759582543,0.04966651140788902,0.009761793853518384,-0.01626757397441985,0.02136425335809794,0.024385184889947835,0.004831318410497121,0.08310215938596828,-0.0013956453251798696,0.018567897705826994,0.014438992624916816,0.06263924993752847,-0.011560965981721004,0.024743609435548725,0.06538873434161366,0.021633141767964117
