f_id,i_id,ic.eps.max,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_simple.coef.min,disp.ratio_mean_05,disp.diff_mean_25,ela_level.lda_qda_10,ela_level.mmce_lda_10,disp.diff_median_25,disp.diff_mean_02,ic.eps.ratio,ela_level.lda_mda_25,disp.diff_median_10,disp.ratio_median_02,ela_level.lda_qda_50,disp.ratio_mean_02,ela_meta.lin_w_interact.adj_r2,ela_level.lda_qda_25,ela_level.lda_mda_50,ela_level.mmce_lda_50,disp.ratio_median_05,ela_level.qda_mda_50,disp.diff_mean_05,ela_level.mmce_mda_10,ic.eps.s,disp.diff_median_05,ela_level.qda_mda_10,ela_meta.lin_simple.coef.max_by_min,ela_meta.quad_simple.adj_r2,nbc.nn_nb.mean_ratio,ela_level.mmce_lda_25
1,4,-0.07926496619318325,-0.19429980545591974,-0.04342786967422274,-0.0028721152683102162,0.003146665805252004,-0.030089842363008993,-0.0014020005847986286,-0.03628395371011995,-0.010872890887904807,-0.024319264385175555,-0.012506183819903666,-0.0051129207865089005,0.0029330112881221625,-0.016899414259359494,-0.03721309093017334,-0.06180627339904999,-0.03288471022667885,-0.010566704036816175,-0.04197097420466438,0.00700663424950686,-0.004929948253808518,0.001604243814966318,-0.008495864978076346,-0.041128662281384086,-0.005706656010682157,-0.02549320682926877,-0.006564421521949425,-0.06836988326581706,0.006453342033340147,-0.02776433392503552
2,4,0.07843911436369541,-0.10123523480663217,-0.001613198122312839,-0.0597924868909252,-0.008002683336573916,-0.0219573457459826,-0.00805936273627052,-0.03536177774077754,-0.07653038098050202,0.021903066544837525,-0.00851733937619266,-0.014839683213071936,-0.013933217549747249,0.0064203592664070245,-0.03516024133078005,0.026468113725236577,0.12224062378281343,0.07882004759262685,0.015123228574835295,0.00541587867133458,-0.007022101671404715,-0.04476487694789428,-0.007931062124875248,-0.03406571507655754,-0.025588248009355254,-0.031734626348888,-0.010208397895127366,-0.04645158055526726,-0.03187393487423653,0.0066101985845098315
3,4,0.030532471421384846,0.00565442428137132,-0.026804114034470382,0.027171328833473046,0.016314694209907755,-0.035106638521426266,-0.008994942833281552,-0.037324206164850576,0.020763266142546834,0.009560768255645601,0.003331027638330674,0.018361338625360973,-0.017060749176256825,-0.00446194156280528,-0.025972603706766448,0.022779654182841256,-0.01660545756659065,-0.0062476087863400625,-0.04104597696906174,0.05584256424114482,-0.023538851590287173,0.03581088504648791,-0.004990360627781235,-0.009036444043554909,0.03835144161147066,-0.008669029660270748,-0.008605711219463732,-0.048602313046606296,0.005756625588066676,0.003039648087176231
4,4,0.042099256124641736,0.0007808498544696877,-0.02457048578686902,0.02897205993769599,0.01912239161275924,-0.010945605637813662,0.0017069567027403994,-0.03455027823126447,0.02844649907374945,0.01298222419245919,0.005413723707382517,0.014204117912874285,0.013475098874127876,-0.012103971099877419,-0.028910957345105515,0.021211415473831974,-0.024469589502305693,-0.003742393869305662,-0.020477702997014135,0.05281695262743983,-0.020534188131291764,0.03868631571954663,-0.010827069030815603,-0.005837830253539439,0.04444237973513772,-0.018040095884747424,-0.0105902505167146,-0.019653600834139667,0.0020415476716697085,0.00843294270313559
5,4,-0.05172713374609192,-0.12670466953824355,-0.08109946968054262,-0.027882558827119066,-0.008103260072269358,-0.02207930591721741,-0.009178333304278828,-0.024540204481375515,-0.023060016482657115,-0.014416858160513073,0.0014051458833907473,-0.017944560944821573,-0.0006146879846250239,-0.01668471668447584,-0.036100101201323835,0.022638530584700247,-0.02348205955590526,-0.002375283050977165,-0.038988983000149684,0.006381331028320813,0.011840978016165024,-0.05267816063603726,-0.0077086347037582355,-0.03669398558491153,-0.01770054229823958,-0.028970746534329694,-0.00028597813322579313,-0.1198955742551464,-0.020143982053585075,-0.0010381122038485967
6,4,0.01872350730141232,-0.0029199482575245116,-0.04993732616056352,-0.05445642340942408,-0.015763263474279216,-0.01685954128704592,-0.009551665442782567,-0.05608846478844468,-0.03888109480193658,0.010530503244781563,0.0011700258098972256,-0.02312619348227333,-0.016301364795898006,-0.00460775697044357,-0.030426239673166402,-0.04320381846232945,-0.012042051080138618,-0.010596457570461392,-0.04453091756102234,-0.02321423580064548,0.00428439484382569,-0.04805729870975938,0.0008794240941759631,-0.01679340119228959,-0.02920539956525739,-0.034286864317153054,-0.013327135377288694,-0.01568095329129404,0.006241909452085582,-0.01620460832121678
7,4,0.01948680760112298,0.0018756687935188874,-0.05238752702150399,-0.05780362422200725,-0.012243913407267432,-0.03601234027451577,-0.010322011215044634,-0.05606272083832968,-0.04598222513617231,0.005749970793206258,-0.0001055799351279003,-0.02568704681626495,-0.035331121375155004,0.005509287210453396,-0.0324176768177175,-0.07698409459219728,-0.020327057962816517,-0.006465134604486923,0.011184221303395164,-0.020970561773374766,0.008419622421568572,-0.05689694172431193,-0.005475147581652839,-0.004076516918106482,-0.031204743131156384,-0.03138628992407009,-0.018755076190949804,0.01017104953381945,-0.0003215413241450972,0.0029020146181851217
8,4,0.03535208921610585,0.018384268025471065,-0.031139534268370146,0.008876056546219301,0.012197923770098366,0.0008392155720811242,-0.0016680549690659544,-0.02236780155887926,0.003701837490507127,0.024244552721635657,-0.0037654456389617113,0.004234197439892803,-0.00940698026677174,-0.010421590096882514,-0.0272824964373343,0.018995503788798388,-0.022077950266085607,-0.006152260391900408,0.012192988448242306,0.014691183578149108,0.0008221404905194579,0.031869629962488315,0.00793638432545126,-0.008561202642475617,0.010292360895596412,-0.002373490154787446,-0.014744328535707733,-0.02662329074627697,0.013097055173842912,0.0029212645237969826
9,4,0.026054130475807222,0.050110761460734496,-0.026757975386295645,0.006769196969555144,-0.0007894817901556798,0.003585537059051643,0.0004288440335374327,-0.021614062801328122,0.015439358911708525,0.012954826665689739,0.00045050610403408477,0.011610597409798728,-0.01195313934706975,0.0031377554073044257,-0.02104351983809467,0.0301282899145369,-0.01919925878451896,-0.011935540036390009,0.03035010817484409,-0.01561640796500655,-0.0006750170404674236,0.04453999471970461,-0.018359913976557632,-0.0077722419176060155,-0.0138795157424832,-0.012801049618719767,-0.01647785452911307,0.014362879390857048,0.013221361491731087,0.0011565597190033648
10,4,0.03402976701137808,0.027981547240928564,0.5680535497742857,-0.042473672969826536,-0.010193644167955228,0.47277076027199966,-0.0024479915406039232,-0.056757392970734136,-0.06290621340604367,0.028369165057177122,0.0009187936480782161,-0.02068385329939027,-0.015532551136812968,-0.007926006177222725,-0.011961766425075356,0.07764224717215745,-0.09026766871743598,0.004200233113937545,0.01771477950852911,0.0084236609874879,0.0016330143125808966,-0.020769283491251535,-0.003998976148986462,0.05247100382456867,-0.014745925190531643,0.47463276981129626,-0.0433005736369197,0.02294044527265873,-0.005569505104460452,-0.008136916203452745
11,4,-0.0062849574761554335,0.03443837059015823,0.5178797065430445,0.04748803148255552,-0.045041279048625676,0.028377156683403074,0.024027123040439476,0.05648721413884936,0.015497829977478197,0.060794729892408465,0.04594321119462966,-0.0011126409315025598,0.12290783902351703,-0.00701208170726563,-0.006521849309544448,0.12224026051613156,0.3717496551652774,-0.015827128570312,0.03319520764266395,-0.030955686924193104,0.0035093958163035146,0.0012314445808683627,-0.032733791431489294,0.14820263163655467,-0.011242822174932453,0.10119744524693884,-0.05608855568232454,0.03197586542840856,-0.03651786575069539,0.004032241689073916
12,4,0.04596590231403942,0.02742644425380804,0.19319143545573667,-0.07840460392630555,0.005141001458795896,-0.028830115498389205,-0.0010078348295612639,-0.1558977754281487,-0.08105744162699498,0.01703488697239226,0.0017437854358467195,0.014021833754464894,0.006469229270312124,-0.01259502748838748,-0.00476672690893203,0.005437775915317904,-0.09410923616054993,-0.008395346297418494,-0.037473255720260924,0.049165398049021876,-0.008093677071679259,0.03790979751577007,0.0036109544977354557,0.06234536231370282,0.029982794361442886,-0.0201356868017437,-0.013928464732285381,0.04004344070012903,0.026133633490386315,-0.0182112100153889
