f_id,i_id,ic.eps.max,ela_level.qda_mda_10,ela_meta.lin_simple.coef.min,ic.eps.s,ela_meta.quad_w_interact.adj_r2,ela_meta.lin_w_interact.adj_r2,ela_level.lda_mda_50,disp.ratio_mean_25,ela_meta.lin_simple.intercept,ela_meta.quad_simple.adj_r2,disp.diff_mean_05,disp.ratio_mean_02,disp.ratio_median_02,pca.expl_var_PC1.cor_init,disp.ratio_mean_05,disp.ratio_mean_10,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_10,disp.diff_median_25,ic.eps.ratio,pca.expl_var_PC1.cov_init,ela_level.qda_mda_50,ela_level.mmce_qda_50,ela_level.mmce_mda_10,disp.diff_mean_25,disp.diff_median_10,ela_meta.lin_simple.adj_r2,disp.ratio_median_25,disp.diff_mean_10,disp.diff_median_02
1,1,-0.0780286550736103,-0.025115976266834428,-0.02725719024210005,-0.03837429619312005,-0.10199828780228451,0.02092811382372275,0.006236113124379218,-0.002244874269534694,-0.005872718070823001,-0.0768529050943157,0.012433710790366084,-0.010662891003528048,-0.0055717219188581605,0.007989758669934195,-0.003207108628332632,0.009769973064670824,-0.01477306033596708,-0.013401622305205573,-0.005141147833206566,-0.03221909638046343,-0.0033992717624468935,0.019190000876746504,0.009109557341515952,-0.0014897571133789594,0.0017320752532193086,0.011123866292745303,-0.000953872074359483,0.011637992800155785,-0.006327693333258224,0.01124311102018995
2,1,0.0666610080816753,0.14764301339393987,-0.07921644392522817,0.08978916288216075,-0.11069491919275806,-0.0699508293160278,-0.0128620611278514,-0.03980583494861335,0.0507084111692168,-0.06647731652174797,-0.019337322777085948,0.0049592155560748575,0.02096937628316465,-0.04973188223416956,-0.03548569100200484,-0.019214102899715327,-0.01057534377489982,-0.01647917807295041,-0.04767044028737875,0.013730311507194646,0.006161581290726455,-0.04205497513343499,0.025159825156741162,0.22965755398214946,-0.06545190880103714,-0.029285317639047397,-0.04456680790863119,-0.03315636329518146,-0.016323759930143428,-0.026089938362296203
3,1,0.07102915359623413,-0.014840115633666651,-0.017400148440772444,0.002561298842542108,0.028653073604618107,0.03749565978393822,-0.018213161892072328,-7.881385766293856e-08,0.01888849250989696,-0.015172137030380652,0.025168002394323076,0.02038067886909496,0.01767420561157117,0.01645082028422246,0.01008065441631488,0.029260670793906755,-0.016942831498878486,-0.009408969748009716,0.006385768397347853,0.04245781617243485,-9.920208309260115e-05,-0.014064535972755596,0.0016566172114789548,-0.0013088192474825118,-0.006584435666789851,0.024573004810173306,0.027541228340373054,0.002355945759228058,0.022780912756023147,0.02891542683391107
4,1,0.01166239271501694,-0.021259609665384302,-0.019148624200307735,0.011909609992889269,0.02650176232272007,0.026291470849897577,-0.018484606134094608,0.0016386767593469802,0.004949616710795149,0.006296476138955018,0.020458801171197114,0.022837803185765115,0.020806229665499068,0.02063743861275908,0.007706487184837489,0.02204708335194099,-0.008406530225246452,-0.003940455983278963,0.004335582120669014,0.014855494144018202,0.005298481308717863,-0.013678362209600711,-0.006535336317002825,0.001498365017810262,-0.0073400581395275015,0.022029716282243775,0.03033354269923106,-0.0065452120536760045,0.021840142369849453,0.02027142959234475
5,1,-0.11230105607942363,-0.055770019823137534,-0.06442550843667473,-0.04041619403794176,-0.07854365761104241,0.007290147724341137,-0.010308390824346304,-0.01600330247702183,-0.004867734502292001,-0.07359503124822434,-0.02037909300306136,0.004011079998507771,0.0211449927978628,-0.04423228278280096,-0.03357733103970615,-0.019414995640286394,0.000896796898286612,-0.011941160983056072,0.005183037873588279,-0.023258735768078152,-0.010168823849731654,-0.031425475035219766,0.021703469014606222,-0.014958757822693578,0.0065618434494085645,-0.0224180850784056,-0.04040679672676666,-0.003377505027228317,-0.017521357550427805,-0.015616246556216549
6,1,0.0093862863866349,-0.032320837007413006,-0.03914901960774452,0.008233489185579722,0.021475379181041296,-0.015986146262921167,-0.007405560322493629,-0.024561276858604226,-0.0015658202552790317,-0.0010466873412887747,-0.024878435565021836,-0.015726537680244755,-0.006853255158949425,-0.025135235978473423,-0.03537961693699048,-0.020174286324269094,-0.0019584718278086452,-0.013603944725853764,-0.01707959971506114,-0.0026913251314624478,0.01295022282675125,-0.016270183053710762,-0.00975309596620753,-0.005053938582125241,-0.02556835887363589,-0.026035867426304763,-0.026196385394321942,-0.025446612730630036,-0.02540529711308252,-0.0449475018872691
7,1,-0.004138490366312854,0.15204712273955615,-0.03870491929034592,-0.004331555508466136,-0.023416568529525027,-0.005441038797677241,-0.0068750428716430455,-0.02306543988159322,-0.00741599158158337,-0.005000377887416631,-0.022783742621922617,-0.003521306972155932,-0.0010886116488124913,-0.021988581836212696,-0.02807716543480504,-0.013574917850930809,-0.009147353776355087,0.010856331552288824,-0.02475769716439128,0.003682928494572347,0.010655949609100634,-0.018929442303315336,-0.007860856426126476,-0.005731162901826902,-0.04402998269952643,-0.02828409694490089,-0.044671384125880106,-0.029956155570454387,-0.01906843170858129,-0.03814084958494457
8,1,0.014570257689124098,-0.02191408202891672,-0.037094647719514644,0.007986808004005013,0.020098399848704526,0.021265547400477175,-0.01274933294989926,-0.0005527850454374072,-0.0028396404984702686,-0.004038225258172228,0.018846161963124893,0.012265253201004656,0.014444599931013482,0.007806387843282689,-0.002442491215872643,0.015347954390163957,-0.01979736239138416,-0.010815353146953685,0.0014979864102055574,0.01185870231830301,0.009495937794147513,-0.01851205410918622,-0.004594567618869777,-0.006254203466208103,-0.006163752112769184,0.010256619055574779,0.011345384314752075,-0.0021259871933335863,0.0074724313045691285,0.01751592514793403
9,1,0.005299092549934523,-0.027119842150092933,-0.02960864624792661,0.009813860895417999,0.02017202362248814,0.025948499835281916,-0.01483433748982969,-0.007772186208830272,-0.0062567458599224485,0.00992287711259695,0.020292663964544218,0.017212969542993343,0.017339689984989748,0.024496432241294514,0.0002207323700421346,0.010780560217445608,0.0046344867921649935,-0.006794834326025282,-0.005380712003440629,0.010295328510332775,0.0038803564713367714,0.0037746903935548296,-0.008845710978786997,-0.0035356857682018457,-0.006906565484714067,0.005298745263718829,0.01672125135701302,0.0011648340029841563,0.004365331739122214,0.026434472685531275
10,1,0.16818522689984594,0.6425073841117365,0.4358855080812831,0.14346463481389443,0.03434224896082179,0.11410254303156649,-0.008596917392132019,0.01145267886995625,0.07304593627345005,0.008164004664537733,-0.0058507260172458815,0.022374895742963037,0.051373307330232945,-0.020097265936336144,-0.01697370564039869,-0.009710897923000943,-0.004250454576980325,0.24964585028556838,0.038230561900946515,0.07366757797486573,0.009421720014957492,-0.0019191161813916565,0.0774807563923506,-0.01748881006944744,0.07926404879073166,-0.020388916335519,-0.01962361470890349,0.06030864431676933,0.013515610694224635,-0.0004233424001473413
