f_id,i_id,ela_level.qda_mda_10,ela_level.lda_qda_10,ela_meta.lin_w_interact.adj_r2,disp.diff_median_02,disp.ratio_mean_25,ela_meta.quad_w_interact.adj_r2,ela_meta.quad_simple.adj_r2,ic.eps.max,ic.eps.ratio,ela_level.mmce_mda_50,ela_level.lda_mda_25,disp.diff_mean_25,ela_meta.lin_simple.coef.max_by_min,ela_level.lda_qda_50,ela_level.mmce_mda_10,disp.ratio_mean_05,ela_level.mmce_mda_25,ela_level.lda_mda_50,ela_meta.quad_simple.cond,disp.ratio_median_02,ela_level.qda_mda_25,disp.ratio_median_05,nbc.nn_nb.cor,disp.ratio_median_10,nbc.nb_fitness.cor,ela_distr.skewness,ela_level.mmce_lda_50,ela_meta.lin_simple.adj_r2,disp.diff_median_05,ela_level.qda_mda_50
1,1,-0.035032388697370166,-0.03444550363676986,0.003404075052480787,0.005781177103970863,-0.012194174145900873,-0.14162895557155922,-0.08955237915618783,-0.04619757033905722,-0.043865952378913615,-0.010342509275433984,-0.01098122695388929,0.005931292361959236,-0.01838022968222081,-0.005533745152139587,-0.0005713352559147144,-0.01080524410762073,0.0005410832490735757,-0.007913513179154024,0.015186214695444582,-0.02331441481034903,0.022313243938854543,-0.03222016799877067,-0.004053220474763976,0.006621640050698447,-0.008417579195017167,-0.017928595410241246,-0.006589037085503143,-0.02658193701020361,-0.013198181698107388,-0.005027280752278754
1,2,-0.04401446811564825,-0.03589597635419994,-0.048334595322650414,0.013440207742134166,-0.0024515804681572977,-0.1524701211606772,-0.07469201539225388,-0.033786617970820415,-0.030616464740361116,-0.01679686522642927,-0.015181681590296444,0.0007000159251723506,-0.0027093888031591083,-0.00875847779695036,-0.04377695387477527,-0.000539392324900252,-0.009316527236400246,-0.0072996675172943525,0.013071056304025715,0.008023132567966084,-0.0076133461605331215,0.003846634317790293,-0.002587118506919768,0.0043544005578735456,-0.008903148071904447,-0.012268895647909686,-0.03914574034432964,-0.06165210923220347,-0.01176887757726657,-0.00714444703521796
1,4,-0.03593708390273448,-0.03820444929504169,-0.04664492080463956,0.007156031408180239,-0.004886567330618031,-0.14556242791624885,-0.07229026876823948,-0.04598131229653998,-0.03467590974039943,-0.014190134089371108,-0.01531939768492958,-0.00018539439060439282,-0.011697065358700624,-0.006128915730403881,-0.036677453284079654,-0.011883482580998877,-0.010152116120504403,-0.008281329595912823,0.01598595775421404,-0.004174096485252747,-0.006312372938619186,-0.014492287526354992,-0.0028400017140975645,0.00850252187034342,-0.01008711655445167,-0.014073479103800378,-0.04191363586810699,-0.042273964315614046,-0.016900731848904078,-0.004897980723193188
1,5,-0.04178233111512477,-0.03810419583995599,-0.053384652336047854,0.0020819627554252646,-0.00792779709264587,-0.1489016720688471,-0.07960983068790566,-0.04532141911113817,-0.03470721901847184,-0.01494137009208211,-0.017946651338246317,-0.00041459229077810654,-0.007428976371058577,-0.007095508256343602,-0.03162229143814079,-0.013767369465726566,-0.006275125232925662,-0.0076456435118378956,0.017069507494599918,-0.013064356679809975,-0.0059526009689953845,-0.029743669555672467,-0.00613018025932282,0.004424907741320009,-0.009481456360523033,-0.013809522923620518,-0.04209253992661514,-0.04420813712974495,-0.019079676698280985,-0.006206171797690913
2,1,0.16244906538890116,-0.01774410026502096,-0.045651941518786286,-0.01963454174569582,-0.0430334593578334,-0.1221743635127094,-0.053249947463786876,0.004460244112963993,0.014639545322025403,0.08189304763923837,-0.025038759684016948,-0.021112969097942677,-0.02837932050910741,-0.008345818895794947,0.09058361935290374,-0.025572234044083562,-0.006824107613077466,-0.00788964534509817,-0.011259695078995074,-0.011372476120701578,-0.0028905473847698065,-0.03710201363895187,-0.02058376637543785,-0.01519263543704403,-0.001233525580879593,-0.05043281876552952,-0.004701195950255588,-0.04819715949668946,-0.04089918348555929,-0.03551376535580748
2,2,-0.03702178112594693,-0.02435134279924924,-0.028148681848314386,-0.03643438982508926,-0.03471765091360891,-0.09207682654783911,-0.06190859653881969,0.002390313215372372,0.007037370826912961,-0.02869748400713122,0.016749147573491458,-0.02652781507578953,-0.02420919168666174,-0.00838102314256836,0.012836170190708098,-0.030583052280709937,0.004306837213285912,-0.015464612434655304,-0.011531181794400342,-0.041220451612804014,0.01846784662489121,-0.036027887501129174,-0.0095993061170564,-0.017574585358286175,-0.0021688925575244727,-0.028149146475866974,-0.016639620585858567,-0.03696881496897405,-0.04223840188419068,-0.018797390364075548
2,4,-0.04684515126508591,-0.0029799103043352576,-0.021226496203923678,-0.05227689307232063,-0.03414638955632946,-0.06811744858324696,-0.07910921164702171,0.027678429401440913,0.006268338509525684,-0.031003760659551134,0.06336929787722793,-0.02508569206443359,-0.03281093921920695,-0.004495295999095398,-0.006461402295748002,-0.03134723933139216,0.0023984064661819737,-0.020699721015185087,-0.019229283874712986,-0.044779375933107844,-0.001062872608481554,-0.021271104432814138,0.0016392857079384016,-0.022589350267446642,-0.00844862494089057,-0.02992549835410848,0.007029211934645357,0.005206403745811455,-0.03769305498969807,-0.029787403947692196
2,5,0.2078571147382353,0.21034020164220313,-0.04500284185414937,-0.03023238788166757,-0.03921847523759944,-0.12295451992121308,-0.05502568766130173,0.001631108405678097,0.002694622473385219,0.07718121708565888,0.006743624319776342,-0.0210899455827256,-0.03855938926155079,-0.006627429208297134,-0.03942619293841724,-0.02454853005408026,0.0060384962550424,-0.0114835034265172,-0.011567660371407511,0.001627150980513885,-0.0022690850449718592,-0.04029294592434196,-0.016325112915973775,-0.014934688047339372,-0.003909793100098292,-0.04938061532000935,-0.009497702544018402,-0.038680708572469066,-0.03751645781920852,-0.03532426046626688
3,1,-0.028614463693106357,-0.03285995311526857,0.005084604468198998,0.020134738447363115,0.009191148670212881,0.024885975409585228,-0.006873957389400031,0.025730977114965973,0.02645407336798342,-0.006284171545216603,-0.024230799786103062,0.008369580695096857,-0.008309341754333685,-0.003908067614487909,0.008494403897597867,0.017647562734104005,-0.0005182254794916543,-0.015295503334772484,-0.021783185342081297,0.034898412100237815,-0.011335974791424673,0.0316330806135302,0.007694564016610724,0.011010377376448062,-0.011736397975101202,-0.012424265612841906,0.010929953325134932,0.013852692373648206,0.007484874656041072,-0.019684756019304726
3,2,-0.038865392101006306,-0.026561621191342758,-0.00449618588407525,0.023877431542391695,0.008837231097556271,0.027329446016816958,-0.02084480290961543,0.0027211668495145057,0.009628560895347962,0.053803460901525095,0.005250916489781129,0.017701326266961675,-0.016648570306472408,-0.004575350023871639,0.027083944103269364,0.022423701673232318,-0.00914410859649262,-0.004801011851843534,-0.002932202820134661,0.01969183462745242,-0.005926976488624001,0.017383168974886242,0.004394528777773099,0.01308601414957429,0.026893273646215996,-0.015733343593958924,-0.002899918653284642,-0.03529779657319839,0.0041211933233724855,-0.021733428359634363
