budget,f_id,i_id,log_precision
100,1,1,1.6068322438346523
100,1,2,1.556746275139824
100,1,3,1.5693818048834833
100,1,4,1.6783120184516347
100,1,5,1.6014383472328935
100,2,1,5.5950269445892395
100,2,2,5.788520625255899
100,2,3,5.681246423699508
100,2,4,5.734323002829294
100,2,5,5.600797889401244
100,3,1,2.3828078848904255
100,3,2,2.35382265261285
100,3,3,2.3839973603057034
100,3,4,2.3743143180997563
100,3,5,2.4300581945864153
100,4,1,2.582251756799369
100,4,2,2.5640502637877707
100,4,3,2.560801968543446
100,4,4,2.602938455758679
100,4,5,2.5520169175116845
100,5,1,1.3456294461822107
100,5,2,1.3745016750897663
100,5,3,1.3785748401623592
100,5,4,1.2649607929556546
100,5,5,1.3513033524799707
100,6,1,2.63031547646788
100,6,2,2.5130572871769847
100,6,3,4.221235552782477
100,6,4,3.9762958973782485
100,6,5,2.562421029711846
100,7,1,2.1969171580282163
100,7,2,2.228340933758956
100,7,3,2.282089985672179
100,7,4,2.156259158708615
100,7,5,2.1280355508573945
100,8,1,4.521020391313158
100,8,2,4.582172802185746
100,8,3,4.452355119135765
100,8,4,4.462010977330746
100,8,5,4.41201063157776
100,9,1,4.396602351594175
100,9,2,4.465042569787743
100,9,3,4.375245317212876
100,9,4,4.463631512894761
100,9,5,4.459325731837903
100,10,1,5.640770706062272
100,10,2,5.620128589368424
100,10,3,5.688306662985553
100,10,4,5.6825927191997385
100,10,5,5.607080150710122
100,11,1,2.8537143313658277
100,11,2,2.732814726983572
100,11,3,2.7907666428910627
100,11,4,2.980908579758051
100,11,5,3.0388836064837865
100,12,1,7.738440308089166
100,12,2,7.718000701239856
100,12,3,7.650034402455073
100,12,4,7.727725888659978
100,12,5,7.578959292655138
100,13,1,3.02139754711636
100,13,2,2.9982486133145647
100,13,3,3.030379259854155
100,13,4,3.0222327742148827
100,13,5,3.020531933937262
100,14,1,1.205622565518769
100,14,2,1.285726264122826
100,14,3,1.2240602041920343
100,14,4,1.2491786643781748
100,14,5,1.1652851382955958
100,15,1,2.396633096847075
100,15,2,2.4067076770682148
100,15,3,2.4280676944891386
100,15,4,2.412735412280299
100,15,5,2.451024249986894
100,16,1,1.4264620939742951
100,16,2,1.3987540761486943
100,16,3,1.4387520948312937
100,16,4,1.4278095946857259
100,16,5,1.4193252505329121
100,17,1,1.026246575058699
100,17,2,1.039817870540892
100,17,3,1.0311324323648108
100,17,4,1.0328414572640554
100,17,5,1.0198276557466155
100,18,1,1.567880035365322
100,18,2,1.5880771496773007
100,18,3,1.6017499150047776
100,18,4,1.5811712306855414
100,18,5,1.5721706178516557
100,19,1,1.2902563635831232
100,19,2,1.2472171026371968
100,19,3,1.256864474798732
100,19,4,1.2682897518690899
100,19,5,1.2675817126179862
100,20,1,4.097145963158387
100,20,2,4.1034927131972685
100,20,3,4.145444003838389
100,20,4,4.110572267471831
100,20,5,4.137528845129512
100,21,1,1.8116060224848582
100,21,2,1.7930757334476923
100,21,3,1.7963870066133136
100,21,4,1.8083697634854021
100,21,5,1.8077346430554686
100,22,1,1.850030222195385
100,22,2,1.854010319185681
100,22,3,1.8330248879242124
100,22,4,1.8332040253894932
100,22,5,1.849229044932409
100,23,1,0.6840796953641337
100,23,2,0.715571453435613
100,23,3,0.734551356060588
100,23,4,0.6869685684349278
100,23,5,0.6784692399415505
100,24,1,2.3120559004292236
100,24,2,2.3090228714211958
100,24,3,2.287698858358588
100,24,4,2.3014972305503947
100,24,5,2.3227979614475895
300,1,1,1.3474483236802213
300,1,2,1.0712098083369417
300,1,3,1.1693035158408687
300,1,4,1.30145547024487
300,1,5,1.2903846188187191
300,2,1,4.8672759250998
300,2,2,4.930179657561096
300,2,3,4.901074025732374
300,2,4,4.796175027079189
300,2,5,4.719490374757669
300,3,1,2.2399088073078977
300,3,2,2.188886232987971
300,3,3,2.118920741184698
300,3,4,2.1072066314195816
300,3,5,2.1500420957890247
300,4,1,2.390449466088126
300,4,2,2.3516702675565972
300,4,3,2.3953706231882865
300,4,4,2.3989842058596467
300,4,5,2.4155090744926233
300,5,1,0.16543857493648778
300,5,2,0.18383883617220795
300,5,3,0.20295175539743265
300,5,4,0.20693290269075973
300,5,5,0.23918641882767092
300,6,1,2.1555912063901275
300,6,2,2.081722533174257
300,6,3,2.326840703836433
300,6,4,2.0643973381937633
300,6,5,2.313723999389219
300,7,1,1.9676698132647477
300,7,2,2.043685478299231
300,7,3,2.029933054371556
300,7,4,1.8143892729155717
300,7,5,1.9691369647105608
300,8,1,4.10627885184217
300,8,2,3.975445950505182
300,8,3,3.8384522975544844
300,8,4,3.9125075935500075
300,8,5,3.940174298662793
300,9,1,4.105481446065055
300,9,2,4.0902016003563455
300,9,3,3.9964396517305705
300,9,4,4.13049758024028
300,9,5,4.18910165670063
300,10,1,5.258522310543907
300,10,2,5.190146804212644
300,10,3,5.367570512710684
300,10,4,5.325600882362739
300,10,5,5.283020459477998
300,11,1,2.363746374175812
300,11,2,2.427569390514287
300,11,3,2.467637056900847
300,11,4,2.5890543164428603
300,11,5,2.4885045881231727
300,12,1,7.365965423831312
300,12,2,7.4075839947179265
300,12,3,7.240887049668895
300,12,4,7.387200614576516
300,12,5,7.274448269688898
300,13,1,2.825966125437507
300,13,2,2.7970501048593808
300,13,3,2.8600663464756155
300,13,4,2.8562045443553177
300,13,5,2.9179288091614386
300,14,1,0.9761761327187289
300,14,2,1.0736983679861387
300,14,3,1.076424998104289
300,14,4,1.0502058333734254
300,14,5,0.9110946972507313
300,15,1,2.1386292437309264
300,15,2,2.2608560317872857
300,15,3,2.1967239597086117
300,15,4,2.2709522410842906
300,15,5,2.305884182938678
300,16,1,1.3350475023895767
300,16,2,1.3320817752277097
300,16,3,1.3459050806245907
300,16,4,1.3376331039096188
300,16,5,1.305357558854375
300,17,1,0.8656831060444776
300,17,2,0.9530735009000278
300,17,3,0.9387398309875976
300,17,4,0.8705988302979613
300,17,5,0.9430136837849395
300,18,1,1.4148564241401664
300,18,2,1.4902410565317028
300,18,3,1.4506728203046422
300,18,4,1.4231928933519578
300,18,5,1.5203786816706522
300,19,1,1.127585157202834
300,19,2,1.1426977704288592
300,19,3,1.1467818705452897
300,19,4,1.1341301767591923
300,19,5,1.1202470491981937
300,20,1,3.7520173228319034
300,20,2,3.7917919304972343
300,20,3,3.834429805311891
300,20,4,3.8638320253977425
300,20,5,3.8165361717389366
300,21,1,1.7101109607725271
300,21,2,1.705755836109441
300,21,3,1.676074997724693
300,21,4,1.705804975635001
300,21,5,1.7137726146064436
300,22,1,1.782152893509631
300,22,2,1.8055528364708033
300,22,3,1.6941120184582779
300,22,4,1.7608236513929105
300,22,5,1.7824661621417013
300,23,1,0.6127975371879628
300,23,2,0.6726078454858843
300,23,3,0.62183764882082
300,23,4,0.5960876285655988
300,23,5,0.645116721530373
300,24,1,2.238541038129921
300,24,2,2.2530281241379893
300,24,3,2.220903427754162
300,24,4,2.228112570938792
300,24,5,2.250851298057644
500,1,1,1.216108973118707
