budget,f_id,i_id,log_precision
100,1,1,1.4011532451913369
100,1,2,1.4314377712704136
100,1,3,1.4826065731556977
100,1,4,1.4469038094683553
100,1,5,1.3904387961736198
100,2,1,5.5127827472618725
100,2,2,5.372962121450543
100,2,3,5.453410568927718
100,2,4,5.351029457195073
100,2,5,5.45132768822561
100,3,1,2.27656347768794
100,3,2,2.2450129501623723
100,3,3,2.3350110059602276
100,3,4,2.277022589648211
100,3,5,2.287968627875762
100,4,1,2.4591000319885383
100,4,2,2.425290208621857
100,4,3,2.4430694024013033
100,4,4,2.446135485767593
100,4,5,2.4530140675795566
100,5,1,1.7144354847690004
100,5,2,1.6820306743890818
100,5,3,1.6698023771339414
100,5,4,1.704197576797568
100,5,5,1.6692439636887832
100,6,1,2.4129719351102685
100,6,2,2.561614461271704
100,6,3,4.4537276519280855
100,6,4,4.5870837060758545
100,6,5,2.525594971054718
100,7,1,2.123248408637172
100,7,2,2.1025850474777124
100,7,3,2.1310967866704025
100,7,4,2.1396692677027356
100,7,5,2.122568013541346
100,8,1,4.1356716111101
100,8,2,4.042068773772153
100,8,3,4.252903285906313
100,8,4,4.097532318413672
100,8,5,3.989986271367362
100,9,1,4.055936732360767
100,9,2,4.099653978396108
100,9,3,4.048975714704038
100,9,4,4.056292740538171
100,9,5,4.055641733981943
100,10,1,5.558172564582361
100,10,2,5.471364929405632
100,10,3,5.511610309883535
100,10,4,5.610960726420965
100,10,5,5.580622548241121
100,11,1,2.842125649048661
100,11,2,2.972957996959979
100,11,3,3.044019561166745
100,11,4,2.6897498574380494
100,11,5,2.7786808143530517
100,12,1,7.47067979237256
100,12,2,7.541262308715795
100,12,3,7.523801579475629
100,12,4,7.53666742476254
100,12,5,7.474488291083743
100,13,1,2.966148027815408
100,13,2,2.970425014092827
100,13,3,2.971837613239451
100,13,4,2.9753983991519033
100,13,5,2.959174387563129
100,14,1,1.1682178005043142
100,14,2,1.1505784036959243
100,14,3,1.1495060704282027
100,14,4,1.1174782060919495
100,14,5,1.2123112241052065
100,15,1,2.3886329751650375
100,15,2,2.3563852115579986
100,15,3,2.3369740579149183
100,15,4,2.3288760934236543
100,15,5,2.3176478619327185
100,16,1,1.4541765131784399
100,16,2,1.4430134945653517
100,16,3,1.4519000222591512
100,16,4,1.4243989162556705
100,16,5,1.4274045190750855
100,17,1,0.9914977688829096
100,17,2,0.9786891225546769
100,17,3,0.9869084853782002
100,17,4,1.0445631530491206
100,17,5,0.9558223349977019
100,18,1,1.5534951307228875
100,18,2,1.5315945319325919
100,18,3,1.5176250658253398
100,18,4,1.5207270598673102
100,18,5,1.4479115777161715
100,19,1,1.0852838116972467
100,19,2,1.123628626074989
100,19,3,1.1281178587353535
100,19,4,1.1244283019021235
100,19,5,1.1525051338595886
100,20,1,3.8114054168668696
100,20,2,3.882582958965954
100,20,3,3.6992584451094417
100,20,4,3.7444808099284277
100,20,5,3.765238119723673
100,21,1,1.7434935722599898
100,21,2,1.722821435630715
100,21,3,1.740963240766952
100,21,4,1.7434992178795057
100,21,5,1.7719268491341518
100,22,1,1.8149769072917754
100,22,2,1.8141815730840203
100,22,3,1.815819610037937
100,22,4,1.8091665290294086
100,22,5,1.8340486647845433
100,23,1,0.698684624854593
100,23,2,0.6855736334471078
100,23,3,0.688920765477597
100,23,4,0.6723259265823996
100,23,5,0.6743635843669379
100,24,1,2.249795129612751
100,24,2,2.2417147501581787
100,24,3,2.2146627669457906
100,24,4,2.2408531952544193
100,24,5,2.194290369977996
300,1,1,0.7213438984383048
300,1,2,0.7273940709809831
300,1,3,0.7363338680970776
300,1,4,0.7187551777848386
300,1,5,0.7546073379850076
300,2,1,4.16402368484429
300,2,2,4.0419546412430964
300,2,3,4.228357563327928
300,2,4,4.177220808252689
300,2,5,4.064988495557201
300,3,1,1.9175864247815582
300,3,2,1.926302789945336
300,3,3,1.9264329465809888
300,3,4,1.9333060038334038
300,3,5,1.9113742402694114
300,4,1,2.082750629819167
300,4,2,2.06143191797784
300,4,3,2.0429805771008627
300,4,4,2.0702943035883115
300,4,5,2.065773566019874
300,5,1,0.43985997219301026
300,5,2,0.37898263336588967
300,5,3,0.4072543117443842
300,5,4,0.43189038320688306
300,5,5,0.3006955974348311
300,6,1,2.055965290883572
300,6,2,2.045267888023325
300,6,3,2.074662391282944
300,6,4,2.047337940260915
300,6,5,2.2857475478497395
300,7,1,1.7371050125635727
300,7,2,1.8007440693236076
300,7,3,1.854113417757851
300,7,4,1.6294264018850975
300,7,5,1.730581100581989
300,8,1,2.974466926643577
300,8,2,2.9435375772919232
300,8,3,3.116595652105063
300,8,4,3.0690644170964636
300,8,5,3.020521666428281
300,9,1,3.116961431188663
300,9,2,3.102589361710356
300,9,3,3.201361177141997
300,9,4,3.0597652551285344
300,9,5,3.2809691678125055
300,10,1,5.0852047914719645
300,10,2,5.089339372345482
300,10,3,5.152741283110735
300,10,4,5.128030571481457
300,10,5,5.19930194154851
300,11,1,2.2680309998666868
300,11,2,2.352213397508238
300,11,3,2.3646351699777255
300,11,4,2.3504500730149465
300,11,5,2.3335603582227824
300,12,1,6.791623393997607
300,12,2,6.8356234410260805
300,12,3,6.756370335375733
300,12,4,6.839743648381933
300,12,5,6.680111856316565
300,13,1,2.608683477442991
300,13,2,2.6522203790741634
300,13,3,2.6400474895749193
300,13,4,2.646350668049828
300,13,5,2.6638824151555127
300,14,1,0.7537985642763874
300,14,2,0.7799825752991792
300,14,3,0.8086977247484658
300,14,4,0.7845899589936713
300,14,5,0.7134885102637438
300,15,1,2.0728090408722837
300,15,2,2.053437254436343
300,15,3,2.025766131890091
300,15,4,2.0532060486132457
300,15,5,2.0464839590848927
300,16,1,1.3536723962863193
300,16,2,1.3250418547291123
300,16,3,1.3345174158796964
300,16,4,1.3096074480761106
300,16,5,1.3412336928083952
300,17,1,0.7668662705633403
300,17,2,0.8115354082553139
300,17,3,0.7907650830220462
300,17,4,0.8014570308971993
300,17,5,0.7993443747113994
300,18,1,1.2663989242181117
300,18,2,1.3232646238784591
300,18,3,1.2827597896222722
300,18,4,1.2784207805886993
300,18,5,1.2928775436329731
300,19,1,0.9263260557715528
300,19,2,0.9327081120103513
300,19,3,0.9117753564797829
300,19,4,0.9345419649053858
300,19,5,0.8762894132414653
300,20,1,1.9729302668511475
300,20,2,1.9391089206637977
300,20,3,1.2608465820573396
300,20,4,1.8282855068895003
300,20,5,1.8466230562937143
300,21,1,1.5139527623775466
300,21,2,1.4679406273579791
300,21,3,1.4707864445287555
300,21,4,1.5180107475789295
300,21,5,1.546930743714097
300,22,1,1.5735570793963478
300,22,2,1.4202742853451145
300,22,3,1.5034636813594986
300,22,4,1.383930508576542
300,22,5,1.581284781739281
300,23,1,0.5838836210318326
300,23,2,0.6154480460885395
300,23,3,0.6392259796976045
300,23,4,0.6434003335887298
300,23,5,0.636540570850654
300,24,1,2.028554562135691
300,24,2,2.0690996068072955
300,24,3,2.022178068496916
300,24,4,2.0282735268570855
300,24,5,2.0320892361879426
500,1,1,0.30370680579987336
500,1,2,0.24854768315551556
500,1,3,0.21981124061072785
500,1,4,0.26792193982674367
500,1,5,0.2657133359702617
500,2,1,3.1690926522912424
500,2,2,3.223240542637712
500,2,3,3.1716705759485535
500,2,4,3.347774381786624
500,2,5,3.163415966038742
500,3,1,1.6990009842912934
500,3,2,1.7290616316922107
500,3,3,1.760538013549698
500,3,4,1.7165197881528356
500,3,5,1.6804118830926222
500,4,1,1.8385734590508302
500,4,2,1.85028543092254
500,4,3,1.8298403894455935
500,4,4,1.8297951565538033
500,4,5,1.8798538197008163
500,5,1,0.014285531379621146
500,5,2,0.010544077601079314
500,5,3,0.008047701246626612
500,5,4,0.010955424129961543
500,5,5,0.011651258145161375
500,6,1,1.8679341483954932
500,6,2,1.8064395923273968
500,6,3,1.8763549874748928
500,6,4,1.783091681014612
500,6,5,2.0413410550818316
500,7,1,1.539119467706436
500,7,2,1.5580614512831321
500,7,3,1.6163326703601368
500,7,4,1.2907155167351754
500,7,5,1.4572661888391816
500,8,1,2.412915600671582
500,8,2,2.3549986297788106
500,8,3,2.4061057568446813
500,8,4,2.4798594869902115
500,8,5,2.266956114094691
500,9,1,2.5988126663790214
