budget,f_id,i_id,log_precision
100,1,1,0.9490210189589677
100,1,2,1.0728270436123468
100,1,3,1.010767947210534
100,1,4,0.9994505462220712
100,1,5,1.018597645611433
100,2,1,4.858457522655569
100,2,2,4.774209479288431
100,2,3,4.806107620849925
100,2,4,4.940720508357618
100,2,5,4.995498196212564
100,3,1,2.085428141718901
100,3,2,2.089121527328224
100,3,3,2.1038791253205016
100,3,4,2.0852786151371556
100,3,5,2.105683987534719
100,4,1,2.226675859221641
100,4,2,2.2673462773192403
100,4,3,2.248812528333267
100,4,4,2.2872782149914035
100,4,5,2.256096793027866
100,5,1,1.5434588773803388
100,5,2,1.5597423256781233
100,5,3,1.548714645794058
100,5,4,1.5094965132154212
100,5,5,1.6300599169464915
100,6,1,2.1271875242524567
100,6,2,2.071724835506942
100,6,3,2.8449060325358153
100,6,4,3.84046275856303
100,6,5,2.2356770715911964
100,7,1,1.8185734941004383
100,7,2,1.7801326027686204
100,7,3,1.7331019443021194
100,7,4,1.7161195554067639
100,7,5,1.757626640689826
100,8,1,3.3512176492713204
100,8,2,3.610327099325152
100,8,3,3.5003386073024334
100,8,4,3.4754624132923886
100,8,5,3.4867288088054393
100,9,1,3.0891987078032472
100,9,2,3.2243547303733244
100,9,3,3.133177388532168
100,9,4,3.114864460990302
100,9,5,3.293187010916913
100,10,1,5.088901210134587
100,10,2,5.148363480984385
100,10,3,5.003979048887327
100,10,4,5.056781188160427
100,10,5,4.95813209034601
100,11,1,2.3164523936988886
100,11,2,2.3625425117638588
100,11,3,2.442401554474425
100,11,4,2.4557961114105757
100,11,5,2.382394242242222
100,12,1,7.001360332690191
100,12,2,6.914540166817028
100,12,3,7.116153725990813
100,12,4,7.050040065013111
100,12,5,7.006042686985989
100,13,1,2.688492912863151
100,13,2,2.823872452716003
100,13,3,2.7982748659087635
100,13,4,2.7430431402742967
100,13,5,2.7362568487349237
100,14,1,0.8253583935399814
100,14,2,0.9659849206859323
100,14,3,0.8846098217371863
100,14,4,0.9234146029396206
100,14,5,0.8069538726365666
100,15,1,2.131180427383795
100,15,2,2.094328021370607
100,15,3,2.1608545088961773
100,15,4,2.13118293591014
100,15,5,2.1373699763896665
100,16,1,1.4453117994788571
100,16,2,1.4272299409879954
100,16,3,1.3657901855024863
100,16,4,1.4169317970382402
100,16,5,1.4412511482994093
