f_id,i_id,log_precision
1,1,0.2293860661076884
1,2,0.4013740808360788
1,3,0.4855942498448432
1,4,0.3287019614255028
2,1,3.516764059948984
2,2,3.686548934369819
2,3,3.79322252316644
2,4,3.651295769900864
3,1,1.593057184047613
3,2,1.6492745024059907
3,3,1.6392409520720872
3,4,1.618179962567934
4,1,1.803460792631541
4,2,1.8459531854337832
4,3,1.746316474230038
4,4,1.9194974592217768
5,1,1.096808355504918
5,2,0.993479369574794
5,3,0.8940948122593625
5,4,0.8910809710252879
6,1,1.6493394414929283
6,2,1.6061982064729066
6,3,1.9266730135246604
6,4,1.6933957841988074
7,1,1.3509142460675316
7,2,1.27952984026799
7,3,1.2802108717728478
7,4,1.2593439816779306
8,1,2.0619046628743263
8,2,2.169655039357204
8,3,2.3711469438082005
8,4,2.514100067836386
9,1,1.976265988937672
9,2,2.065614451443873
9,3,2.119344816639051
9,4,1.9918496616578016
10,1,3.9627923489437338
10,2,3.925222295260156
10,3,3.9246302342440806
10,4,3.9941739066567936
11,1,1.745279429070415
11,2,1.632252233145024
11,3,1.71869949659148
11,4,1.855124145149156
12,1,5.919327793135455
12,2,5.845802064085735
12,3,6.349163023109917
12,4,6.013760919059656
13,1,2.2617918805286723
13,2,2.4842358223279875
13,3,2.383999704905788
13,4,2.317258266550036
14,1,0.3792739889315858
14,2,0.5716061760417699
14,3,0.5014882228960377
14,4,0.5473991138992629
15,1,1.6390175511900709
15,2,1.5955675764626995
15,3,1.7402769275152392
15,4,1.6468039454165608
16,1,0.5714358702157436
16,2,0.4713467559448878
16,3,0.5658794097695349
16,4,0.557476133898008
17,1,0.4656720217485686
17,2,0.4224987604964458
17,3,0.4437234585724304
17,4,0.5002396619487102
18,1,0.8447616370817819
18,2,0.7510377042431265
18,3,0.9385697317601146
18,4,0.8686746740526373
19,1,0.6087990409765113
19,2,0.6150204120128571
19,3,0.5881078886471419
19,4,0.6193346485215365
20,1,0.434555200071847
20,2,0.4347946820056711
20,3,0.4460672186216036
20,4,0.471756396386576
21,1,0.7932551300618305
21,2,0.9317066184410872
21,3,0.5351117090222421
21,4,0.8690506757467145
22,1,0.9924663872937376
22,2,1.0355940320893413
22,3,1.0021223286643517
22,4,1.0172528752058174
23,1,0.4772458176606869
23,2,0.4678383210725465
23,3,0.4659948886093073
23,4,0.4547697782277007
24,1,1.7966718100096966
24,2,1.7222268844266178
24,3,1.7796915491233578
24,4,1.7492852171197502
