f_id,i_id,ic.eps.s,ic.eps.ratio,ela_level.qda_mda_25,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_qda_10,pca.expl_var.cor_init,ela_meta.lin_w_interact.adj_r2,ela_meta.quad_simple.cond,nbc.nb_fitness.cor,ela_distr.kurtosis,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,ela_level.qda_mda_10,ela_distr.skewness
1,2,-0.1343624805392254,-0.09278283652932706,0.019611634724406635,0.11169097270051181,-0.05631677486466924,-0.06899796694776786,-0.02711277468800849,-0.24384560560087365,-0.0010851819101158067,-0.05900974142233276,-0.03329341911110434,0.029186677317346088,-0.038855788133616787,-0.01672941679747031,-0.07414401095771783
1,3,-0.13481996070369467,-0.09026717233392612,0.0034384585030659,0.10278949459451658,-0.06966765448213375,-0.07204341579600271,-0.03359706743251678,-0.2404166135817657,-0.000839461792758539,-0.05590434811994255,-0.0345533140331421,0.026361483763273852,-0.019726852847161858,-0.01707942119285799,-0.0741116453923154
1,4,-0.14781178876640655,-0.10193566081072575,-0.002141171223228766,0.06473139070874062,-0.024521844015981897,-0.06254629981382398,-0.06114846809855534,-0.185327135419262,-0.0017671877470355202,-0.0408836491711132,-0.032122086141552764,0.0157577819418111,-0.016333125608776256,-0.014093435144300615,-0.07578532341813482
1,5,-0.15346072219082474,-0.10748594179106186,-0.0037162210430942144,0.060818618978174976,-0.006203084319383434,-0.06659545938841965,-0.060654430641741364,-0.18438963311839301,0.0,-0.0423523870890582,-0.03321679261424898,0.01552659987084326,-0.030789496226947488,-0.007123598644883544,-0.07437448796688662
2,2,-0.00422114382635852,-0.047733224269179864,-0.07528636545026285,-0.015015923934751096,-0.1739919546822748,-0.05569601171669247,-0.05505617834240173,-0.0336717481241694,-0.08653883101111948,-0.04248042046863737,-0.020744354015820865,0.0,-0.01950005522625836,-0.02617500772353712,-0.029702246291170464
2,3,0.06810206810506347,0.036113600667613543,0.027779191412280524,-0.02415695420924663,-0.10276011145771197,0.11982947179242312,-0.06425698282437114,-0.053534888822263316,-0.26814925159001,-0.024800644482218193,-0.004965249908771674,0.008417498202101359,-0.48403172590218657,0.09952753194307418,-0.01933746904555489
2,4,0.03745371049128082,0.006225488186024697,-0.26680833170307294,-0.01163562840583321,-0.16705125572827412,-0.019014299813289892,-0.014759156655437478,0.031207316304112054,-0.2513225234419609,-0.029879909533903987,-0.016308901889458327,0.018912382306574826,0.010368103282694052,0.026839224313930238,-0.040039685800725144
2,5,0.038668725648427604,0.023555939119560887,0.0250321767027622,-0.00857832660963831,-0.09395669962439807,0.06305043477094305,-0.05028283259455646,-0.05014370020357639,-0.3222632085892468,-0.02649489540195432,-0.010536245534813804,0.008446576660565919,-0.32546837360066105,0.06457378558595064,-0.021377243939449286
3,2,0.023763483631003383,0.021133625457764746,0.055585238973861834,0.07504878589635625,-0.14603010637942837,-0.0388666360896975,-0.04917005319522404,-0.09860172495497282,0.02197780607737418,-0.05532995685413161,-0.012968496059337059,0.04166742997937434,0.29125047325938574,0.012894168295416397,-0.016778875929091303
3,3,0.016995000528063076,0.030320181393574043,0.05370203072509315,0.049706335779263616,-0.22925920119196067,-0.06272478626914404,-0.037811894677270655,-0.14984056902519738,0.019138125211704125,-0.0464461268445681,-0.023811149655932007,0.06654877559365,0.19363670299720032,0.014846115309227387,-0.042382447117926075
