f_id,i_id,ic.eps.ratio,ela_level.qda_mda_50,ic.eps.s,ela_level.qda_mda_25,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_distr.number_of_peaks,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,nbc.nb_fitness.cor,ela_level.lda_qda_25
1,1,-0.07219181606584785,0.07199625757224418,-0.11023109084347393,-0.03194253723085194,-0.05846249117571878,-0.2854491633061029,0.09730589633446174,0.009653058675315962,-0.23206496912449756,-0.0540304699725076,-0.004323331767214333,-0.013814438303037246,-0.010229963287531563,0.020340788470027404,-0.0071353516456157395
1,2,-0.07767249881707888,-0.00497121600991296,-0.11688582256487579,0.008693357040340022,-0.06334059000086861,-0.2714773935111493,0.13294204747035776,0.0499612489657027,-0.09467017747555745,-0.09901234388547975,-0.004676348604358838,0.030747275429819976,-0.04235530618684402,-0.10671718175746547,-0.021471403422939517
1,3,-0.07281361249757468,-0.01091128208095904,-0.11617735487026598,0.0032857663036939266,-0.06355680714271472,-0.2826953838305377,0.1269303932007504,0.05075304420816623,-0.10671663818510929,-0.11062798989935607,-0.0013412822852952866,0.026409178095237462,-0.01986822128023019,-0.10258626230614931,-0.018203180422860843
1,5,-0.07691967461681165,0.02443755866934416,-0.11807814146600865,-0.007251536167656392,-0.06455263841727732,-0.3058020603483833,0.10756649435014654,0.027880583672976467,-0.21246255403579012,-0.09753543661654229,-0.0046734835269276465,0.0053805393657181955,-0.027933718281882736,-0.06408345840991897,-0.016007873452182464
2,1,-0.006893837553959337,-0.06293075208459531,0.0,0.0,0.0,-0.09902950688898504,-0.11119235598283572,0.0,0.033734805951848745,-0.07132191264580834,-0.2229388927782499,0.0,-0.176271525794712,-0.07220395812076552,-0.01285747577699825
2,2,0.0,-0.0713772968358003,0.026249379603626166,-0.1331355268002105,0.09743525932449498,-0.12567779819845593,-0.08034132938792288,-0.011859150061640455,0.03691695053145716,-0.05621680208674179,-0.2192738166746453,0.015728037495974567,-0.10733954759161807,-0.06787001423926697,0.016209157818163122
2,3,0.044573418147453026,-0.03588091780545011,0.05722144683677638,0.0086248013288161,0.05397738087887427,-0.09603836565805024,-0.1214386717708742,0.011534161626629291,0.05016270587962757,0.09269974681823887,-0.27451796506029813,0.013878053442914484,-0.45025383990671336,-0.05992913386741611,0.02435399503507618
2,5,0.02247146992286647,-0.03863526476267787,0.03435719170726864,0.0,0.07212388719432816,-0.08166802066894874,-0.09626408145803295,-0.016876607149126255,0.030248340501580373,0.01762484933141334,-0.3276827676371399,0.013989523718978991,-0.2561994065624213,-0.0635959406019288,0.009386691130009894
3,1,-0.013735547219731435,-0.08338818165538908,-0.029111560511291254,0.025913225578539742,0.018345609279506202,-0.11461822310204584,0.09265205054064705,-0.011747952592284575,0.04731712236256146,-0.07922649764646539,0.008356666060042338,0.07046611753146725,-0.028869027636067135,0.00190189533611336,-0.008827787655610833
3,2,0.017592195275061298,-0.04065811018244468,0.024650419895406256,0.0317030554837677,-0.03055726828255255,-0.10929854997203006,-0.2071797068776613,0.0104935867791566,0.036410215700011725,-0.12030090124064988,0.02662213636296909,0.03789790383382821,0.6026834990360742,-0.1296990654784221,-0.01989989427611985
3,3,0.02896155590004413,-0.10602115621209858,0.0171618419079929,0.03691931181463175,-0.002293091177141257,-0.14533106207744725,-0.04917420242355068,0.02769633750879854,0.08275961574914653,-0.19606896048506384,0.02323520373740915,0.0649823318679856,0.21484273886125252,-0.12373596935424297,-0.016258550547746553
3,5,0.016600253498898557,0.02646377775919473,-0.004140522053878937,-0.00914928523744607,-0.03984568592245735,-0.1428921242704225,0.14825233715250163,0.00354959558719814,0.040107612955768895,0.008031028097615925,0.006915730796553124,0.07352308353633184,-0.011090164923329607,0.019641752578366506,-0.005428548332672312
4,1,0.0513749001152937,-0.006116659751547772,0.04986826029689681,0.02260044312288495,-0.0579681003975743,-0.04062059563970764,-0.2371263588216047,-0.008412639276948311,0.09451204552255722,0.19538857306436064,0.017200851221222516,0.057804152991707256,0.15151968127900414,-0.1496036147187995,-0.02285452709244304
4,2,0.04659197786869332,-0.03148065083803984,0.0461287188513866,0.06661108513727165,-0.02842917307920435,-0.08938027789979613,-0.21754781017071956,-0.013456055397394084,0.050953847236183264,-0.039646082039995215,0.04487843119935768,0.04730315243199637,0.3815806044669652,-0.14185679278937838,-0.027018787717124265
4,3,0.04073538072316464,-0.0525498363314178,0.0315405039246722,0.050832573924323304,-0.05562547650741847,-0.11251017124929089,-0.0937429837770723,0.012367438244110948,0.05635745787918969,0.022886302394851635,0.01646390628353482,0.06983841878887573,0.3316489839260149,-0.13599032973790554,-0.019681187207898132
4,5,0.05028393351484209,-0.043917839501353514,0.05449596067140072,-0.004454394595940492,-0.043754867044660126,-0.09842208799968974,-0.1785824101967548,0.019502192608452235,0.06514835326580468,0.20953555745470004,0.028133724585636538,0.057913811337699794,0.37919526722873537,-0.16696989240440385,-0.010802158410770368
5,1,-0.10199566244930808,-0.11587311672542311,-0.1325705489702479,-0.02855006650799613,-0.15069929454921932,-0.11030511585883224,0.11708208735281395,0.1254789811401327,0.09853267742573563,-0.13891884348508382,0.0,0.004833878628116961,-0.045097160620067744,-0.1321099388012849,-0.06727052644430809
5,2,-0.09860168169619882,-0.11691116411401914,-0.12930152854837695,-0.0386972727700422,-0.15442570099698882,-0.09056061955974798,0.11486948047743745,0.10541591748691059,0.10074871016072887,-0.12730917519462515,0.0,0.006745339270461392,-0.04874651014444581,-0.1340034096841986,-0.07325963651538758
5,3,-0.09838957755353395,-0.10477539746188541,-0.12659337223359673,-0.04387772460612549,-0.15857271320633265,-0.08894241289950328,0.11425709580845145,0.09065603322991861,0.08233984789955234,-0.12477093282575435,0.0,0.00755131656339747,-0.04786621651206219,-0.12755901632377986,-0.07957638421757451
5,5,-0.09563852145908253,-0.12612444900427566,-0.12376128098747102,-0.04025600371587512,-0.15544144702919432,-0.07824265293224392,0.1103831496108924,0.09371437006026695,0.10315983407252996,-0.12270039291242005,0.0014933463383521306,0.007443254259138721,-0.047722303539436156,-0.12894087807935956,-0.07804082535566481
6,1,0.10725140317279125,-0.07187166250151061,0.11550632431973576,0.013415773008910947,-0.03947130541397503,-0.0909192178267445,-0.34371043135418256,0.05500037622949075,0.06438419143640323,-0.13874581189095248,0.012112938193860695,0.03609090768130102,-0.027668375241745286,-0.15305127661258258,-0.05435834036553844
6,2,0.08680802204816687,0.01299072900872797,0.10154542675289843,0.0150965365623833,-0.07398563449428885,-0.08257148684802623,-0.3731717693339846,0.045376821797400296,0.042747211780357786,-0.14132596676278428,0.010144222217106647,0.03517882195702504,-0.0224279184918994,-0.14269966766404174,-0.04182075558943521
6,3,0.08916871939277402,0.0014343996805052939,0.10149080916837755,0.016222042768138156,-0.06060431314884718,-0.10553369227268258,-0.35846096555856627,0.041398520657597915,0.045499451427229415,-0.14041835610850958,0.009818628501121307,0.03772099979592369,-0.036100261295140684,-0.14131653523947682,-0.0468966179068987
6,5,0.08961138546543826,-0.029079293711487098,0.10383399412540241,0.02257921195997728,-0.05221541177815556,-0.011699252766426804,-0.30849483761632357,0.0009957694057099176,0.031425763407454566,-0.10502280294897232,0.009891575182352536,0.04640863619639807,-0.03466391529942486,-0.1370794612031812,-0.049939971457321874
7,1,-0.037336895692439406,-0.0594618502374389,-0.05917773456634212,-0.05013297381444082,0.04663751325617679,-0.033417661386979845,0.0671582137563425,0.11712635533082658,0.08719832388263156,-0.1727995557137314,0.019434371904094375,0.04958798242148783,0.021361094798561353,-0.13467375629103234,0.008569996210526454
7,2,-0.048177899349122755,0.015797171422119616,-0.06818251557821614,-0.17507238294929892,0.0539508234463115,0.020032954485395826,0.0717379067698132,0.0486111052690891,0.05391659328034212,-0.23832726838308266,0.013577856264655075,0.0425061649153059,-0.00585633184012474,-0.13352509620699893,-0.026616835403376338
7,3,-0.042935068802948784,0.15094198431222436,-0.06076704892252474,-0.18419152795894528,0.07458837598684734,0.17812259030657768,0.08052167497584103,-0.11034744685593773,0.03107995926757403,-0.20150563003211966,0.014305645209085713,0.0421490541986857,-0.009960734332746912,-0.1227826058515497,-0.029639611420214818
7,5,-0.04425629869763714,-0.0015058440476280188,-0.06544505904467038,-0.10913149248458434,0.0066584643505998575,-0.025363049483356048,0.12748065194209574,0.06259444226083305,0.048520356600177256,-0.27758280121509504,0.011673983357501888,0.04898560966560478,-0.011166208626793545,-0.13772102791305013,-0.03368173783354256
8,1,0.05220942604450675,0.003951954261400749,0.07297669599311955,0.004676306343660872,-0.07316078798859153,-0.18558118675483373,0.12794147096460423,0.017397667952268832,0.008383459514350565,-0.027028746941687352,0.014174047708210784,0.06702105677658679,-0.010740888078321686,-0.01691557553060554,-0.024616569985299146
8,2,0.048839933575964056,0.006887220688998823,0.07343882209377545,0.0,-0.06410921460382407,-0.21614480773974304,0.053206638055608504,0.01936189238360711,-0.020281442698057442,-0.06727849421198037,0.01741779803013805,0.06086015131145141,-0.003647224208809738,-0.038073600839921236,-0.02683667447306451
8,3,0.05124844292700133,0.009037140482710284,0.0748564720534842,0.010651414272907236,-0.06210599650813865,-0.21727001604270746,0.11892124432957885,0.02038357295670933,-0.052284293333094055,-0.05810780564407819,0.013689242208634319,0.06231201465518216,-0.01201805975539981,0.0025525136921110744,-0.025296863046442124
8,5,0.05536301816085384,0.03211842870783155,0.07666739469813952,0.016385016649798537,-0.07397489566946816,-0.19793121373532988,0.12707726242605122,0.02548615696233203,-0.01457506287257379,-0.03475714924794504,0.011802100980260707,0.06639179207473067,-0.011054101443710662,-0.007484034757237024,-0.024764865098717392
9,1,0.062367418943630196,0.15500609043851749,0.07862919766704535,-0.013535504112853314,-0.10139474644624083,0.0924207173001759,0.07021002351750749,-0.24512982541254666,0.06273137488556463,0.10725166552324017,0.007008355767013502,0.049879657700016344,-0.007101272681954124,-0.026458611417747246,-0.027421721613164418
9,2,0.06355963882150499,0.15055855893443892,0.07893084798545774,-0.011796506590723038,-0.10360498983701891,0.08371475502933956,0.07099264260763236,-0.23934773348470129,0.07013506012789286,0.1177193208546933,0.008688431990678924,0.04979598760212395,-0.0037335633585348915,-0.02442174587889398,-0.028241786081386833
9,3,0.06361542510642312,0.14615179476545723,0.08035540778975409,-0.006341220683327292,-0.09978044784093387,0.09727491021390117,0.030205136513824504,-0.2262640272861701,0.04116217629840764,0.11177803918658455,0.0070213478397321005,0.04768963463134887,-0.007555134561890706,-0.03598311271190234,-0.030877790169880126
9,5,0.05942873118908326,0.14007157663485417,0.0783056091411786,-0.01962884848063784,-0.09860939313126797,0.09182512629413574,0.061970398770639895,-0.21756529831184743,0.022298434002888654,0.12496134981429691,0.006874686572046873,0.04766726190639464,-0.0014899863322092588,-0.03645936278143587,-0.026226214056550512
10,1,0.47345386522718647,0.017588066997769936,0.48693599826374356,0.10110102332204574,0.20276815460512343,-0.022146595239806555,-0.01582993178688996,0.2922186616201914,0.27158163904987465,0.9601553097746107,0.06349782835744344,0.0667640510302474,0.05546152398690696,0.0,0.23364092941898695
10,2,0.503081300001349,-0.025240874555777504,0.5063373548718642,0.028082847127155253,0.25721909746679095,0.0035241828637047057,0.0,0.2540213499322648,0.19979499111909704,0.8236644443384704,0.05501374670176795,0.05590485025180225,0.05175717269260938,0.003129082729123045,0.33056542472298833
10,3,0.4059350241924715,0.11479784037623941,0.4247339455424457,0.04694700396104379,0.8875987164161747,0.20684270717330988,-0.011038873230982515,0.02458184987878842,0.1254033955274676,0.07756419037856044,0.06272880804699521,0.07037018639194548,0.05989148219895424,-0.020614371338656623,0.5478788869306745
10,5,0.40694792990858075,0.09920031320355527,0.420761909495327,0.11786603822160369,0.9109782269144908,0.35153079348580674,0.008129071755333728,-0.043717877482636114,0.09454747919556827,0.08752566870164624,0.049435862807150954,0.06852064328283514,0.04741793806181738,-0.020161642449949335,0.5113595640517934
11,1,0.2092064098773614,-0.3613019066373004,0.2142223729851307,0.06350217773895339,0.626576872182066,0.14512104222241107,-0.09595371701179023,-0.01838114441814448,0.01900268922265802,0.08025291896769077,0.03298679483286093,0.02833709552310426,0.023816536384298093,-0.0240371954518962,0.3329771844212043
11,2,0.16375715726202295,-0.2925992996954538,0.17054893044092712,0.017867165583421774,0.5152252536370325,0.13661135479439246,-0.06919703906749752,-0.018480397188775755,0.025469995097333997,0.05325874269027153,0.02689698693737641,0.024463545859267577,0.012075677353110936,-0.02656147709170159,0.26802046608122154
11,3,0.2474033854646689,0.05826850964905528,0.24939458763260847,-0.2593134009151078,0.3893506896086091,0.0695586225525387,-0.051635560900935906,0.06880722263258121,0.0808756167224387,0.1458447652408139,0.033094881071343396,0.027394184531378207,0.03063605011281667,0.0,0.09560964472039135
11,5,0.20675481445056665,-0.41565809307752155,0.2175649944610315,0.05916600984145459,0.6160437596071385,0.162906553580473,-0.07695582419817115,-0.023400686031775364,0.027791420935875888,0.07535986547003992,0.03162499380791406,0.040745016947673185,0.01547509560571203,-0.017373603097465717,0.3277108067716903
