f_id,i_id,ic.eps.s,ela_level.mmce_lda_50,ic.eps.ratio,ela_level.lda_mda_10,ela_level.qda_mda_50,ela_level.lda_qda_10,ela_level.qda_mda_25,ela_meta.quad_simple.adj_r2,ela_meta.lin_simple.adj_r2,ela_meta.lin_w_interact.adj_r2,nbc.nn_nb.cor,ela_meta.quad_w_interact.adj_r2,pca.expl_var.cor_init,ela_distr.number_of_peaks,ela_meta.quad_simple.cond
1,2,-0.1614690283053212,0.1053219517591413,-0.11753881777054054,0.06275023653092643,0.0213851410685284,-0.09741049114598763,0.0,-0.11614532883694234,-0.01905857406533401,-0.11399088920161665,0.1095723949237728,-0.1259269232393176,-0.166774748243824,0.10425564342741972,-0.003184432679394833
2,2,0.0735402912881444,-0.0013639102820131033,0.056543368475011416,0.021929903045277976,-0.120096706784138,-0.043167705599218925,-0.07266420993914044,-0.10202088799768322,-0.04189500527552374,0.0053405687554368975,0.009258196730235979,-0.0436789543622271,-0.013285073728583119,-0.015081883122895448,-0.12974170265463975
3,2,0.039337955973179684,0.08218182506768945,0.02522153563438778,-0.09579465190982084,-0.14551814307183142,-0.13905659490902567,0.01364855034805007,0.025505375221196336,-0.024508366499306017,-0.07973396946827171,0.007637171372416762,-0.0905601111734915,0.023298581535198704,-0.2410484660695793,0.002098060233262089
4,2,0.0745929910771623,0.023235310110405694,0.0812549485992791,-0.08155879001128542,-0.17416483830318935,-0.062122290013582215,0.05556569706340569,0.031082890479347938,-0.019138856887199678,0.0356941871321695,0.0382407521529123,-0.0789154746570216,0.12284553890995106,-0.15456358369702478,0.005585658275152824
5,2,-0.18282209647597092,0.13411757301381785,-0.15128681975505454,0.014271391324749527,-0.1368499775074593,-0.05096865986364457,-0.004842022204304797,-0.03845160882898774,0.007408645693139981,-0.2004892152154344,0.02472519189686684,-0.08881298171587848,-0.16674895470914153,0.09373585562027109,-0.0015506070483504164
6,2,0.1458601111211314,0.03539339200709868,0.14874121094340056,-0.12264134811096905,0.06399631308046377,-0.15708084997197974,-0.021658158026928803,-0.03730681542776082,-0.04802473701497423,-0.10489076408258119,0.0076482750171075475,-0.07104330549908217,0.03460860897930351,-0.22593430131526865,0.008607612933257291
7,2,-0.05326224513915628,0.020954951882778516,-0.027168666347478165,-0.11051914420898368,0.0282229224675426,-0.15933394682189472,-0.244209913811691,0.031201767470606434,-0.02228421028652594,-0.10529589884598783,-0.00910231071194495,-0.12933853295032105,-0.10621547533359155,0.05873013609819433,-0.0034888845214926523
8,2,0.12959864373368632,0.0348884552742151,0.11212230749995984,-0.024046924822347188,0.033942304309901986,-0.10137035161984037,-0.02282890373778927,-0.14956554079119694,-0.02665673608161815,0.029666801464062694,0.07873773554265556,-0.11033552726282496,-0.02802506217945972,0.06044828801335476,0.0
9,2,0.13682523295175508,-0.298602140629868,0.15585106966745174,0.06379683163632452,0.24366634233159892,-0.030075037874391697,-0.08209672981878256,0.06744819591473528,-0.0030008491503876883,-0.11747116356875864,0.020819084404817445,0.02600220877754167,0.033579374479541,0.05261390166185681,0.009406568270666382
10,2,0.5167141342275701,0.22876478898392694,0.5241375342477146,0.009134035187038814,-0.05011499877172931,1.056600351114478,0.0,0.03745398543856315,0.0948709680727251,0.12376460584668292,0.06692705982658675,0.0,0.05831062642259899,0.0,0.04574497570615765
