f_id,i_id,ic.eps.ratio,ela_level.qda_mda_50,ic.eps.s,ela_level.qda_mda_25,ela_level.lda_mda_25,ela_meta.quad_simple.adj_r2,ela_distr.number_of_peaks,ela_level.mmce_lda_50,nbc.nn_nb.sd_ratio,ela_level.lda_qda_10,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_meta.lin_simple.coef.max_by_min,nbc.nb_fitness.cor,ela_level.lda_qda_25
1,4,-0.06912546815020756,0.0025403030906944735,-0.10569474642617477,0.006004318278138188,-0.030897326890893445,-0.23311975293497092,0.11570446649293359,0.03941142905409728,-0.057600418138469445,-0.07325623244624041,-0.009492384853969527,0.013927347566674464,-0.010593964981828519,-0.06496828967017826,0.005535105807441487
2,4,0.04508236796137832,-0.02839671019042324,0.052540808469657474,0.07055110011107096,0.18054531655265374,-0.030922977583998867,-0.022371631007885723,-0.015269902693678894,0.029655406358962577,-0.04112221819516719,0.030574864517536743,0.015038170775410559,0.012599827894359344,0.008937849040362114,0.05151801806888834
3,4,0.01765082196657411,-0.1382488092753926,0.014558975534980645,0.04605141711407651,-0.000697806338709861,-0.14157442608026768,-0.16438084766879202,0.0,0.028984801468367127,-0.15587541042243408,-0.0020260813427104285,0.058184076162506926,0.09928320364189261,-0.15827044998491818,-0.00364343430787889
4,4,0.03834762648340179,-0.08392371497273883,0.04198570120634074,0.02585919598344938,-0.003648868857441215,-0.08021011314232884,-0.3046351945652599,-0.0021739363591683214,0.05969478397905072,0.035333343088002796,0.03161315719033274,0.046970600960051456,0.22089041646016802,-0.17071619777443453,0.0026182065209972294
5,4,-0.09175645293218349,-0.1376460524395074,-0.11821573609434033,-0.045122590636341664,-0.11652620899611454,-0.07100579200395493,0.09507763337577574,0.1043982233790279,0.11405428938762346,-0.14508225462539664,-0.006767121688710742,0.004065131532751343,-0.04107392308982849,-0.13043772824608646,-0.04308084680965041
6,4,0.12721703338149948,-0.019817887284437757,0.13565701204727582,0.033812573249669325,0.0011752703815217924,-0.0964468050164122,-0.34847460514722634,0.07424772703830505,0.0607137477593509,-0.17527202503150147,-0.0032684092292642186,0.03271639808596011,-0.026380996526825184,-0.13034585847622193,0.027405086213101337
7,4,-0.02015599756925883,0.06088568237690891,-0.04171968264868104,-0.05744000806968891,0.05539369193143037,0.11821269005705715,0.13412258871612856,-0.028991964370677976,0.0578271187302914,-0.2629159531766933,-0.0035916750472012385,0.05627258566245198,-0.017748994226235937,-0.10614719874702108,-0.008800939683728026
8,4,0.05291061932225014,0.013840276396793923,0.07649196014284625,0.015537752781441901,-0.032212659675832485,-0.1666233319075282,0.06265766236439513,0.010124021091411512,-0.010986867456277333,-0.05111289796979737,0.0,0.06335966575451325,-0.012933692680176497,0.013814853087776288,0.006390232784685576
9,4,0.06533345013902962,0.13764605030543617,0.08108735044018844,0.010943477354624587,-0.057895746879038146,0.09071221772680729,0.062150370769547575,-0.2563199348577553,0.07490516463953675,0.10743520916375093,-0.003221196742703214,0.053499690600801036,-0.013150409462341917,-0.025269306500478247,0.004422914217995733
10,4,0.3136708481593419,-0.040644752218588875,0.34927025853391314,0.0,0.01689112877378629,-0.00783674439208959,-0.02899408887671273,0.24161312794596412,0.20961174931702686,0.8733067835415937,0.014188667399995802,0.04550018365425812,0.004588928192513109,-0.03456865044967217,-0.0199276051076811
11,4,0.21401441374415175,0.0,0.22367246727840684,-0.2260234056329714,0.27907276831941696,0.03717238402960099,-0.04618181869387483,0.10439632600174586,0.09895698684276732,0.1347028020730131,0.01379251341493637,0.0213112459804069,0.0,0.0,0.07987319712125474
12,4,0.014409150309698526,-0.042377735344245375,0.033542810977618076,0.02663586165019073,-0.007219542049674066,0.1813487669284388,-0.01692009329537251,-0.017162832085208364,0.018186986035578917,-0.06669554093446999,0.0037147855520916068,0.012306626614672633,-0.01597589281754378,0.0,0.004310122773592162
13,4,0.013476036849796976,0.13968961594110024,-0.01335657724655228,-0.060835444314506146,0.008227192959355673,-0.02831631355299442,0.11869299945035293,0.0017194859054320698,-0.044600537139338176,-0.16401155483227325,-0.005512253879543905,0.058339211094568896,-0.006912881277205348,-0.02118129761307202,-0.004295418504480977
14,4,-0.09184569793380842,-0.0014537166690798825,-0.0955608840328141,0.004827373127655327,0.003715795143563072,0.1683229011509707,-0.015846229227639452,0.018417942780069113,0.05668968512458074,-0.22471206657476472,-0.00452465782589051,0.0457421803085995,0.022436825998114113,-0.15702262567403175,-0.0029862823250660364
15,4,0.0012098905326983905,-0.017674783037009083,-0.010604963981816026,0.02011721117117031,-0.00921851348713127,-0.023526613952302954,0.08736368657853674,0.06517678436293659,0.037553388055231035,-0.17804458375809357,-0.005947522582847101,0.06321296220838081,0.0014640376216021253,-0.16276778902228559,0.008886492753165331
16,4,-0.049140494000515275,-0.011351672910241944,-0.05674998131955378,0.09824154181521726,-0.0338153950696195,0.03518682288420119,0.07088299291490138,0.00856172492140947,-0.17009793252491218,0.06591539747022096,0.0,0.0,-0.02702985777604308,0.3602064338025068,-0.018944774661746044
17,4,-0.13970114126998429,-0.06585634736504653,-0.13130802955778115,-0.02530846429782385,-0.04111336968710222,0.0814486831708833,0.030105081257623678,-0.015382742227078139,-0.10108251689222336,0.02717151266980261,-0.00872508204726008,-0.025158709122009404,-0.030241980626496856,-0.23160071959413325,-0.022812727482758532
18,4,-0.0666744735140904,-0.07383288682950137,-0.05475221528384927,-0.01526647300380779,-0.040720882211759096,0.09713072210330312,0.011659395720999555,-0.011263078273368365,-0.10527681439939002,0.004751540136488236,-0.007233521178349522,0.0548328944592506,-0.046476617370969475,-0.22659582489985186,-0.020615567787287237
19,4,-0.07457200708031143,0.15626162669570473,-0.08686168942535298,0.012767767073813753,-0.05233750656477465,0.07975006567464382,0.023344868060801154,-0.2614837065713791,0.09215958948203343,0.14404590549846766,-0.00493200001303707,-0.013673974124439131,-0.025251700634225882,-0.04859195743356219,0.004282906015576703
20,4,0.06026555205408113,-0.04967517737359786,0.08317592385433936,-0.006929217322137582,0.0028357582676556137,-0.26027437605356274,0.0463338385523748,0.03813237233827377,-0.11942476041323002,-0.22155508514311173,-0.005879914150746179,0.05804587766390262,0.0,-0.135987159090257,0.006457777042663482
21,4,-0.12214245230133754,-0.016559340853184057,-0.11219834911285537,-0.015903535466410434,-0.03853368139974728,0.042483348876655946,0.019623341765177077,-0.022036318986249512,-0.14251831466722817,0.08307256087736521,-0.005850991968069916,-0.3304208865059509,-0.021512639365028466,0.48316115502931545,-0.027192651114207878
22,4,-0.14553010553380882,-0.005738791363893894,-0.13546956368334834,0.008342650631259621,-0.029558137852864125,0.10375835018687607,-0.09360492548795743,-0.026040710847031266,-0.07018403661163752,0.08947458135756145,-0.0026545095024194734,-0.11548252995124664,-0.023108366428377436,0.30312889483300387,-0.01140246920085336
23,4,-0.08500273884149082,-0.009245522804319048,-0.08629043120982609,0.021075078034571745,-0.034640801248344344,0.07486951240343645,0.02653895610546047,0.03059466723716152,-0.19029763459181176,0.054097622477436255,-0.004678586179009181,-0.2897396009764921,-0.013420265632413109,0.3347926640076392,-0.023826898739629176
24,4,-0.02063948204136684,0.23357067451203278,-0.04613651185771489,0.06335214163914171,-0.017885457083125555,0.030392409700121303,0.1275422819392667,-0.07055045061982212,0.07122771069383804,0.13829665855357287,0.0012099821106372755,0.060797030725245005,-0.02237625255789627,0.28999177344667276,0.012636785490721447
