f_id,i_id,ic.eps.ratio,ic.eps.s,ela_level.mmce_lda_50,ela_level.qda_mda_50,ela_level.lda_mda_10,ela_meta.lin_w_interact.adj_r2,ela_distr.number_of_peaks,ela_level.lda_qda_10,nbc.nb_fitness.cor,pca.expl_var.cor_init,ela_meta.quad_simple.cond,pca.expl_var_PC1.cov_init,ela_level.qda_mda_25,pca.expl_var_PC1.cor_init,ela_level.mmce_lda_10
1,5,-0.15166927512004869,-0.20970098672715143,0.12250912704891187,-0.005565014371717469,-0.13242245007321496,-0.14329143755605545,0.037144286183840136,-0.06565529031635797,-0.07372018100737299,-0.2995878539838533,0.021331132279021392,0.008341694745679695,0.0,0.23473913600403418,0.0
2,5,0.07940268776463028,0.09395434185052512,0.06893847109256193,-0.08230252436216079,-0.04897338160453371,-0.01679126397344599,-0.03971199441344228,0.27980363770883115,0.032009386714423105,-0.052891767432652836,-0.6559843747438108,0.006341562240510246,0.0,0.05001132641660766,0.009503874395488443
3,5,0.04896091643890629,0.004649555215696488,0.06226187511043024,-0.003504091094038847,-0.055249688279173925,0.030532140633575344,0.028665634473950874,-0.020443986944209958,-0.11366729653594534,0.18464095297729566,0.034588290243759284,0.04845870118524964,0.00415143653064845,0.14707364007588325,0.04732110446963139
4,5,0.06495325956555675,0.05814379096663083,0.10302027040260325,-0.2456968290681399,0.027047675484618477,0.005848160284501677,-0.0097268473542437,-0.1702011591850081,0.015588031485960288,0.11653706876858652,0.03443654317213396,0.02109125544741902,0.04588732286380687,0.15027820183258567,0.07136680870551262
5,5,-0.11305418850676574,-0.13558385505627912,0.11220155056978809,-0.1444557800215378,-0.06040957938562541,-0.13202312905499755,0.013044315900376802,0.034815001090154396,-0.0249971958818499,-0.14449195688386213,0.015007713718614257,-0.007017190587048361,-0.024848190802772063,0.16231119506744698,-0.22957132688289084
6,5,0.11850188765381911,0.12203025090247135,0.10632633541619552,-0.08695232093976543,-0.12764133958798488,-0.031214636921400238,-0.10726195070095221,-0.037936570319083374,-0.008724120147685532,0.15246185426468392,0.04108646308424657,0.024568601064905715,0.03194642084388552,0.1569710120544387,-0.14061873016523996
7,5,-0.02342807010406761,-0.06033071454660033,0.13037679747378556,-0.03899178926025637,-0.23962719095977345,-0.15385820209006634,0.032522318159125874,-0.04645455040516899,-0.025604118410134324,-0.2256349563810162,0.032617180378121,0.015521211297545634,-0.0621503992393464,0.18047447749497594,-0.05250533513048816
8,5,0.05417871695858408,0.08152245304740349,0.05502519408839198,-0.003426644050443531,-0.06044743777085478,-0.027048542021530807,0.023600089681513718,-0.07727666110455766,-0.11893770927492354,-0.169069827043301,0.038170969149280504,0.035451179623673265,0.008117969048776472,0.08752584485481937,0.09837089666290896
9,5,0.07276960550743677,0.05788260266713888,-0.17103335367386158,0.35202763162138234,0.11377010288590925,-0.08001291778050773,-0.00416498083180783,-0.09369377110345911,-0.0696972012825612,0.0712308611213834,0.027503487476747704,0.04296283161967705,-0.010025650492765534,-0.15436190182517118,0.03454000929540574
10,5,0.4748330112493373,0.45571137694872865,-0.09216604388995187,0.08269586099408399,0.2575135247176952,0.2081111530973354,0.05245962416181449,0.30629836025548873,0.11120499937247863,0.17146565152792015,0.07057990217929033,0.0451892538485299,0.0514877967960754,-0.1421754232071194,0.09054516280163538
11,5,0.27419902924595396,0.26620619655799016,-0.03651535358372693,-0.20054541320219943,0.14589019229176747,0.08085166365265006,0.06880108000532903,0.2259585767518001,0.061131147144207865,0.08140033048643536,0.0451626580532537,0.039241712743793844,0.05328552990246893,-0.07385935699865293,0.04391237976895912
12,5,0.019517369284745692,0.03863181783690355,0.02075064291511723,-0.06851666023948165,-0.12041905660828528,-0.010208100020013364,-0.13198285839976923,-0.035404192527894604,0.12095617525936408,0.052540955408372364,0.01696869093851279,0.005336130240269132,0.011417939809095654,-0.0760342403188875,-0.06155574880532291
13,5,0.01597569786183095,-0.04407251336903295,0.05480426611843692,0.20173006803925336,-0.0754545887785944,-0.06809266572520487,0.05979030945576642,-0.06852831832698245,-0.14033237494858977,0.1937464751345029,0.033348019236129595,0.040183990092306096,-0.14588452883095337,0.10090015743536379,0.015134041402056597
14,5,-0.1069669768618251,-0.09807061700482284,0.12994742442559848,-0.14046725093836354,-0.1563895818111099,-0.22372990726074213,-0.005467952386008168,-0.05249755366642239,0.018560126971172153,-0.19527692343283132,0.02740644443602236,0.010430125904086207,0.007667295896840259,0.17343230396954562,-0.026441646207756464
15,5,-0.014449115545068378,-0.013288998910052446,0.017559268540584802,0.1300314174034229,-0.043582928865101025,-0.012080487417942237,0.021472416445697598,-0.021670739737125036,-0.010408952162288695,0.16832150960840114,0.03844833688450072,0.030359961735221874,-0.020655730207372866,-0.04466406376787731,0.040227956411869936
16,5,-0.025848422470291052,-0.02776093495706143,-0.07936683368353117,-0.14932249257246138,0.07199821693748076,0.19298116676255284,-0.016589017937072875,0.006230487983272859,0.22485424803604254,0.00817671375149398,0.016525710876629185,0.047718353962195204,0.06181266650222639,-0.10665749880322392,0.024988807714753508
17,5,-0.2978834676115082,-0.20498950199158184,-0.09150577170683738,-0.1380490702225572,0.090252626638255,-0.02861901513325027,-0.020451270890431528,-0.07522102361016503,-0.21072862573056544,0.0333192707938359,0.018270771320394674,-0.013372787613612158,-0.007850111444334118,-0.15356870459861072,0.03927087924978423
18,5,-0.19593523204654073,-0.12002278472027811,-0.10176515176257439,-0.11170488273444346,0.0860627966825887,-0.025287426184017747,-0.013798159597176729,-0.10839426629990817,-0.17659309127578338,0.049486366821037686,0.0232311158027933,0.0,0.01119797644209608,-0.13147820292564427,0.042648714771705176
19,5,-0.10348621305062894,-0.09540121315857716,-0.2227424634869983,0.3268658483014218,0.11521302810780416,0.09431843221911682,0.00333887840316531,0.01593729889979649,-0.021334149273790712,0.056163724918069216,0.01967927613861636,0.02648078975813116,-0.018699146481816628,-0.2729906416970982,0.02752958313237619
20,5,0.060862746647130234,0.07479006111947473,0.08525175140637242,-0.06109648275884019,-0.09627515421615127,-0.06807050516601851,-0.00832628300907029,-0.022160896922146178,-0.022771495765760347,-0.4448848696925285,0.041244527899355204,0.025756747927690588,-0.01209194851063597,0.09030155919712919,-0.16280026775839812
21,5,-0.07778076527804287,-0.06660810331808256,-0.07795049404011847,-0.01799247441239299,0.07211449226755029,0.0953744045596333,-0.01828492220911032,0.010825178961626644,0.13752030049216002,0.029266724784386355,0.013254354269356741,-0.2499575334950919,-0.020178800904703642,-0.08538460948290218,0.014655428144068616
22,5,-0.10816936795271645,-0.09169743104809311,-0.06117075602182058,-0.0025734620341432562,0.09594187812093952,0.10550254844209228,0.0,0.02846450147654412,0.09211051849861057,0.03177706258033867,0.01179196035205584,-0.14215712067154548,0.02078987050290869,-0.09423806011011321,0.018175172628273825
23,5,-0.05659614318880975,-0.057813687771436556,-0.06926614200704838,-0.08970219457842846,0.06244331631087109,0.12358393621787271,-0.02438732064750744,0.001989179525953899,0.12019341437308986,0.013231523371872861,0.009738978010554247,-0.15948736623850476,-0.013371327995195484,-0.07318177350095631,0.011342622682792042
24,5,-0.010568978522654537,-0.034823872726061356,-0.06961127901700226,0.4824759845679062,0.08402685489567213,0.09680683585478145,0.02449986254342107,0.022449074272237413,0.07280323360286994,0.10916913636121778,0.026256273550008924,0.08674334022144481,0.04983970181964259,-0.114739574812667,0.048166934626846514
